time,gFx,gFy,gFz,TgF
0.002177769,-0.2769,-0.9114,0.2731,0.991
0.002489846,-0.2755,-0.9158,0.2692,0.994
0.002666692,-0.2760,-0.9204,0.2613,0.996
0.002811615,-0.2855,-0.9221,0.2574,0.999
0.004842769,-0.2918,-0.9202,0.2571,0.999
0.006282385,-0.3029,-0.9170,0.2569,0.999
0.008648846,-0.3065,-0.9195,0.2564,1.003
0.011099692,-0.3083,-0.9165,0.2599,1.001
0.017996308,-0.3058,-0.9127,0.2618,0.998
0.018403385,-0.3034,-0.9070,0.2713,0.994
0.018734154,-0.3009,-0.9016,0.2811,0.991
0.021363077,-0.2997,-0.9058,0.2873,0.996
0.024460308,-0.2953,-0.9062,0.2955,0.998
0.025754385,-0.2923,-0.9080,0.3083,1.002
0.028084,-0.2860,-0.9124,0.3178,1.008
0.031260923,-0.2853,-0.9124,0.3293,1.011
0.033107615,-0.2880,-0.9114,0.3422,1.015
0.035314077,-0.2799,-0.9116,0.3483,1.015
0.037896846,-0.2767,-0.9111,0.3515,1.015
0.040174077,-0.2750,-0.9097,0.3517,1.013
0.042491923,-0.2720,-0.9075,0.3447,1.008
0.046243308,-0.2713,-0.9058,0.3390,1.005
0.047260615,-0.2731,-0.9011,0.3305,0.998
0.049888923,-0.2694,-0.8982,0.3281,0.993
0.052245538,-0.2720,-0.8906,0.3209,0.985
0.055495385,-0.2738,-0.8923,0.3136,0.985
0.057973154,-0.2729,-0.8882,0.3041,0.978
0.059428231,-0.2736,-0.8925,0.2999,0.981
0.062148,-0.2750,-0.8948,0.2939,0.981
0.064089769,-0.2764,-0.8950,0.2878,0.980
0.066514769,-0.2780,-0.8992,0.2806,0.982
0.068955923,-0.2811,-0.9036,0.2778,0.986
0.071317461,-0.2894,-0.9119,0.2769,0.996
0.073970769,-0.2953,-0.9214,0.2743,1.006
0.076638692,-0.3021,-0.9248,0.2792,1.012
0.083422154,-0.3043,-0.9251,0.2838,1.014
0.084045846,-0.3085,-0.9278,0.2867,1.019
0.084417154,-0.3078,-0.9309,0.2902,1.023
0.086012308,-0.3070,-0.9290,0.2987,1.023
0.093176615,-0.3051,-0.9293,0.3036,1.024
0.093985769,-0.3034,-0.9265,0.3041,1.021
0.094387615,-0.3007,-0.9241,0.3088,1.020
0.096607308,-0.3007,-0.9200,0.3083,1.016
0.097852308,-0.3002,-0.9165,0.3065,1.012
0.100333154,-0.2962,-0.9136,0.3053,1.008
0.103677538,-0.2958,-0.9127,0.3026,1.006
0.105192923,-0.2887,-0.9124,0.2936,1.001
0.107568231,-0.2862,-0.9121,0.2931,1.000
0.110333154,-0.2809,-0.9155,0.2909,1.001
0.112754692,-0.2782,-0.9141,0.2829,0.996
0.114813154,-0.2762,-0.9139,0.2862,0.997
0.117621846,-0.2806,-0.9143,0.2867,0.998
0.120896231,-0.2764,-0.9180,0.2762,0.998
0.122025769,-0.2726,-0.9197,0.2674,0.996
0.124444923,-0.2713,-0.9192,0.2706,0.996
0.126953231,-0.2711,-0.9178,0.2753,0.996
0.129276615,-0.2662,-0.9221,0.2767,0.999
0.132852615,-0.2645,-0.9195,0.2780,0.996
0.134729461,-0.2689,-0.9141,0.2816,0.994
0.136853154,-0.2723,-0.9078,0.2824,0.989
0.139033769,-0.2733,-0.9029,0.2848,0.985
0.141629154,-0.2753,-0.9002,0.2880,0.984
0.145363615,-0.2821,-0.9011,0.2921,0.988
0.146185538,-0.2882,-0.8974,0.2978,0.988
0.149420231,-0.2967,-0.8980,0.3021,0.993
0.151241846,-0.2997,-0.8960,0.3072,0.994
0.153732231,-0.3055,-0.9016,0.3080,1.001
0.155861154,-0.3039,-0.9021,0.3114,1.002
0.158987923,-0.3058,-0.9060,0.3116,1.006
0.162016231,-0.3039,-0.9067,0.3129,1.006
0.163109231,-0.3021,-0.9102,0.3116,1.008
0.166267077,-0.2967,-0.9134,0.3090,1.009
0.168242154,-0.2987,-0.9207,0.3070,1.015
0.170702077,-0.2980,-0.9197,0.3104,1.015
0.172854154,-0.2983,-0.9212,0.3090,1.016
0.175372,-0.2980,-0.9197,0.3085,1.015
0.182409769,-0.2938,-0.9207,0.3055,1.014
0.182873769,-0.2936,-0.9200,0.3080,1.014
0.183165231,-0.2894,-0.9185,0.3072,1.011
0.185218077,-0.2850,-0.9151,0.3021,1.005
0.187367692,-0.2785,-0.9204,0.2997,1.007
0.190216538,-0.2755,-0.9176,0.2967,1.003
0.192069769,-0.2741,-0.9165,0.2911,1.000
0.194721846,-0.2736,-0.9183,0.2829,0.999
0.196890692,-0.2677,-0.9197,0.2806,0.998
0.199312846,-0.2704,-0.9176,0.2680,0.993
0.203248538,-0.2723,-0.9178,0.2601,0.992
0.204035692,-0.2755,-0.9121,0.2557,0.987
0.206457154,-0.2745,-0.9090,0.2562,0.983
0.209296231,-0.2780,-0.9039,0.2535,0.979
0.211643077,-0.2821,-0.9026,0.2520,0.979
0.213652615,-0.2806,-0.9004,0.2552,0.977
0.216295923,-0.2818,-0.8999,0.2582,0.978
0.219829846,-0.2848,-0.8978,0.2589,0.977
0.220942154,-0.2899,-0.8946,0.2587,0.975
0.223523692,-0.2897,-0.8913,0.2564,0.972
0.225873538,-0.2943,-0.8865,0.2571,0.969
0.228350461,-0.2980,-0.8860,0.2550,0.969
0.231044231,-0.2980,-0.8853,0.2576,0.969
0.233102154,-0.3011,-0.8831,0.2589,0.968
0.236038461,-0.3007,-0.8760,0.2569,0.961
0.238717154,-0.3002,-0.8769,0.2557,0.962
0.240366077,-0.2980,-0.8752,0.2511,0.958
0.242946154,-0.2983,-0.8738,0.2489,0.956
0.245163,-0.2983,-0.8738,0.2457,0.955
0.247675308,-0.2995,-0.8757,0.2447,0.957
0.251238461,-0.3002,-0.8797,0.2406,0.960
0.253457154,-0.3007,-0.8818,0.2389,0.962
0.254747923,-0.3046,-0.8878,0.2431,0.970
0.257200231,-0.3055,-0.8911,0.2464,0.974
0.259770077,-0.3102,-0.8950,0.2489,0.979
0.262417538,-0.3139,-0.9053,0.2550,0.992
0.264299923,-0.3256,-0.9111,0.2611,1.002
0.266994769,-0.3375,-0.9248,0.2664,1.020
0.269261154,-0.3519,-0.9427,0.2741,1.043
0.271788308,-0.3652,-0.9623,0.2767,1.066
0.274168615,-0.3813,-0.9791,0.2831,1.088
0.280568615,-0.3938,-0.9871,0.2841,1.100
0.280865154,-0.4013,-0.9874,0.2789,1.102
0.281290461,-0.4015,-0.9889,0.2785,1.103
0.283988231,-0.3920,-0.9813,0.2729,1.091
0.288225769,-0.3815,-0.9761,0.2682,1.082
0.288705769,-0.3656,-0.9649,0.2538,1.063
0.291016615,-0.3463,-0.9559,0.2438,1.046
0.293411923,-0.3265,-0.9442,0.2377,1.027
0.295625154,-0.3092,-0.9356,0.2259,1.011
0.298583615,-0.3007,-0.9290,0.2200,1.001
0.302888615,-0.3007,-0.9170,0.2142,0.989
0.303289538,-0.3023,-0.9055,0.2156,0.979
0.305436615,-0.3048,-0.8953,0.2156,0.970
0.308034692,-0.3070,-0.8874,0.2135,0.963
0.31028,-0.3088,-0.8806,0.2122,0.957
0.312570461,-0.3116,-0.8775,0.2124,0.955
0.315168231,-0.3104,-0.8726,0.2159,0.951
0.317770769,-0.3127,-0.8687,0.2122,0.947
