time,gFx,gFy,gFz,TgF
0.002490693,0.5313,-0.2994,0.4707,0.770
0.003036539,0.5280,-0.3069,0.4663,0.768
0.003344231,0.5274,-0.3126,0.4565,0.764
0.003842385,0.5208,-0.3192,0.4458,0.756
0.006606693,0.5201,-0.3255,0.4378,0.754
0.008712924,0.5182,-0.3319,0.4236,0.747
0.014351693,0.5111,-0.3402,0.4104,0.739
0.014735,0.5077,-0.3463,0.3979,0.732
0.01612,0.5011,-0.3568,0.3913,0.729
0.018384231,0.4971,-0.3663,0.3869,0.729
0.020925154,0.4903,-0.3773,0.3864,0.729
0.022840231,0.4845,-0.3891,0.3894,0.733
0.025436616,0.4805,-0.4015,0.3938,0.740
0.028567693,0.4708,-0.4179,0.4003,0.746
0.031041539,0.4664,-0.4282,0.4113,0.755
0.033455385,0.4619,-0.4443,0.4206,0.767
0.035967,0.4542,-0.4567,0.4321,0.776
0.037260231,0.4427,-0.4650,0.4451,0.781
0.039713154,0.4330,-0.4723,0.4578,0.787
0.042355616,0.4190,-0.4826,0.4717,0.794
0.047609462,0.4063,-0.4860,0.4854,0.798
0.047982462,0.3782,-0.4832,0.4961,0.789
0.049743,0.2802,-0.4110,0.5269,0.725
0.052669462,0.2392,-0.4066,0.5335,0.712
0.054303924,0.2357,-0.4425,0.5359,0.734
0.056827924,0.2385,-0.4785,0.5533,0.769
0.05928977,0.2453,-0.5025,0.5645,0.795
0.061999924,0.2485,-0.5254,0.5587,0.806
0.064561539,0.2565,-0.5437,0.5371,0.806
0.066357539,0.2655,-0.5566,0.5210,0.807
0.069222693,0.2655,-0.5671,0.5056,0.805
0.071388231,0.2609,-0.5696,0.4879,0.794
0.074169231,0.2567,-0.5771,0.4658,0.785
0.076238385,0.2467,-0.5757,0.4490,0.771
0.079063616,0.2345,-0.5838,0.4378,0.766
0.08072177,0.2152,-0.5896,0.4341,0.763
0.083253462,0.1942,-0.6021,0.4378,0.769
0.085905539,0.1752,-0.6097,0.4446,0.775
0.088094154,0.1581,-0.6204,0.4558,0.786
0.090472539,0.1402,-0.6356,0.4658,0.800
0.093158077,0.1297,-0.6486,0.4768,0.815
0.096680231,0.1236,-0.6605,0.4805,0.826
0.097605539,0.1202,-0.6773,0.4819,0.840
0.100089154,0.1270,-0.6896,0.4795,0.849
0.102415693,0.1360,-0.7059,0.4768,0.863
0.104911924,0.1465,-0.7218,0.4697,0.874
0.107332847,0.1610,-0.7336,0.4632,0.882
0.11216277,0.1761,-0.7490,0.4568,0.895
0.112331693,0.1996,-0.7590,0.4478,0.904
0.114514385,0.2211,-0.7695,0.4360,0.912
0.116836539,0.2458,-0.7770,0.4192,0.916
0.119307308,0.2721,-0.7860,0.4008,0.923
0.121852,0.3002,-0.7930,0.3764,0.928
0.12457477,0.3289,-0.8042,0.3486,0.936
0.126729154,0.3620,-0.8193,0.3239,0.952
0.129033847,0.3953,-0.8384,0.2980,0.974
0.131372231,0.4295,-0.8615,0.2762,1.002
0.133835616,0.4649,-0.8862,0.2540,1.032
0.136428231,0.4979,-0.9167,0.2320,1.069
0.138617154,0.5297,-0.9444,0.2076,1.103
0.141159924,0.5612,-0.9698,0.1898,1.136
0.144058077,0.5863,-0.9979,0.1770,1.171
0.146096231,0.6110,-1.0248,0.1714,1.205
0.148583,0.6328,-1.0490,0.1688,1.237
0.15135477,0.6540,-1.0749,0.1719,1.270
0.153307385,0.6687,-1.0986,0.1783,1.298
0.155919,0.6811,-1.1184,0.1924,1.324
0.158827385,0.6892,-1.1315,0.2117,1.342
0.162560231,0.7004,-1.1408,0.2342,1.359
0.162759693,0.7058,-1.1491,0.2580,1.373
0.165095924,0.7085,-1.1506,0.2834,1.381
0.167556231,0.7090,-1.1477,0.3100,1.384
0.17106977,0.7019,-1.1426,0.3307,1.381
0.173487616,0.6999,-1.1359,0.3547,1.381
0.175694154,0.6923,-1.1282,0.3749,1.376
0.177630154,0.6887,-1.1191,0.3959,1.372
0.179696616,0.6909,-1.1130,0.4118,1.373
0.182107616,0.6943,-1.1076,0.4285,1.376
0.184468231,0.6980,-1.1032,0.4434,1.379
0.186985154,0.7068,-1.0995,0.4504,1.383
0.189547385,0.7165,-1.0951,0.4602,1.387
0.192835077,0.7293,-1.0942,0.4639,1.394
0.194099,0.7432,-1.0905,0.4644,1.399
0.196681539,0.7608,-1.0868,0.4583,1.404
0.199155693,0.7777,-1.0886,0.4541,1.413
0.201553154,0.7938,-1.0898,0.4446,1.420
0.203755,0.8069,-1.0927,0.4338,1.426
0.206335,0.8185,-1.0963,0.4180,1.431
0.210309154,0.8278,-1.1017,0.3987,1.435
0.211645847,0.8385,-1.1074,0.3771,1.439
0.213357847,0.8502,-1.1063,0.3544,1.440
0.217034462,0.8605,-1.1022,0.3314,1.437
0.219702462,0.8690,-1.0981,0.3158,1.435
0.221184616,0.8800,-1.0954,0.2978,1.436
0.223004616,0.8930,-1.0914,0.2765,1.437
0.225391077,0.9052,-1.0927,0.2559,1.442
0.228421847,0.9179,-1.0900,0.2345,1.444
0.230946077,0.9217,-1.0851,0.2149,1.440
0.232608616,0.9306,-1.0739,0.1927,1.434
