time,gFx,gFy,gFz,TgF
0.003017462,-0.0312,-0.9278,0.4634,1.037
0.003492846,-0.0385,-0.9297,0.4717,1.043
0.003955616,-0.0370,-0.9339,0.4812,1.051
0.004131308,-0.0365,-0.9309,0.4927,1.054
0.007441154,-0.0319,-0.9321,0.5110,1.064
0.007958077,-0.0307,-0.9339,0.5056,1.062
0.009927,-0.0370,-0.9353,0.4966,1.060
0.012256923,-0.0400,-0.9363,0.4922,1.059
0.015838462,-0.0419,-0.9386,0.4915,1.060
0.017393539,-0.0463,-0.9351,0.4891,1.056
0.019509154,-0.0442,-0.9386,0.4903,1.060
0.021801539,-0.0439,-0.9344,0.4898,1.056
0.024147,-0.0458,-0.9349,0.4956,1.059
0.026619693,-0.0502,-0.9319,0.4959,1.057
0.029185231,-0.0527,-0.9265,0.4924,1.051
0.03348677,-0.0566,-0.9236,0.4879,1.046
0.03380677,-0.0595,-0.9188,0.4868,1.041
0.036369846,-0.0514,-0.9146,0.4854,1.037
0.041771385,-0.0549,-0.9132,0.4721,1.029
0.042124923,-0.0644,-0.9129,0.4544,1.022
0.043608616,-0.0756,-0.9163,0.4504,1.024
0.045945462,-0.0805,-0.9214,0.4511,1.029
0.048307693,-0.0822,-0.9200,0.4532,1.029
0.050689154,-0.0840,-0.9236,0.4546,1.033
0.053303616,-0.0840,-0.9227,0.4565,1.033
0.055778077,-0.0812,-0.9197,0.4616,1.032
0.058276231,-0.0776,-0.9163,0.4607,1.029
0.060683,-0.0761,-0.9139,0.4539,1.023
0.062985154,-0.0749,-0.9134,0.4485,1.020
0.06521077,-0.0663,-0.9121,0.4436,1.016
0.067809539,-0.0612,-0.9111,0.4373,1.012
0.070231385,-0.0574,-0.9070,0.4362,1.008
0.072604846,-0.0534,-0.9058,0.4341,1.006
0.074969846,-0.0527,-0.9058,0.4306,1.004
0.077495693,-0.0539,-0.9072,0.4324,1.006
0.079984846,-0.0570,-0.9075,0.4302,1.006
0.082227385,-0.0615,-0.9058,0.4306,1.005
0.084759308,-0.0612,-0.9055,0.4316,1.005
0.087065462,-0.0598,-0.9070,0.4294,1.005
0.089573846,-0.0576,-0.9104,0.4257,1.007
0.092350077,-0.0607,-0.9114,0.4245,1.007
0.094419616,-0.0561,-0.9078,0.4218,1.003
0.097563923,-0.0568,-0.9090,0.4231,1.004
0.099047923,-0.0505,-0.9072,0.4272,1.004
0.101543077,-0.0361,-0.9048,0.4360,1.005
0.104282385,-0.0300,-0.9067,0.4353,1.006
0.106664539,-0.0280,-0.9080,0.4350,1.007
0.114209154,-0.0344,-0.9104,0.4334,1.009
0.114677846,-0.0417,-0.9078,0.4370,1.008
0.115069846,-0.0419,-0.9055,0.4436,1.009
0.118229462,-0.0430,-0.9041,0.4451,1.009
0.118713231,-0.0432,-0.9046,0.4490,1.011
0.120757539,-0.0421,-0.9016,0.4488,1.008
0.123238385,-0.0388,-0.9031,0.4485,1.009
0.125509231,-0.0402,-0.9034,0.4488,1.009
0.128456923,-0.0424,-0.9026,0.4485,1.009
0.132919,-0.0412,-0.9031,0.4455,1.008
0.133335385,-0.0383,-0.9011,0.4418,1.004
0.136122693,-0.0351,-0.8982,0.4397,1.001
0.141060846,-0.0314,-0.8999,0.4365,1.001
0.141410154,-0.0292,-0.8987,0.4326,0.998
0.142374693,-0.0292,-0.8960,0.4309,0.995
0.14495477,-0.0314,-0.8955,0.4311,0.994
0.147388231,-0.0321,-0.8960,0.4360,0.997
0.149575308,-0.0314,-0.8950,0.4367,0.996
