time,gFx,gFy,gFz,TgF
7.44307E-4,-0.4297,0.8568,0.0776,0.962
0.001763923,-0.4299,0.8563,0.0796,0.961
0.004178076,-0.4278,0.8576,0.0808,0.962
0.006578384,-0.4272,0.8607,0.0852,0.965
0.009051,-0.4267,0.8640,0.0889,0.968
0.011376,-0.4238,0.8684,0.0930,0.971
0.013823,-0.4278,0.8756,0.0966,0.979
0.016209461,-0.4309,0.8854,0.0984,0.990
0.018747076,-0.4326,0.8920,0.1008,0.996
0.021738692,-0.4336,0.8969,0.1031,1.002
0.023462692,-0.4350,0.9026,0.1045,1.007
0.025861538,-0.4404,0.9099,0.1055,1.016
0.028262076,-0.4474,0.9120,0.1062,1.021
0.030788846,-0.4514,0.9140,0.1055,1.025
0.033193461,-0.4544,0.9118,0.1064,1.024
0.035472,-0.4588,0.9101,0.1082,1.025
0.037917769,-0.4624,0.9084,0.1064,1.025
0.040322076,-0.4670,0.9001,0.1033,1.019
0.042769461,-0.4656,0.8957,0.1033,1.015
0.045115384,-0.4683,0.8894,0.0989,1.010
0.047566692,-0.4717,0.8833,0.0954,1.006
0.049991384,-0.4746,0.8768,0.0933,1.001
0.052378692,-0.4751,0.8730,0.0891,0.998
0.05482523,-0.4774,0.8723,0.0908,0.998
0.057319692,-0.4800,0.8700,0.0886,0.998
0.059667307,-0.4807,0.8684,0.0866,0.996
0.06204,-0.4861,0.8686,0.0842,0.999
0.064455076,-0.4947,0.8820,0.0891,1.015
0.066893846,-0.5012,0.8864,0.0891,1.022
0.069229461,-0.5032,0.8884,0.0926,1.025
0.072101846,-0.5052,0.8857,0.0882,1.023
0.074072846,-0.5108,0.8879,0.0852,1.028
0.076509538,-0.5133,0.8849,0.0852,1.027
0.078929461,-0.5189,0.8917,0.0884,1.035
0.081515615,-0.5201,0.8901,0.0882,1.035
0.083762153,-0.5196,0.8945,0.0908,1.038
0.086238461,-0.5137,0.8954,0.0923,1.036
0.088554076,-0.5068,0.8950,0.0910,1.033
0.090999307,-0.4995,0.8935,0.0894,1.027
0.093365538,-0.4851,0.8922,0.0842,1.019
0.095786461,-0.4741,0.8908,0.0808,1.012
0.098356615,-0.4637,0.8903,0.0837,1.007
0.100700538,-0.4521,0.8920,0.0869,1.004
0.103004846,-0.4399,0.8913,0.0923,0.998
0.10551323,-0.4321,0.8969,0.0962,1.000
0.107876307,-0.4236,0.8964,0.0959,0.996
0.110255692,-0.4169,0.8964,0.0966,0.993
0.112635923,-0.4128,0.9018,0.0959,0.996
0.115113846,-0.4094,0.9013,0.0926,0.994
0.117931307,-0.4071,0.9057,0.0957,0.998
0.119936615,-0.4052,0.9118,0.0977,1.003
0.122959692,-0.4076,0.9160,0.0989,1.008
0.124894153,-0.4092,0.9150,0.0942,1.007
0.127146384,-0.4067,0.9103,0.0923,1.001
0.130134153,-0.4118,0.9028,0.0903,0.996
0.132087,-0.4157,0.8920,0.0891,0.988
0.134427384,-0.4192,0.8840,0.0884,0.982
0.136758769,-0.4287,0.8784,0.0910,0.982
0.139230153,-0.4399,0.8791,0.0957,0.988
0.141678384,-0.4546,0.8796,0.0991,0.995
0.144018692,-0.4683,0.8830,0.1045,1.005
0.146434384,-0.4844,0.8889,0.1071,1.018
0.148885153,-0.4956,0.8942,0.1087,1.028
0.151219384,-0.5098,0.9006,0.1082,1.041
0.153775615,-0.5196,0.9047,0.1120,1.049
