time,gFx,gFy,gFz,TgF
0.001896846,0.0750,0.3101,1.1760,1.219
0.002143693,0.0860,0.3040,1.1631,1.205
0.004362385,0.0982,0.2968,1.1529,1.194
0.004816616,0.1158,0.2847,1.1450,1.186
0.007561154,0.1334,0.2698,1.1416,1.181
0.009797539,0.1512,0.2558,1.1462,1.184
0.017146693,0.1742,0.2446,1.1521,1.191
0.017396846,0.1922,0.2314,1.1594,1.198
0.017516,0.2145,0.2234,1.1721,1.212
0.019857462,0.2382,0.2116,1.1914,1.233
0.021672308,0.2587,0.2025,1.2149,1.259
0.024167693,0.2778,0.1976,1.2361,1.282
0.027023923,0.2932,0.1933,1.2659,1.314
0.028896923,0.3081,0.1920,1.2880,1.338
0.031763077,0.3193,0.1938,1.3109,1.363
0.033810693,0.3252,0.1936,1.3283,1.381
0.036669154,0.3333,0.1964,1.3427,1.397
0.039209539,0.3364,0.1962,1.3547,1.410
0.041150769,0.3405,0.1938,1.3610,1.416
0.043623616,0.3408,0.1908,1.3605,1.415
0.046651385,0.3417,0.1850,1.3551,1.410
0.048380923,0.3410,0.1850,1.3427,1.398
0.051123308,0.3382,0.1820,1.3248,1.379
0.054027308,0.3333,0.1794,1.3043,1.358
0.055398462,0.3244,0.1813,1.2757,1.329
0.057830154,0.3115,0.1796,1.2454,1.296
0.062124308,0.3051,0.1818,1.2149,1.266
0.063286385,0.2946,0.1869,1.1853,1.236
0.065252231,0.2919,0.1894,1.1541,1.205
0.069146385,0.2909,0.1948,1.1276,1.181
0.071795923,0.2909,0.1960,1.1033,1.158
0.072379385,0.2917,0.1973,1.0835,1.139
0.075530154,0.2974,0.1994,1.0644,1.123
0.078342462,0.3061,0.2001,1.0481,1.110
0.079643077,0.3093,0.2053,1.0255,1.091
0.082720923,0.3149,0.2053,0.9982,1.067
0.084651308,0.3196,0.2048,0.9740,1.045
0.090501154,0.3225,0.2087,0.9542,1.029
0.090713154,0.3235,0.2121,0.9279,1.005
0.092366769,0.3220,0.2165,0.9063,0.986
0.095209462,0.3179,0.2202,0.8819,0.963
0.098539616,0.3122,0.2258,0.8569,0.940
0.100440846,0.3026,0.2299,0.8315,0.914
0.102241539,0.2881,0.2316,0.8069,0.888
0.104146769,0.2770,0.2411,0.7634,0.847
0.106996616,0.2609,0.2432,0.7018,0.787
0.108618769,0.2443,0.2475,0.6298,0.719
0.111247693,0.2308,0.2541,0.5629,0.659
0.113476,0.2192,0.2539,0.5152,0.615
0.115759,0.2054,0.2558,0.4961,0.595
0.119045769,0.1881,0.2563,0.5061,0.598
0.120849846,0.1732,0.2524,0.5315,0.613
0.123255923,0.1539,0.2434,0.5660,0.635
0.127359077,0.1309,0.2365,0.6000,0.658
0.128726769,0.1073,0.2231,0.6305,0.677
0.130320308,0.0836,0.2150,0.6628,0.702
0.132589846,0.0586,0.2045,0.6971,0.729
0.136813154,0.0452,0.1964,0.7341,0.761
0.138156308,0.0377,0.1918,0.7756,0.800
0.140136539,0.0337,0.1894,0.8218,0.844
0.143227693,0.0303,0.1843,0.8658,0.886
0.146394154,0.0398,0.1838,0.9017,0.921
0.147509769,0.0454,0.1820,0.9342,0.953
0.150042769,0.0540,0.1782,0.9579,0.976
0.152023385,0.0610,0.1747,0.9699,0.987
0.154277231,0.0677,0.1710,0.9774,0.995
0.156974693,0.0750,0.1684,0.9752,0.992
0.159329154,0.0794,0.1642,0.9710,0.988
0.161871077,0.0885,0.1564,0.9610,0.978
0.163995385,0.0943,0.1566,0.9508,0.968
0.167376231,0.0926,0.1591,0.9547,0.972
0.169034077,0.0909,0.1549,0.9647,0.981
0.171279616,0.0894,0.1566,0.9776,0.994
0.174111077,0.0894,0.1559,0.9887,1.005
0.177387,0.0921,0.1533,0.9985,1.014
0.179367077,0.0933,0.1524,1.0094,1.025
0.181154077,0.1002,0.1520,1.0229,1.039
0.183433462,0.1139,0.1547,1.0381,1.056
0.185725462,0.1337,0.1520,1.0544,1.074
0.188273231,0.1546,0.1437,1.0703,1.091
0.191573539,0.1703,0.1388,1.0915,1.113
0.194455616,0.1886,0.1324,1.1133,1.137
0.195412308,0.2069,0.1214,1.1348,1.160
0.199578385,0.2231,0.1129,1.1580,1.185
0.20093077,0.2387,0.1004,1.1802,1.208
0.203167923,0.2560,0.0902,1.2034,1.234
0.20499077,0.2700,0.0765,1.2232,1.255
0.208915616,0.2772,0.0641,1.2386,1.271
0.210576308,0.2809,0.0513,1.2479,1.280
0.212781231,0.2816,0.0431,1.2557,1.288
0.215312308,0.2765,0.0366,1.2566,1.287
0.218433846,0.2702,0.0350,1.2566,1.286
0.220000923,0.2716,0.0310,1.2520,1.282
0.223407077,0.2700,0.0301,1.2459,1.275
0.225886385,0.2756,0.0296,1.2373,1.268
0.227407385,0.2827,0.0257,1.2259,1.258
0.229543616,0.2907,0.0289,1.2188,1.253
0.231593846,0.2990,0.0328,1.1976,1.235
0.234645846,0.3032,0.0320,1.1734,1.212
0.23661477,0.3059,0.0389,1.1445,1.185
0.239864616,0.3010,0.0384,1.1113,1.152
0.241385539,0.3005,0.0403,1.0771,1.119
0.245945539,0.3002,0.0377,1.0414,1.084
0.246375923,0.3019,0.0279,1.0090,1.054
0.248758154,0.3070,0.0193,0.9769,1.024
0.251521846,0.3119,0.0117,0.9476,0.998
0.253251385,0.3222,0.0000,0.9242,0.979
0.255587616,0.3357,-0.0131,0.8970,0.958
0.259305539,0.3613,-0.0304,0.8658,0.939
0.263866154,0.3950,-0.0490,0.8198,0.911
0.264812308,0.4332,-0.0734,0.7681,0.885
0.266553154,0.4647,-0.0935,0.7216,0.863
0.267921539,0.4774,-0.0954,0.6969,0.850
0.270175923,0.4798,-0.0886,0.6887,0.844
0.272998154,0.4798,-0.0705,0.6745,0.831
0.275938385,0.4661,-0.0463,0.6598,0.809
0.277374154,0.4491,-0.0169,0.6400,0.782
0.280505539,0.4281,0.0161,0.6249,0.758
0.284839308,0.4004,0.0438,0.6127,0.733
0.285148846,0.3769,0.0716,0.5985,0.711
0.287068308,0.3547,0.0919,0.5919,0.696
0.290084923,0.3303,0.1044,0.5965,0.690
0.292239077,0.3049,0.1161,0.6158,0.697
0.297379923,0.2814,0.1249,0.6410,0.711
0.297596616,0.2583,0.1275,0.6764,0.735
0.300575,0.2360,0.1330,0.7057,0.756
0.302171616,0.2091,0.1339,0.7309,0.772
0.303996539,0.1803,0.1466,0.7470,0.782
0.307535077,0.1463,0.1613,0.7532,0.784
