time,gFx,gFy,gFz,TgF
0.001809846,-0.0688,0.4911,0.7295,0.882
0.002362077,-0.0644,0.4887,0.7226,0.875
0.002751692,-0.0600,0.4906,0.7197,0.873
0.003131615,-0.0568,0.4924,0.7214,0.875
0.003357231,-0.0534,0.4950,0.7250,0.879
0.006499308,-0.0530,0.4962,0.7275,0.882
0.008071385,-0.0519,0.4997,0.7348,0.890
0.015575923,-0.0507,0.5072,0.7427,0.901
0.016087615,-0.0519,0.5082,0.7558,0.912
0.016602154,-0.0507,0.5085,0.7663,0.921
0.018147692,-0.0473,0.5106,0.7812,0.934
0.019917846,-0.0476,0.5085,0.7989,0.948
0.022634154,-0.0434,0.5060,0.8162,0.961
0.025110154,-0.0407,0.5001,0.8289,0.969
0.026989769,-0.0361,0.4982,0.8396,0.977
0.029452231,-0.0351,0.4953,0.8489,0.983
0.035216539,-0.0346,0.4938,0.8531,0.986
0.036009231,-0.0339,0.4901,0.8569,0.988
0.036853154,-0.0351,0.4929,0.8562,0.989
0.039268539,-0.0363,0.4941,0.8585,0.991
0.041433462,-0.0409,0.4976,0.8646,0.998
0.044053462,-0.0449,0.4985,0.8658,1.000
0.046471077,-0.0481,0.5029,0.8734,1.009
0.049583077,-0.0527,0.5038,0.8804,1.016
0.051061231,-0.0563,0.5038,0.8848,1.020
0.054317231,-0.0546,0.4999,0.8888,1.021
0.056107385,-0.0537,0.4997,0.8941,1.026
0.058517846,-0.0517,0.4950,0.8965,1.025
0.060877462,-0.0476,0.4896,0.9012,1.027
0.063543385,-0.0463,0.4872,0.9061,1.030
0.065990385,-0.0414,0.4840,0.9083,1.030
0.067946769,-0.0365,0.4818,0.9107,1.031
0.070500231,-0.0346,0.4759,0.9168,1.034
0.074163692,-0.0334,0.4771,0.9225,1.039
0.075226692,-0.0329,0.4780,0.9274,1.044
0.077592,-0.0314,0.4799,0.9310,1.048
0.080480615,-0.0324,0.4818,0.9359,1.053
0.082875385,-0.0288,0.4796,0.9410,1.057
0.084828,-0.0268,0.4823,0.9435,1.060
0.087339385,-0.0229,0.4803,0.9452,1.060
0.090815077,-0.0223,0.4801,0.9484,1.063
0.092086462,-0.0183,0.4803,0.9510,1.066
0.094550462,-0.0163,0.4796,0.9503,1.065
0.097379385,-0.0141,0.4796,0.9501,1.064
0.100072,-0.0097,0.4774,0.9510,1.064
0.101899615,-0.0080,0.4750,0.9528,1.065
0.104373539,-0.0026,0.4722,0.9547,1.065
0.107073154,0.0063,0.4652,0.9598,1.067
0.108992308,0.0100,0.4569,0.9610,1.064
0.111457462,0.0144,0.4517,0.9638,1.064
0.114126462,0.0156,0.4508,0.9691,1.069
0.117326154,0.0156,0.4486,0.9703,1.069
0.118570385,0.0119,0.4489,0.9722,1.071
0.121377539,0.0075,0.4491,0.9745,1.073
0.123527308,0.0014,0.4456,0.9759,1.073
0.126288308,-0.0021,0.4437,0.9776,1.074
0.128468308,-0.0078,0.4410,0.9801,1.075
0.131583923,-0.0085,0.4368,0.9796,1.073
0.133051,-0.0114,0.4371,0.9852,1.078
0.135644,-0.0180,0.4373,0.9894,1.082
0.138421231,-0.0176,0.4352,0.9941,1.085
0.143862154,-0.0251,0.4317,0.9957,1.086
0.144200923,-0.0292,0.4337,0.9969,1.088
0.146670462,-0.0388,0.4359,0.9977,1.089
0.149421769,-0.0395,0.4344,0.9965,1.088
0.149987616,-0.0463,0.4344,0.9916,1.084
0.152308,-0.0534,0.4354,0.9908,1.084
0.154832846,-0.0563,0.4388,0.9899,1.084
0.157604539,-0.0624,0.4391,0.9862,1.081
0.160058154,-0.0663,0.4391,0.9825,1.078
0.162481462,-0.0717,0.4398,0.9820,1.078
0.164832616,-0.0747,0.4391,0.9780,1.075
0.166841846,-0.0761,0.4400,0.9689,1.067
0.170530462,-0.0784,0.4388,0.9638,1.062
0.171930692,-0.0768,0.4393,0.9591,1.058
0.174261462,-0.0747,0.4396,0.9552,1.054
0.176531308,-0.0752,0.4384,0.9493,1.048
0.179259923,-0.0719,0.4376,0.9445,1.043
0.181624539,-0.0742,0.4403,0.9408,1.041
0.183711385,-0.0698,0.4422,0.9386,1.040
0.186539077,-0.0707,0.4440,0.9366,1.039
0.190659616,-0.0693,0.4440,0.9328,1.035
0.191358769,-0.0671,0.4474,0.9274,1.032
0.193427308,-0.0612,0.4456,0.9242,1.028
0.195973154,-0.0566,0.4447,0.9193,1.023
0.198544616,-0.0537,0.4456,0.9151,1.019
0.200594462,-0.0488,0.4454,0.9095,1.014
0.203245154,-0.0421,0.4425,0.9044,1.008
0.206048846,-0.0388,0.4396,0.8983,1.001
