time,gFx,gFy,gFz,TgF
0.001798384,-0.1189,0.9944,0.1641,1.015
0.002101461,-0.1167,0.9923,0.1611,1.012
0.002312,-0.1143,0.9923,0.1597,1.011
0.004238153,-0.1159,0.9888,0.1570,1.008
0.006589153,-0.1201,0.9907,0.1543,1.010
0.008003923,-0.1231,0.9888,0.1541,1.008
0.010320923,-0.1228,0.9902,0.1543,1.010
0.016203,-0.1260,0.9883,0.1572,1.009
0.016521846,-0.1282,0.9881,0.1590,1.009
0.017682153,-0.1308,0.9919,0.1597,1.013
0.02053323,-0.1297,0.9939,0.1558,1.014
0.023191923,-0.1324,0.9924,0.1572,1.014
0.024778153,-0.1350,0.9914,0.1604,1.013
0.028808615,-0.1357,0.9907,0.1607,1.013
0.032130769,-0.1369,0.9890,0.1602,1.011
0.032512538,-0.1343,0.9900,0.1602,1.012
0.034869846,-0.1365,0.9907,0.1602,1.013
0.036998384,-0.1355,0.9874,0.1583,1.009
0.039845153,-0.1362,0.9863,0.1585,1.008
0.041931077,-0.1353,0.9865,0.1560,1.008
0.045431077,-0.1350,0.9861,0.1543,1.007
0.046607615,-0.1336,0.9849,0.1531,1.006
0.049069461,-0.1343,0.9868,0.1518,1.007
0.051946077,-0.1297,0.9856,0.1541,1.006
0.054152615,-0.1294,0.9851,0.1531,1.005
0.056682769,-0.1294,0.9870,0.1497,1.007
0.058721846,-0.1282,0.9907,0.1492,1.010
0.061481846,-0.1280,0.9907,0.1497,1.010
0.063447384,-0.1287,0.9902,0.1523,1.010
0.065920538,-0.1280,0.9912,0.1531,1.011
0.068568846,-0.1275,0.9905,0.1516,1.010
0.073988,-0.1285,0.9883,0.1514,1.008
0.074405846,-0.1275,0.9888,0.1539,1.009
0.083560307,-0.1285,0.9868,0.1536,1.007
0.083774461,-0.1301,0.9876,0.1548,1.008
0.083884538,-0.1316,0.9874,0.1546,1.008
0.083989461,-0.1324,0.9870,0.1558,1.008
0.088382153,-0.1373,0.9881,0.1551,1.010
0.088662769,-0.1341,0.9886,0.1536,1.009
0.091111615,-0.1326,0.9893,0.1546,1.010
0.093052538,-0.1318,0.9919,0.1539,1.012
0.096574461,-0.1318,0.9888,0.1526,1.009
0.097281538,-0.1306,0.9937,0.1546,1.014
0.10126023,-0.1313,0.9912,0.1563,1.012
0.103402769,-0.1331,0.9937,0.1546,1.014
0.104629538,-0.1458,1.0061,0.1599,1.029
0.106872615,-0.1350,0.9912,0.1609,1.013
0.109489846,-0.1228,0.9793,0.1583,1.000
0.111848615,-0.1233,0.9778,0.1597,0.998
0.115115,-0.1206,0.9785,0.1602,0.999
0.116673538,-0.1267,0.9834,0.1553,1.004
0.119430384,-0.1236,0.9851,0.1543,1.005
0.121623384,-0.1243,0.9881,0.1526,1.007
0.123906769,-0.1223,0.9917,0.1548,1.011
0.126210461,-0.1213,0.9912,0.1521,1.010
0.131458153,-0.1226,0.9949,0.1531,1.014
0.131856,-0.1220,0.9924,0.1534,1.012
0.133622692,-0.1228,0.9917,0.1526,1.011
0.135814077,-0.1252,0.9944,0.1555,1.014
0.138322077,-0.1264,0.9902,0.1543,1.010
0.140764307,-0.1269,0.9905,0.1541,1.010
0.14418023,-0.1255,0.9883,0.1543,1.008
0.147837538,-0.1250,0.9863,0.1551,1.006
0.148233769,-0.1262,0.9849,0.1551,1.005
0.152696538,-0.1297,0.9851,0.1543,1.006
0.153309461,-0.1304,0.9851,0.1560,1.006
0.155773153,-0.1306,0.9830,0.1548,1.004
0.157757538,-0.1301,0.9853,0.1558,1.006
0.161115077,-0.1292,0.9858,0.1578,1.007
0.162442384,-0.1294,0.9886,0.1558,1.009
0.164843923,-0.1316,0.9886,0.1563,1.009
0.17296923,-0.1333,0.9878,0.1551,1.009
0.173366692,-0.1362,0.9888,0.1565,1.010
0.173706153,-0.1380,0.9926,0.1565,1.014
0.176899307,-0.1348,0.9883,0.1551,1.009
0.177168,-0.1329,0.9842,0.1551,1.005
0.184331615,-0.1338,0.9874,0.1570,1.009
0.184661153,-0.1280,0.9868,0.1563,1.007
0.184817769,-0.1333,0.9868,0.1543,1.008
0.189646384,-0.1292,0.9842,0.1551,1.005
0.190248923,-0.1272,0.9863,0.1546,1.006
0.191615077,-0.1275,0.9874,0.1558,1.008
0.194115692,-0.1269,0.9893,0.1551,1.009
0.196471384,-0.1280,0.9883,0.1563,1.009
0.198676307,-0.1306,0.9907,0.1543,1.011
0.201853769,-0.1324,0.9902,0.1551,1.011
0.203619923,-0.1272,0.9883,0.1565,1.009
0.206350769,-0.1320,0.9932,0.1553,1.014
