time,gFx,gFy,gFz,TgF
0.002190153,0.5033,0.1027,0.6581,0.835
0.002458153,0.4796,0.1139,0.6820,0.842
0.002633153,0.4600,0.1261,0.6987,0.846
0.002804846,0.4405,0.1295,0.7060,0.842
0.006251692,0.4246,0.1300,0.7111,0.838
0.007770153,0.4090,0.1249,0.7076,0.827
0.014796538,0.3950,0.1181,0.6994,0.812
0.015066769,0.3855,0.1119,0.6880,0.797
0.015607615,0.3767,0.1053,0.6787,0.783
0.017874076,0.3713,0.0958,0.6728,0.774
0.019387307,0.3684,0.0885,0.6652,0.766
0.021833769,0.3645,0.0760,0.6564,0.755
0.024462769,0.3657,0.0604,0.6540,0.752
0.028118384,0.3816,0.0420,0.6828,0.783
0.029015923,0.4065,0.0308,0.7204,0.828
0.031671923,0.4330,0.0266,0.7458,0.863
0.034667923,0.4510,0.0233,0.7644,0.888
0.036508846,0.4696,0.0220,0.7779,0.909
0.038870153,0.4805,0.0205,0.7837,0.919
0.041671307,0.4850,0.0205,0.7912,0.928
0.04359723,0.4903,0.0245,0.7959,0.935
0.046345461,0.4926,0.0230,0.8012,0.941
0.048560538,0.4882,0.0274,0.8057,0.942
0.05112523,0.4830,0.0298,0.8123,0.945
0.053128615,0.4796,0.0352,0.8259,0.956
0.056036307,0.4688,0.0420,0.8418,0.964
0.059487923,0.4632,0.0516,0.8618,0.980
0.060471384,0.4607,0.0569,0.8809,0.996
0.062829153,0.4575,0.0650,0.9029,1.014
0.065382153,0.4579,0.0738,0.9191,1.029
0.067725846,0.4549,0.0797,0.9391,1.046
0.070238692,0.4519,0.0843,0.9566,1.061
0.072552615,0.4532,0.0904,0.9671,1.072
0.078383076,0.4500,0.0953,0.9767,1.080
0.078597461,0.4481,0.0983,0.9776,1.080
0.07972023,0.4470,0.0980,0.9789,1.081
0.082315384,0.4481,0.0983,0.9733,1.076
0.08842123,0.4466,0.0983,0.9645,1.067
0.088669846,0.4444,0.1021,0.9549,1.058
0.089484615,0.4410,0.0992,0.9410,1.044
0.091966692,0.4376,0.0951,0.9263,1.029
0.094356,0.4351,0.0923,0.9109,1.014
0.096788538,0.4334,0.0941,0.8963,1.000
0.099296307,0.4295,0.0946,0.8787,0.983
0.101565153,0.4239,0.0951,0.8636,0.967
0.10389323,0.4144,0.1016,0.8504,0.951
0.106558153,0.4048,0.1063,0.8428,0.941
0.109450153,0.3941,0.1102,0.8338,0.929
0.111051076,0.3857,0.1165,0.8306,0.923
0.113768307,0.3713,0.1219,0.8287,0.916
0.116832846,0.3569,0.1230,0.8269,0.909
0.118774769,0.3405,0.1319,0.8247,0.902
0.120777846,0.3237,0.1347,0.8250,0.896
0.123419,0.3095,0.1393,0.8240,0.891
0.126093153,0.2958,0.1428,0.8254,0.888
0.128033846,0.2837,0.1449,0.8289,0.888
0.130471923,0.2748,0.1442,0.8301,0.886
0.133326384,0.2739,0.1437,0.8331,0.889
0.135129153,0.2723,0.1456,0.8318,0.887
0.137703076,0.2744,0.1471,0.8331,0.889
0.140431076,0.2763,0.1481,0.8357,0.893
0.142625846,0.2746,0.1542,0.8460,0.903
0.145066461,0.2753,0.1554,0.8585,0.915
0.14835223,0.2719,0.1573,0.8832,0.937
0.14988523,0.2685,0.1549,0.9051,0.957
0.152283307,0.2660,0.1571,0.9283,0.978
0.154878076,0.2646,0.1615,0.9464,0.996
0.158078076,0.2670,0.1559,0.9664,1.015
0.159726153,0.2748,0.1515,0.9784,1.027
0.161794384,0.2839,0.1452,0.9857,1.036
0.164396,0.2981,0.1324,0.9933,1.045
0.167352923,0.3079,0.1219,0.9960,1.050
0.169364307,0.3188,0.1100,1.0034,1.059
0.171834461,0.3328,0.0907,1.0031,1.061
0.178654153,0.3433,0.0738,0.9975,1.057
0.179003384,0.3484,0.0608,0.9920,1.053
0.179233461,0.3520,0.0484,0.9813,1.044
0.181906384,0.3535,0.0401,0.9696,1.033
0.18704923,0.3531,0.0350,0.9559,1.020
0.187437846,0.3487,0.0279,0.9459,1.009
0.190810461,0.3447,0.0271,0.9347,0.997
0.191729846,0.3391,0.0277,0.9286,0.989
0.193099384,0.3271,0.0306,0.9210,0.978
0.195722692,0.3217,0.0306,0.9134,0.969
0.198185769,0.3179,0.0350,0.9068,0.962
0.200369846,0.3081,0.0411,0.9012,0.953
0.202963923,0.3026,0.0471,0.8960,0.947
0.205256923,0.2990,0.0492,0.8946,0.945
0.207697153,0.2949,0.0548,0.8904,0.940
0.209966769,0.2907,0.0589,0.8902,0.938
0.212553846,0.2890,0.0629,0.8880,0.936
0.21488923,0.2886,0.0638,0.8885,0.936
