time,gFx,gFy,gFz,TgF
0.00226923,0.1439,0.1657,0.8909,0.918
0.00252123,0.1383,0.1642,0.8741,0.900
0.002676307,0.1329,0.1666,0.8548,0.881
0.002847923,0.1248,0.1620,0.8282,0.853
0.003008,0.1183,0.1613,0.8042,0.829
0.005340538,0.1127,0.1640,0.7735,0.799
0.008092538,0.1067,0.1637,0.7490,0.774
0.011145538,0.1024,0.1620,0.7253,0.750
0.011330384,0.0906,0.1640,0.7006,0.725
0.014907615,0.0845,0.1645,0.6766,0.701
0.016052,0.0818,0.1628,0.6471,0.672
0.018566153,0.0738,0.1615,0.6139,0.639
0.020878076,0.0713,0.1605,0.5767,0.603
0.023351,0.0679,0.1589,0.5343,0.562
0.025958076,0.0689,0.1617,0.4930,0.523
0.028172923,0.0731,0.1603,0.4578,0.490
0.03146123,0.0764,0.1635,0.4321,0.468
0.032996846,0.0813,0.1722,0.4155,0.457
0.035452923,0.0913,0.1818,0.4094,0.457
0.038004,0.1011,0.1918,0.4113,0.465
0.040407384,0.1109,0.1964,0.4150,0.472
0.042923,0.1211,0.2085,0.4226,0.487
0.04522023,0.1316,0.2134,0.4321,0.500
0.048368846,0.1395,0.2218,0.4439,0.515
0.049936615,0.1486,0.2267,0.4521,0.527
0.052348,0.1603,0.2255,0.4592,0.536
0.054892923,0.1700,0.2248,0.4734,0.551
0.057206769,0.1847,0.2165,0.4932,0.569
0.059504615,0.2006,0.2094,0.5247,0.599
0.061993769,0.2155,0.1984,0.5636,0.635
0.064776538,0.2250,0.1826,0.6058,0.672
0.066742076,0.2325,0.1657,0.6542,0.714
0.069289461,0.2353,0.1449,0.7062,0.758
0.073055307,0.2377,0.1314,0.7583,0.805
0.074027384,0.2387,0.1112,0.8040,0.846
0.076494461,0.2360,0.0934,0.8457,0.883
0.079169153,0.2287,0.0709,0.8787,0.911
0.08178923,0.2171,0.0533,0.9065,0.934
0.083850384,0.2103,0.0533,0.9335,0.958
0.086315076,0.2084,0.0550,0.9547,0.979
0.088583076,0.2035,0.0592,0.9774,1.000
0.090982769,0.1979,0.0653,0.9989,1.020
0.093419307,0.1893,0.0731,1.0099,1.030
0.095999384,0.1798,0.0797,1.0202,1.039
0.101158153,0.1715,0.0909,1.0292,1.047
0.101503615,0.1591,0.0997,1.0344,1.051
0.105233153,0.1463,0.1073,1.0409,1.057
0.106112,0.1370,0.1117,1.0427,1.058
0.108974692,0.1319,0.1214,1.0419,1.057
0.110103923,0.1344,0.1209,1.0309,1.047
0.112739923,0.1324,0.1202,1.0229,1.038
0.115076615,0.1307,0.1202,1.0190,1.034
0.117550384,0.1297,0.1163,1.0104,1.025
0.120991692,0.1341,0.1178,1.0031,1.019
0.123072615,0.1393,0.1170,0.9948,1.011
0.124683307,0.1432,0.1153,0.9867,1.004
0.127316615,0.1510,0.1146,0.9850,1.003
0.130064923,0.1619,0.1170,0.9867,1.007
0.131946153,0.1768,0.1198,0.9945,1.017
0.134464615,0.1942,0.1183,1.0092,1.034
0.136921461,0.2106,0.1119,1.0248,1.052
0.139743923,0.2282,0.1081,1.0388,1.069
0.141808923,0.2397,0.0980,1.0600,1.091
0.144529461,0.2469,0.0858,1.0747,1.106
0.147189153,0.2502,0.0716,1.0864,1.117
0.148801769,0.2423,0.0560,1.0993,1.127
0.15129223,0.2345,0.0401,1.1120,1.137
0.153662384,0.2236,0.0269,1.1208,1.143
0.156270769,0.2140,0.0140,1.1289,1.149
0.158419384,0.2115,-0.0003,1.1429,1.162
0.161152923,0.2040,-0.0126,1.1590,1.177
0.163875076,0.1991,-0.0189,1.1807,1.198
0.165643307,0.1935,-0.0241,1.2021,1.218
0.169151076,0.1893,-0.0241,1.2240,1.239
0.172175923,0.1793,-0.0238,1.2447,1.258
0.172937461,0.1649,-0.0185,1.2640,1.275
0.175481846,0.1519,-0.0120,1.2762,1.285
0.177951615,0.1363,-0.0077,1.2811,1.288
0.180632307,0.1280,-0.0001,1.2804,1.287
0.183303692,0.1129,-0.0008,1.2731,1.278
0.186020307,0.1050,0.0042,1.2626,1.267
0.188335923,0.1004,0.0098,1.2428,1.247
0.189762153,0.0967,0.0137,1.2235,1.227
0.192235,0.0913,0.0152,1.1976,1.201
0.194958153,0.0923,0.0196,1.1732,1.177
0.199753153,0.0943,0.0262,1.1453,1.149
0.200090076,0.0992,0.0320,1.1182,1.123
0.202784923,0.1055,0.0359,1.0915,1.097
0.207794769,0.1148,0.0394,1.0624,1.069
0.208039307,0.1260,0.0408,1.0353,1.044
0.208961846,0.1358,0.0452,1.0102,1.020
0.211640923,0.1478,0.0487,0.9857,0.998
0.213848307,0.1595,0.0450,0.9640,0.978
0.216462076,0.1732,0.0457,0.9430,0.960
0.21893723,0.1879,0.0428,0.9230,0.943
0.221190384,0.1969,0.0389,0.9100,0.932
0.223731615,0.2064,0.0382,0.8995,0.924
0.226099384,0.2180,0.0359,0.8919,0.919
0.22997223,0.2255,0.0377,0.8865,0.916
0.230755923,0.2333,0.0359,0.8834,0.914
0.233207076,0.2406,0.0382,0.8853,0.918
0.235883307,0.2460,0.0382,0.8827,0.917
0.238273769,0.2475,0.0413,0.8839,0.919
0.240612307,0.2490,0.0457,0.8787,0.914
0.243289153,0.2460,0.0411,0.8751,0.910
0.246586769,0.2418,0.0399,0.8716,0.905
0.247772923,0.2367,0.0384,0.8709,0.903
0.250189846,0.2345,0.0343,0.8721,0.904
0.252872615,0.2316,0.0259,0.8832,0.913
0.255137153,0.2348,0.0225,0.8897,0.920
0.257344615,0.2333,0.0205,0.8985,0.928
0.260052923,0.2385,0.0186,0.9026,0.934
0.263281153,0.2406,0.0205,0.9051,0.937
0.26454423,0.2438,0.0233,0.9005,0.933
0.267066461,0.2413,0.0303,0.8978,0.930
0.270925461,0.2380,0.0415,0.8890,0.921
0.271803,0.2350,0.0552,0.8807,0.913
0.275238692,0.2301,0.0701,0.8694,0.902
0.276890153,0.2252,0.0773,0.8494,0.882
0.279705461,0.2236,0.0816,0.8264,0.860
0.281566461,0.2215,0.0855,0.8020,0.836
0.28421223,0.2215,0.0867,0.7774,0.813
0.287688,0.2267,0.0836,0.7537,0.791
0.288969461,0.2304,0.0816,0.7280,0.768
0.291113769,0.2418,0.0804,0.7080,0.752
