time,gFx,gFy,gFz,TgF
0.002326154,0.1097,0.9917,0.1301,1.006
0.002572693,0.1094,0.9937,0.1326,1.008
0.002701231,0.1078,0.9942,0.1353,1.009
0.002831385,0.1067,0.9963,0.1387,1.012
0.004914846,0.1060,1.0000,0.1362,1.015
0.006422539,0.1043,0.9986,0.1348,1.013
0.008843693,0.1050,1.0005,0.1289,1.014
0.013270539,0.1024,0.9983,0.1297,1.012
0.013780385,0.1060,0.9988,0.1280,1.013
0.016270539,0.1038,0.9995,0.1301,1.013
0.018908077,0.1070,0.9981,0.1326,1.013
0.021607154,0.1058,0.9963,0.1338,1.011
0.023376923,0.1058,0.9993,0.1343,1.014
0.025957,0.1090,1.0000,0.1348,1.015
0.028287693,0.1116,0.9998,0.1345,1.015
0.030902462,0.1148,0.9949,0.1362,1.011
0.033191154,0.1183,0.9930,0.1360,1.009
0.035404385,0.1183,0.9939,0.1331,1.010
0.037944,0.1202,0.9919,0.1329,1.008
0.040443693,0.1178,0.9934,0.1338,1.009
0.043911385,0.1160,0.9934,0.1316,1.009
0.045050846,0.1134,0.9907,0.1306,1.006
0.047572,0.1151,0.9930,0.1309,1.008
0.049953231,0.1136,0.9937,0.1321,1.009
0.052450462,0.1141,0.9939,0.1318,1.009
0.054683077,0.1158,0.9951,0.1336,1.011
0.057201231,0.1183,0.9970,0.1318,1.013
0.061250769,0.1187,0.9988,0.1316,1.014
0.062140693,0.1190,0.9995,0.1297,1.015
0.06454,0.1172,0.9991,0.1289,1.014
0.066959769,0.1136,1.0017,0.1255,1.016
0.069385231,0.1134,1.0027,0.1223,1.016
0.071736,0.1090,1.0027,0.1199,1.016
0.074352308,0.1090,1.0039,0.1206,1.017
0.077176693,0.1118,1.0039,0.1229,1.018
0.078886769,0.1136,1.0022,0.1260,1.017
0.081733,0.1165,1.0012,0.1277,1.016
0.085713923,0.1185,1.0003,0.1272,1.015
0.0862,0.1214,0.9958,0.1292,1.011
0.089691693,0.1202,0.9923,0.1285,1.008
0.091750462,0.1163,0.9939,0.1304,1.009
0.098550539,0.1121,0.9946,0.1289,1.009
0.098976308,0.1065,0.9898,0.1255,1.003
0.099264,0.1031,0.9890,0.1220,1.002
0.109546539,0.1024,0.9910,0.1201,1.004
0.109946769,0.1034,0.9890,0.1231,1.002
0.110138846,0.1038,0.9939,0.1231,1.007
0.110321539,0.1055,0.9946,0.1285,1.008
