time,gFx,gFy,gFz,TgF
0.001243153,-0.0984,0.3404,0.9669,1.030
0.001605307,-0.0994,0.3426,0.9635,1.027
0.001765538,-0.1010,0.3452,0.9584,1.024
0.003747384,-0.1040,0.3433,0.9549,1.020
0.00642523,-0.1015,0.3424,0.9498,1.015
0.008518153,-0.0982,0.3384,0.9468,1.010
0.015030846,-0.0961,0.3371,0.9437,1.007
0.015276692,-0.0935,0.3336,0.9388,1.001
0.015646769,-0.0889,0.3328,0.9328,0.994
0.018987769,-0.0833,0.3299,0.9261,0.987
0.020574846,-0.0874,0.3313,0.9235,0.985
0.023007077,-0.0854,0.3315,0.9173,0.979
0.02558923,-0.0833,0.3296,0.9117,0.973
0.028208077,-0.0820,0.3301,0.9090,0.971
0.030149846,-0.0833,0.3289,0.9051,0.967
0.032523153,-0.0805,0.3318,0.9049,0.967
0.035162538,-0.0800,0.3313,0.9014,0.964
0.037212384,-0.0817,0.3308,0.9005,0.963
0.039715077,-0.0828,0.3303,0.9056,0.968
0.042128923,-0.0835,0.3315,0.9088,0.971
0.044594461,-0.0837,0.3345,0.9191,0.982
0.048330538,-0.0833,0.3362,0.9274,0.990
0.049452692,-0.0812,0.3387,0.9312,0.994
0.052000923,-0.0842,0.3408,0.9393,1.003
0.054127384,-0.0830,0.3420,0.9447,1.008
0.056671153,-0.0835,0.3392,0.9515,1.014
0.059129,-0.0825,0.3424,0.9584,1.021
0.061593,-0.0796,0.3384,0.9642,1.025
0.064017923,-0.0744,0.3355,0.9671,1.026
0.066579769,-0.0717,0.3301,0.9706,1.028
0.068958461,-0.0684,0.3287,0.9776,1.034
0.071024077,-0.0624,0.3225,0.9880,1.041
0.0735,-0.0579,0.3196,0.9948,1.046
0.076041923,-0.0554,0.3169,1.0001,1.051
0.078436923,-0.0502,0.3126,1.0036,1.052
0.080769923,-0.0512,0.3120,1.0082,1.057
0.083372923,-0.0507,0.3089,1.0111,1.058
0.087303077,-0.0498,0.3091,1.0143,1.062
0.087907153,-0.0493,0.3091,1.0131,1.060
0.090459153,-0.0519,0.3086,1.0136,1.061
0.094257923,-0.0549,0.3089,1.0127,1.060
0.095199384,-0.0558,0.3103,1.0094,1.057
0.097754538,-0.0600,0.3077,1.0046,1.052
0.100200307,-0.0598,0.3091,1.0041,1.052
0.102971153,-0.0630,0.3069,0.9967,1.045
0.104748923,-0.0668,0.3073,0.9936,1.042
0.107350153,-0.0691,0.3089,0.9892,1.039
0.109987153,-0.0724,0.3093,0.9820,1.032
0.112040077,-0.0784,0.3084,0.9757,1.026
0.114443692,-0.0810,0.3108,0.9675,1.019
0.117025846,-0.0825,0.3098,0.9608,1.013
0.119691077,-0.0866,0.3122,0.9522,1.006
0.12164923,-0.0884,0.3164,0.9440,1.000
0.124346461,-0.0930,0.3164,0.9396,0.996
0.127020384,-0.0940,0.3162,0.9324,0.989
0.128824615,-0.0952,0.3154,0.9271,0.984
0.131562461,-0.0973,0.3173,0.9239,0.982
0.134301846,-0.0994,0.3182,0.9195,0.978
0.136644615,-0.0996,0.3194,0.9151,0.974
0.138566846,-0.0971,0.3213,0.9102,0.970
0.141212,-0.0971,0.3222,0.9078,0.968
0.143635077,-0.0940,0.3198,0.9073,0.967
0.145759153,-0.0966,0.3225,0.9061,0.967
0.148416307,-0.0954,0.3213,0.9070,0.967
0.150974846,-0.0917,0.3245,0.9078,0.968
0.153164923,-0.0857,0.3218,0.9112,0.970
0.155623692,-0.0845,0.3222,0.9139,0.973
0.158125846,-0.0815,0.3203,0.9173,0.975
0.160559153,-0.0773,0.3201,0.9200,0.977
0.162618769,-0.0735,0.3215,0.9214,0.979
0.165455153,-0.0710,0.3225,0.9263,0.983
0.168596615,-0.0688,0.3243,0.9305,0.988
0.170120615,-0.0635,0.3250,0.9364,0.993
0.172337,-0.0624,0.3238,0.9420,0.998
0.175155384,-0.0581,0.3228,0.9484,1.003
0.177395692,-0.0549,0.3203,0.9542,1.008
0.179717538,-0.0527,0.3210,0.9586,1.012
0.182449,-0.0488,0.3222,0.9630,1.017
0.186585923,-0.0470,0.3220,0.9679,1.021
0.186731384,-0.0444,0.3233,0.9733,1.027
0.189501,-0.0449,0.3215,0.9787,1.031
0.192270846,-0.0421,0.3189,0.9845,1.036
0.19410223,-0.0397,0.3164,0.9889,1.039
0.196425923,-0.0383,0.3166,0.9985,1.048
0.199602153,-0.0370,0.3140,1.0043,1.053
0.202477615,-0.0329,0.3122,1.0111,1.059
0.203818846,-0.0337,0.3115,1.0141,1.061
0.206417538,-0.0351,0.3133,1.0150,1.063
0.209791077,-0.0375,0.3096,1.0172,1.064
0.211039692,-0.0383,0.3103,1.0162,1.063
0.213364923,-0.0385,0.3105,1.0148,1.062
0.216364615,-0.0430,0.3091,1.0141,1.061
0.218497846,-0.0453,0.3086,1.0116,1.059
0.220576307,-0.0461,0.3061,1.0069,1.053
0.224157923,-0.0470,0.3023,0.9997,1.045
0.226492077,-0.0507,0.3054,0.9987,1.046
0.227965307,-0.0549,0.3059,0.9938,1.041
0.230395384,-0.0568,0.3061,0.9904,1.038
0.233081615,-0.0626,0.3101,0.9869,1.036
0.235482846,-0.0684,0.3133,0.9813,1.032
0.237522769,-0.0710,0.3159,0.9776,1.030
0.240176615,-0.0740,0.3191,0.9735,1.027
0.242880692,-0.0747,0.3231,0.9713,1.026
0.244727077,-0.0768,0.3245,0.9657,1.022
0.247527153,-0.0771,0.3247,0.9615,1.018
0.249945615,-0.0789,0.3264,0.9577,1.015
0.252393538,-0.0776,0.3294,0.9549,1.013
0.255003077,-0.0752,0.3287,0.9549,1.013
0.257127692,-0.0764,0.3320,0.9525,1.012
0.259569538,-0.0776,0.3320,0.9530,1.012
0.261776692,-0.0735,0.3340,0.9508,1.010
0.264837307,-0.0730,0.3345,0.9522,1.012
0.268417615,-0.0707,0.3357,0.9515,1.011
0.269173615,-0.0684,0.3369,0.9564,1.016
0.271260923,-0.0696,0.3401,0.9569,1.018
0.274111769,-0.0673,0.3396,0.9582,1.019
0.276307461,-0.0632,0.3438,0.9582,1.020
0.278491692,-0.0612,0.3416,0.9579,1.019
0.281359769,-0.0593,0.3404,0.9591,1.019
0.283335461,-0.0546,0.3436,0.9598,1.021
0.286209,-0.0527,0.3433,0.9564,1.018
0.288796692,-0.0483,0.3416,0.9552,1.016
0.291976307,-0.0478,0.3433,0.9535,1.014
0.293210538,-0.0400,0.3416,0.9481,1.009
0.295690461,-0.0393,0.3420,0.9471,1.008
0.297851692,-0.0405,0.3436,0.9449,1.006
0.300519384,-0.0400,0.3469,0.9428,1.005
0.303116307,-0.0353,0.3462,0.9430,1.005
0.306640077,-0.0358,0.3485,0.9410,1.004
0.308953615,-0.0378,0.3469,0.9375,1.000
0.310004077,-0.0351,0.3467,0.9379,1.001
0.312746153,-0.0385,0.3476,0.9364,1.000
0.315312692,-0.0395,0.3460,0.9359,0.999
0.317526846,-0.0405,0.3429,0.9371,0.999
0.319493538,-0.0407,0.3399,0.9400,1.000
0.322002461,-0.0397,0.3389,0.9415,1.001
0.325495153,-0.0407,0.3343,0.9412,1.000
0.326778846,-0.0437,0.3320,0.9415,0.999
0.329496692,-0.0417,0.3287,0.9400,0.997
0.331961615,-0.0444,0.3266,0.9388,0.995
0.334173615,-0.0427,0.3262,0.9373,0.993
0.336366769,-0.0434,0.3250,0.9381,0.994
0.338910846,-0.0449,0.3287,0.9371,0.994
0.341995077,-0.0493,0.3266,0.9354,0.992
0.345097538,-0.0502,0.3269,0.9381,0.995
0.347372307,-0.0522,0.3259,0.9388,0.995
0.349168923,-0.0537,0.3277,0.9393,0.996
