time,gFx,gFy,gFz,TgF
0.002341231,-0.4394,-0.7595,0.5044,1.012
0.002700923,-0.4373,-0.7546,0.5117,1.011
0.002859769,-0.4378,-0.7462,0.5181,1.008
0.003185616,-0.4362,-0.7397,0.5228,1.005
0.005217308,-0.4334,-0.7362,0.5282,1.004
0.006022154,-0.4334,-0.7338,0.5350,1.006
0.008416,-0.4285,-0.7331,0.5423,1.008
0.013963154,-0.4290,-0.7308,0.5452,1.008
0.014190154,-0.4260,-0.7299,0.5480,1.007
0.015643769,-0.4262,-0.7304,0.5489,1.008
0.017935769,-0.4267,-0.7301,0.5518,1.010
0.020318231,-0.4282,-0.7228,0.5531,1.006
0.022846539,-0.4294,-0.7223,0.5494,1.004
0.025852,-0.4297,-0.7233,0.5506,1.005
0.028719769,-0.4326,-0.7248,0.5538,1.009
0.029996,-0.4353,-0.7248,0.5531,1.010
0.032625846,-0.4404,-0.7199,0.5467,1.006
0.034993539,-0.4418,-0.7194,0.5403,1.002
0.037294154,-0.4458,-0.7203,0.5452,1.007
0.039904077,-0.4485,-0.7240,0.5394,1.008
0.043008923,-0.4504,-0.7236,0.5415,1.010
0.044485616,-0.4575,-0.7243,0.5387,1.012
0.047013616,-0.4600,-0.7243,0.5308,1.009
0.049384385,-0.4588,-0.7220,0.5322,1.008
0.052365308,-0.4597,-0.7250,0.5261,1.007
0.054166846,-0.4614,-0.7240,0.5220,1.005
0.056577846,-0.4641,-0.7306,0.5205,1.010
0.059295077,-0.4627,-0.7345,0.5213,1.013
0.061398462,-0.4632,-0.7376,0.5250,1.017
0.063788616,-0.4619,-0.7413,0.5230,1.018
0.066307769,-0.4660,-0.7423,0.5198,1.019
0.069231385,-0.4712,-0.7423,0.5181,1.021
0.071139693,-0.4695,-0.7369,0.5115,1.013
0.073519154,-0.4693,-0.7380,0.5022,1.008
0.075988385,-0.4629,-0.7380,0.4942,1.002
0.078213923,-0.4602,-0.7409,0.4891,1.000
0.080682231,-0.4534,-0.7418,0.4863,0.996
0.084021539,-0.4480,-0.7450,0.4830,0.994
0.085484,-0.4429,-0.7469,0.4817,0.993
0.087951693,-0.4373,-0.7474,0.4830,0.992
0.090627769,-0.4313,-0.7504,0.4873,0.993
0.095840616,-0.4287,-0.7518,0.4861,0.993
0.096519769,-0.4226,-0.7518,0.4826,0.988
0.098344308,-0.4231,-0.7534,0.4819,0.989
0.110122769,-0.4197,-0.7548,0.4802,0.988
0.110471693,-0.4194,-0.7553,0.4795,0.988
0.110592,-0.4169,-0.7572,0.4810,0.989
0.110715077,-0.4143,-0.7599,0.4812,0.990
0.110828616,-0.4120,-0.7627,0.4898,0.996
0.112402462,-0.4101,-0.7648,0.4935,0.998
0.114835154,-0.4120,-0.7665,0.4951,1.001
0.117202769,-0.4133,-0.7651,0.5010,1.004
0.119323154,-0.4120,-0.7655,0.5054,1.006
0.121751154,-0.4120,-0.7634,0.5166,1.010
0.124341231,-0.4143,-0.7597,0.5254,1.012
0.127101616,-0.4138,-0.7550,0.5254,1.009
0.128923693,-0.4152,-0.7516,0.5266,1.007
0.131796385,-0.4138,-0.7526,0.5322,1.010
0.134216616,-0.4089,-0.7570,0.5394,1.015
0.136363154,-0.4047,-0.7624,0.5489,1.023
0.139003385,-0.4033,-0.7695,0.5564,1.032
0.143804,-0.4038,-0.7721,0.5653,1.039
0.144292923,-0.4031,-0.7776,0.5687,1.044
0.145886846,-0.4038,-0.7792,0.5662,1.044
0.148694769,-0.4052,-0.7758,0.5585,1.038
0.150977616,-0.4145,-0.7770,0.5455,1.036
0.152994462,-0.4155,-0.7736,0.5359,1.029
0.156086231,-0.4182,-0.7758,0.5235,1.025
0.159467769,-0.4201,-0.7758,0.5247,1.026
0.160331077,-0.4241,-0.7748,0.5257,1.028
0.162917231,-0.4287,-0.7770,0.5273,1.032
0.165310539,-0.4346,-0.7776,0.5345,1.039
0.167886769,-0.4329,-0.7772,0.5391,1.040
0.169954154,-0.4304,-0.7748,0.5364,1.036
0.172556923,-0.4250,-0.7721,0.5282,1.028
0.177850539,-0.4152,-0.7723,0.5189,1.019
0.178123693,-0.4096,-0.7665,0.5120,1.009
0.180152308,-0.4189,-0.7688,0.5117,1.014
0.182334231,-0.4253,-0.7655,0.5089,1.013
0.184641539,-0.4334,-0.7663,0.5047,1.015
0.186809231,-0.4360,-0.7614,0.4998,1.010
0.192664385,-0.4411,-0.7562,0.5019,1.009
0.193104308,-0.4446,-0.7502,0.5028,1.007
0.194262539,-0.4404,-0.7523,0.4959,1.003
0.196832308,-0.4399,-0.7453,0.4979,0.998
0.199252,-0.4341,-0.7382,0.5040,0.994
0.205307154,-0.4275,-0.7389,0.4981,0.988
0.205732693,-0.4297,-0.7406,0.4917,0.987
0.206871693,-0.4311,-0.7429,0.4875,0.988
0.219781923,-0.4326,-0.7418,0.4868,0.987
0.220210539,-0.4334,-0.7394,0.4873,0.986
0.220358231,-0.4355,-0.7394,0.4844,0.985
0.220540308,-0.4309,-0.7343,0.4824,0.979
0.220676693,-0.4338,-0.7287,0.4768,0.973
0.220810846,-0.4341,-0.7228,0.4693,0.965
0.223172385,-0.4329,-0.7257,0.4814,0.973
0.225391154,-0.4275,-0.7282,0.4856,0.974
0.227822462,-0.4194,-0.7245,0.4984,0.974
0.230541231,-0.4155,-0.7233,0.4893,0.967
0.235315077,-0.4164,-0.7267,0.4812,0.966
0.236001539,-0.4099,-0.7296,0.4817,0.966
0.237619077,-0.4040,-0.7257,0.4851,0.962
0.240111693,-0.4008,-0.7292,0.4900,0.966
0.242537308,-0.3999,-0.7275,0.4981,0.968
0.244800923,-0.3982,-0.7277,0.5010,0.969
0.250437846,-0.3994,-0.7282,0.5091,0.974
0.251117539,-0.4001,-0.7282,0.5161,0.978
0.252052308,-0.3984,-0.7269,0.5191,0.978
0.254608923,-0.4040,-0.7280,0.5226,0.983
0.258733231,-0.4111,-0.7240,0.5279,0.986
0.259286846,-0.4211,-0.7250,0.5338,0.994
0.261647154,-0.4331,-0.7233,0.5403,1.001
0.264303462,-0.4429,-0.7238,0.5450,1.008
0.267435769,-0.4487,-0.7231,0.5499,1.013
0.268883385,-0.4539,-0.7184,0.5540,1.014
0.271338846,-0.4511,-0.7184,0.5513,1.012
0.276482462,-0.4495,-0.7177,0.5499,1.010
0.276934846,-0.4483,-0.7164,0.5531,1.010
0.278704077,-0.4495,-0.7155,0.5582,1.013
0.281173616,-0.4448,-0.7162,0.5601,1.012
0.283729,-0.4439,-0.7143,0.5680,1.015
0.285846539,-0.4355,-0.7106,0.5669,1.008
0.288433616,-0.4299,-0.7059,0.5645,1.001
0.292485,-0.4250,-0.7030,0.5636,0.996
0.292972385,-0.4194,-0.6994,0.5636,0.991
0.295701,-0.4140,-0.6924,0.5660,0.986
0.303165846,-0.4111,-0.6896,0.5636,0.981
0.304865231,-0.4059,-0.6849,0.5657,0.977
0.305596077,-0.3969,-0.6822,0.5625,0.969
0.305971693,-0.3877,-0.6854,0.5613,0.967
0.310840077,-0.3822,-0.6835,0.5508,0.957
0.311359693,-0.3773,-0.6861,0.5420,0.952
0.316082231,-0.3752,-0.6861,0.5354,0.948
0.316528923,-0.3722,-0.6861,0.5215,0.939
0.318886769,-0.3759,-0.6830,0.5044,0.929
0.319439693,-0.3820,-0.6800,0.4932,0.923
0.322316,-0.3796,-0.6786,0.4742,0.911
0.324648616,-0.3786,-0.6800,0.4585,0.903
0.326753,-0.3776,-0.6800,0.4451,0.896
0.329186154,-0.3776,-0.6793,0.4321,0.889
0.333077,-0.3769,-0.6776,0.4192,0.881
0.333884693,-0.3773,-0.6798,0.4096,0.879
0.336770462,-0.3805,-0.6740,0.4031,0.873
0.340317846,-0.3805,-0.6747,0.4013,0.872
0.341152,-0.3782,-0.6759,0.3999,0.872
0.343637923,-0.3689,-0.6779,0.3935,0.866
0.346901231,-0.3661,-0.6842,0.3977,0.872
0.349981846,-0.3654,-0.6884,0.4043,0.878
0.350815385,-0.3612,-0.6917,0.4082,0.881
0.353612077,-0.3563,-0.6989,0.4199,0.890
0.356393539,-0.3549,-0.7076,0.4306,0.901
0.358011462,-0.3510,-0.7152,0.4492,0.915
0.360946769,-0.3473,-0.7187,0.4705,0.927
0.363124,-0.3463,-0.7255,0.4919,0.943
0.367520693,-0.3437,-0.7287,0.5086,0.953
0.368098231,-0.3326,-0.7373,0.5189,0.961
0.370902846,-0.3216,-0.7482,0.5252,0.969
0.373497231,-0.3095,-0.7624,0.5217,0.974
0.374917846,-0.2955,-0.7768,0.5252,0.983
0.377367462,-0.2853,-0.7930,0.5286,0.995
0.379677539,-0.2775,-0.8095,0.5391,1.011
0.383682231,-0.2733,-0.8232,0.5564,1.030
0.384651385,-0.2701,-0.8315,0.5677,1.042
0.387339154,-0.2657,-0.8410,0.5699,1.050
0.389522462,-0.2731,-0.8430,0.5775,1.058
0.392671462,-0.2762,-0.8471,0.6016,1.075
0.394417539,-0.2785,-0.8547,0.6270,1.096
0.399349,-0.2831,-0.8550,0.6440,1.107
0.401839385,-0.2936,-0.8569,0.6498,1.115
0.402475462,-0.3088,-0.8574,0.6522,1.121
0.404085846,-0.3246,-0.8510,0.6359,1.111
0.408702462,-0.3419,-0.8471,0.5978,1.092
0.410556616,-0.3498,-0.8401,0.5653,1.071
0.410992,-0.3684,-0.8322,0.5345,1.055
0.413814769,-0.3842,-0.8235,0.5040,1.039
0.416241231,-0.3984,-0.8142,0.4763,1.024
0.418677616,-0.4050,-0.8103,0.4467,1.010
0.421073923,-0.4045,-0.8076,0.4138,0.993
0.423180616,-0.3999,-0.8079,0.3918,0.983
0.425454846,-0.3966,-0.8093,0.3730,0.975
0.428352923,-0.3969,-0.8076,0.3717,0.974
0.431974846,-0.3918,-0.8054,0.3608,0.966
0.432785923,-0.3903,-0.8049,0.3461,0.959
0.435413,-0.3724,-0.8005,0.3295,0.942
0.437811693,-0.3623,-0.8019,0.3173,0.935
0.440353923,-0.3535,-0.8079,0.3227,0.939
0.442592308,-0.3458,-0.8198,0.3270,0.948
0.445476385,-0.3414,-0.8286,0.3274,0.954
0.449906769,-0.3297,-0.8340,0.3390,0.959
0.450259385,-0.3216,-0.8374,0.3528,0.964
0.452246846,-0.3134,-0.8398,0.3522,0.963
0.455976,-0.3070,-0.8398,0.3654,0.966
0.457119154,-0.2948,-0.8403,0.3661,0.963
0.459367462,-0.2813,-0.8454,0.3561,0.960
0.461988693,-0.2684,-0.8457,0.3500,0.954
0.466315693,-0.2562,-0.8484,0.3503,0.953
0.467311077,-0.2340,-0.8591,0.3459,0.955
0.469109308,-0.2205,-0.8699,0.3515,0.964
0.475107693,-0.2149,-0.8736,0.3481,0.965
0.475497539,-0.2242,-0.8671,0.3715,0.970
0.476377,-0.2293,-0.8594,0.3859,0.970
0.478847462,-0.2435,-0.8574,0.3889,0.972
0.481276308,-0.2540,-0.8587,0.3906,0.977
0.483615154,-0.2716,-0.8589,0.4069,0.988
0.486638769,-0.2941,-0.8638,0.4071,0.999
0.490012385,-0.3107,-0.8689,0.4133,1.011
0.490751693,-0.3200,-0.8829,0.4380,1.036
0.493170846,-0.3204,-0.8708,0.4819,1.046
0.495776308,-0.3246,-0.8650,0.5044,1.053
0.501867462,-0.3354,-0.8677,0.5030,1.057
0.502881539,-0.3337,-0.8682,0.4998,1.056
0.503675462,-0.3393,-0.8699,0.5279,1.073
0.517307077,-0.3451,-0.8692,0.5548,1.087
0.518001846,-0.3435,-0.8694,0.5608,1.090
0.518365231,-0.3461,-0.8757,0.5601,1.096
0.518547154,-0.3432,-0.8775,0.5440,1.088
0.518723462,-0.3419,-0.8797,0.5318,1.083
0.518910231,-0.3419,-0.8806,0.5130,1.075
0.520226231,-0.3479,-0.8813,0.4861,1.065
0.522085616,-0.3588,-0.8816,0.4632,1.059
0.524506154,-0.3691,-0.8826,0.4431,1.054
0.527169308,-0.3862,-0.8816,0.4262,1.053
0.530652616,-0.4018,-0.8836,0.4174,1.057
0.533516923,-0.4204,-0.8889,0.4141,1.067
0.534805616,-0.4397,-0.8921,0.4155,1.078
0.536860616,-0.4560,-0.8960,0.4211,1.090
0.540022846,-0.4744,-0.8934,0.4189,1.095
0.541509231,-0.4858,-0.8878,0.4089,1.091
