time,gFx,gFy,gFz,TgF
0.001941769,-0.2466,0.1857,0.8580,0.912
0.002202154,-0.2757,0.1887,0.8814,0.943
0.002322077,-0.3031,0.1924,0.9000,0.969
0.002613769,-0.3234,0.1908,0.9170,0.991
0.002800308,-0.3417,0.1962,0.9415,1.021
0.002923308,-0.3512,0.2123,0.9801,1.063
0.005489154,-0.3623,0.2187,0.9918,1.078
0.006303385,-0.3705,0.2160,0.9894,1.078
0.014704615,-0.3782,0.2109,0.9845,1.076
0.015584538,-0.3817,0.2043,0.9745,1.066
0.016245846,-0.3817,0.1926,0.9706,1.061
0.016441538,-0.3720,0.1845,0.9687,1.054
0.018859615,-0.3632,0.1730,0.9715,1.052
0.021006385,-0.3525,0.1659,0.9728,1.048
0.023221231,-0.3412,0.1559,0.9774,1.047
0.026004923,-0.3277,0.1466,0.9828,1.046
0.028003308,-0.3178,0.1405,0.9836,1.043
0.030489769,-0.3092,0.1381,0.9796,1.036
0.032843692,-0.3036,0.1393,0.9728,1.028
0.035340923,-0.2941,0.1463,0.9633,1.018
0.038165231,-0.2829,0.1568,0.9557,1.009
0.043193538,-0.2777,0.1649,0.9486,1.002
0.043444308,-0.2689,0.1745,0.9484,1.001
0.046064615,-0.2633,0.1913,0.9466,1.001
0.047285538,-0.2531,0.2062,0.9424,0.997
0.051619,-0.2466,0.2204,0.9371,0.994
0.052131692,-0.2398,0.2327,0.9310,0.989
0.054628231,-0.2296,0.2456,0.9244,0.984
0.059649769,-0.2224,0.2524,0.9247,0.984
0.059971308,-0.2119,0.2612,0.9247,0.984
0.061799308,-0.2051,0.2678,0.9279,0.987
0.064503923,-0.1921,0.2702,0.9310,0.988
0.070628615,-0.1807,0.2735,0.9335,0.989
0.070950385,-0.1655,0.2749,0.9335,0.987
0.071368615,-0.1546,0.2751,0.9323,0.984
0.074595308,-0.1425,0.2719,0.9337,0.983
0.078994154,-0.1318,0.2654,0.9332,0.979
0.079272923,-0.1240,0.2634,0.9349,0.979
0.081483,-0.1143,0.2602,0.9359,0.978
0.085647692,-0.1028,0.2556,0.9354,0.975
0.086042461,-0.0901,0.2492,0.9375,0.974
0.088378385,-0.0712,0.2478,0.9356,0.970
0.091053538,-0.0534,0.2411,0.9386,0.971
0.094633538,-0.0334,0.2380,0.9403,0.971
0.095885538,-0.0176,0.2351,0.9435,0.972
0.099083308,-0.0021,0.2321,0.9476,0.976
0.104209769,0.0132,0.2329,0.9552,0.983
0.104437231,0.0254,0.2327,0.9579,0.986
0.105157846,0.0354,0.2334,0.9618,0.990
0.107634692,0.0428,0.2334,0.9687,0.997
0.110093154,0.0447,0.2323,0.9740,1.002
0.112596,0.0459,0.2367,0.9806,1.010
0.115966692,0.0437,0.2327,0.9950,1.023
0.119694461,0.0403,0.2339,1.0069,1.035
0.119993154,0.0305,0.2351,1.0216,1.049
0.122663692,0.0170,0.2378,1.0365,1.064
0.124868231,-0.0023,0.2385,1.0493,1.076
0.127232846,-0.0211,0.2358,1.0568,1.083
0.129737769,-0.0453,0.2360,1.0647,1.091
0.132206077,-0.0651,0.2336,1.0754,1.102
0.135816308,-0.0789,0.2321,1.0840,1.111
0.136684846,-0.0930,0.2314,1.0935,1.122
0.13916,-0.1128,0.2346,1.1045,1.135
0.143758769,-0.1250,0.2365,1.1140,1.146
0.144041461,-0.1360,0.2365,1.1138,1.147
0.146798077,-0.1409,0.2376,1.1166,1.150
0.155861769,-0.1434,0.2407,1.1194,1.154
0.156087385,-0.1409,0.2441,1.1191,1.154
0.156178692,-0.1353,0.2465,1.1257,1.160
0.156275692,-0.1216,0.2507,1.1262,1.160
0.159985231,-0.1128,0.2549,1.1203,1.154
0.161112923,-0.1059,0.2661,1.1079,1.144
0.163306154,-0.1052,0.2719,1.0989,1.137
0.165538385,-0.1157,0.2791,1.0864,1.128
0.168030385,-0.1529,0.2668,1.0735,1.117
0.170626154,-0.1932,0.2558,1.0519,1.100
0.173579,-0.2107,0.2739,1.0376,1.094
0.177659,-0.2171,0.2979,1.0197,1.084
0.178285461,-0.2193,0.3186,0.9911,1.064
0.180026692,-0.2212,0.3382,0.9615,1.043
0.185135923,-0.2198,0.3499,0.9400,1.027
0.185334077,-0.2186,0.3574,0.9235,1.014
0.187403308,-0.2115,0.3567,0.9093,0.999
0.190523692,-0.1919,0.3560,0.8909,0.978
0.196175,-0.1680,0.3501,0.8718,0.954
0.196402077,-0.1418,0.3464,0.8590,0.937
0.197518769,-0.1174,0.3362,0.8499,0.922
0.201612,-0.0877,0.3235,0.8406,0.905
0.202119692,-0.0642,0.2930,0.8359,0.888
0.204146154,-0.0319,0.2730,0.8269,0.871
0.209990077,0.0046,0.2830,0.8101,0.858
0.210214154,0.0317,0.2937,0.7903,0.844
0.215204846,0.0762,0.3008,0.7619,0.823
0.215474461,0.1041,0.3103,0.7304,0.800
0.219881231,0.1244,0.3228,0.6996,0.780
0.220072923,0.1402,0.3320,0.6623,0.754
0.221078077,0.1530,0.3473,0.6317,0.737
0.223627308,0.1649,0.3599,0.6078,0.725
0.225735308,0.1756,0.3678,0.5934,0.720
0.228302154,0.1849,0.3714,0.5907,0.722
0.230937154,0.1898,0.3770,0.6007,0.734
0.233239385,0.1952,0.3823,0.6173,0.752
0.235372923,0.1982,0.3853,0.6368,0.770
0.238034077,0.1996,0.3876,0.6586,0.790
0.241991692,0.1984,0.3902,0.6776,0.807
0.244182692,0.1964,0.3968,0.6931,0.822
0.245465769,0.1930,0.4005,0.7138,0.841
0.249497846,0.1859,0.4058,0.7358,0.861
0.250214769,0.1766,0.4063,0.7621,0.882
0.252286461,0.1700,0.4076,0.7873,0.903
0.255421231,0.1583,0.4125,0.8117,0.924
0.257421231,0.1434,0.4188,0.8308,0.941
0.259719,0.1288,0.4275,0.8464,0.957
0.263877846,0.1190,0.4332,0.8585,0.969
0.264345461,0.1102,0.4391,0.8660,0.977
0.266773231,0.1170,0.4547,0.8758,0.994
0.269623692,0.1139,0.4598,0.8772,0.997
0.272016231,0.1048,0.4603,0.8736,0.993
0.274259923,0.0987,0.4598,0.8672,0.987
0.276440231,0.0923,0.4589,0.8550,0.975
0.27936,0.0820,0.4517,0.8352,0.953
0.281529769,0.0713,0.4456,0.8040,0.922
0.283995923,0.0577,0.4400,0.7698,0.889
0.286508538,0.0461,0.4328,0.7311,0.851
0.288642154,0.0330,0.4279,0.6852,0.808
0.292767923,0.0151,0.4223,0.6383,0.765
0.293528231,0.0030,0.4193,0.5914,0.725
0.296096538,-0.0131,0.4156,0.5528,0.692
0.298682692,-0.0295,0.4112,0.5273,0.669
0.300806077,-0.0470,0.4044,0.5135,0.655
0.304169846,-0.0598,0.4053,0.5079,0.653
0.306031923,-0.0654,0.4024,0.5142,0.656
0.307935692,-0.0730,0.4070,0.5201,0.664
0.310368615,-0.0766,0.4130,0.5301,0.676
0.313403692,-0.0732,0.4181,0.5359,0.684
0.315373154,-0.0651,0.4232,0.5408,0.690
0.317407077,-0.0551,0.4239,0.5496,0.696
0.322135692,-0.0446,0.4295,0.5616,0.708
0.325476923,-0.0292,0.4279,0.5932,0.732
0.325723692,-0.0118,0.4214,0.6386,0.765
0.327346154,0.0093,0.4144,0.6864,0.802
0.330013154,0.0305,0.4127,0.7309,0.840
0.333432923,0.0564,0.4142,0.7651,0.872
0.334809538,0.0869,0.4168,0.7881,0.896
0.337053769,0.1236,0.4219,0.8037,0.916
