time,gFx,gFy,gFz,TgF
0.001616923,0.4342,0.2763,0.9601,1.089
0.001826461,0.3999,0.2979,0.9354,1.060
0.003528307,0.3704,0.3196,0.9105,1.034
0.004711154,0.3428,0.3433,0.8892,1.013
0.007411154,0.3225,0.3634,0.8716,0.998
0.009540615,0.3115,0.3841,0.8562,0.989
0.013780077,0.3007,0.3985,0.8440,0.981
0.014182154,0.2990,0.4146,0.8296,0.974
0.016688923,0.2981,0.4202,0.8120,0.962
0.019636384,0.3012,0.4266,0.7942,0.951
0.021441307,0.3068,0.4237,0.7779,0.937
0.023935384,0.3181,0.4179,0.7676,0.930
0.026807692,0.3340,0.4083,0.7739,0.937
0.028715077,0.3764,0.3900,0.8416,1.001
0.031202769,0.4244,0.3692,0.9669,1.119
0.033544923,0.4361,0.3543,0.9657,1.117
0.036043769,0.4358,0.3323,0.9393,1.087
0.038323077,0.4305,0.3079,0.8937,1.039
0.040793538,0.4156,0.2844,0.8418,0.981
0.044405846,0.4002,0.2651,0.7756,0.912
0.046133923,0.3995,0.2397,0.6584,0.807
0.047994538,0.4109,0.2187,0.4661,0.659
0.050597923,0.4249,0.2157,0.2669,0.546
0.052933923,0.4368,0.2157,0.1159,0.501
0.055411077,0.4466,0.2167,0.1062,0.508
0.058360384,0.4454,0.2216,0.2051,0.538
0.0629,0.4300,0.2292,0.3109,0.578
0.063116077,0.4053,0.2456,0.3696,0.601
0.064932384,0.3865,0.2614,0.3864,0.606
0.069335461,0.3729,0.2835,0.3786,0.602
0.070666461,0.3711,0.3110,0.3596,0.603
0.072460077,0.3813,0.3338,0.3454,0.613
0.075554461,0.3943,0.3590,0.3393,0.632
0.077694769,0.4027,0.3827,0.3276,0.645
0.079563077,0.3997,0.4083,0.3129,0.651
0.082367461,0.3938,0.4330,0.3060,0.660
0.084372307,0.3764,0.4510,0.3026,0.661
0.086743384,0.3515,0.4669,0.3088,0.661
0.089074538,0.3298,0.4735,0.3181,0.659
0.091708923,0.3051,0.4718,0.3286,0.651
0.094567154,0.2795,0.4689,0.3344,0.640
0.096641846,0.2546,0.4622,0.3288,0.622
0.099401,0.2331,0.4533,0.3207,0.602
0.101564692,0.2074,0.4376,0.3080,0.574
0.103725923,0.1854,0.4202,0.2967,0.547
0.106247384,0.1693,0.3970,0.2967,0.524
0.108409615,0.1549,0.3702,0.3085,0.506
0.111120615,0.1441,0.3518,0.3297,0.503
0.113803692,0.1407,0.3259,0.3549,0.502
0.115708692,0.1409,0.2986,0.3833,0.506
0.118397,0.1483,0.2761,0.4045,0.512
0.120288077,0.1610,0.2519,0.4245,0.519
0.12294,0.1791,0.2260,0.4539,0.538
0.130097846,0.2001,0.2016,0.4788,0.557
0.130579461,0.2215,0.1803,0.5079,0.583
0.131019692,0.2313,0.1577,0.5343,0.603
0.132471077,0.2418,0.1419,0.5552,0.622
0.135340077,0.2475,0.1266,0.5729,0.637
0.137591077,0.2475,0.1181,0.5948,0.655
0.140082846,0.2441,0.1044,0.6295,0.683
0.142788077,0.2411,0.0980,0.6666,0.716
0.144590846,0.2338,0.0880,0.7018,0.745
0.147854769,0.2233,0.0729,0.7378,0.774
0.14924923,0.2111,0.0611,0.7676,0.798
