time,gFx,gFy,gFz,TgF
0.001575308,-0.2217,-0.6747,0.6603,0.970
0.001779616,-0.1719,-0.6973,0.6444,0.965
0.003788231,-0.1374,-0.7015,0.6330,0.955
0.005061846,-0.1155,-0.6964,0.6202,0.940
0.007340616,-0.1020,-0.6842,0.6149,0.926
0.009770692,-0.0889,-0.6810,0.6060,0.916
0.014247308,-0.0740,-0.6859,0.6153,0.924
0.014613154,-0.0647,-0.6952,0.6230,0.936
0.016870077,-0.0537,-0.7020,0.6347,0.948
0.020906462,-0.0502,-0.7098,0.6500,0.964
0.021557769,-0.0507,-0.7199,0.6735,0.987
0.023962769,-0.0563,-0.7308,0.6994,1.013
0.026566154,-0.0639,-0.7421,0.7250,1.039
0.030071923,-0.0810,-0.7443,0.7485,1.059
0.031266077,-0.1228,-0.7441,0.7807,1.085
0.033738462,-0.1651,-0.7465,0.8133,1.116
0.036374462,-0.1983,-0.7497,0.8711,1.166
0.038496846,-0.2196,-0.7697,0.9298,1.227
0.041130154,-0.2391,-0.7949,0.9728,1.279
0.043308923,-0.2475,-0.8173,1.0073,1.321
0.045703923,-0.2591,-0.8349,1.0363,1.356
0.048343692,-0.2821,-0.8415,1.0490,1.374
0.050891616,-0.3148,-0.8273,1.0477,1.372
0.053768923,-0.3430,-0.8171,1.0165,1.349
0.055426769,-0.3615,-0.8039,0.9926,1.327
0.057814692,-0.3689,-0.7995,0.9440,1.291
0.061898385,-0.3586,-0.8144,0.8968,1.263
0.063020308,-0.3427,-0.8374,0.8266,1.226
0.066366462,-0.3141,-0.8562,0.7751,1.197
0.067682462,-0.2855,-0.8659,0.7504,1.181
0.069843,-0.2569,-0.8713,0.7267,1.163
0.072448846,-0.2352,-0.8623,0.7048,1.138
0.074692539,-0.2379,-0.8151,0.6936,1.096
0.077738385,-0.2867,-0.6969,0.6894,1.021
0.079479385,-0.2440,-0.6856,0.7546,1.048
0.082030769,-0.1824,-0.7110,0.7346,1.038
0.084458692,-0.1712,-0.6935,0.6989,0.999
0.086747077,-0.2613,-0.5953,0.6542,0.922
0.089224,-0.4902,-0.3490,0.5230,0.797
0.091612923,-0.5594,-0.2845,0.6466,0.901
0.093907385,-0.5765,-0.2461,0.6610,0.911
0.096372923,-0.5391,-0.2584,0.7793,0.982
0.099616616,-0.5084,-0.2545,0.8066,0.987
0.102361231,-0.4768,-0.2750,0.8082,0.978
0.103911692,-0.4334,-0.3050,0.7609,0.927
0.106147923,-0.3791,-0.3339,0.6628,0.833
0.108595923,-0.3229,-0.3884,0.6075,0.790
0.111335,-0.2562,-0.4450,0.5508,0.753
0.113376,-0.2122,-0.4858,0.4883,0.721
0.115821154,-0.1714,-0.5214,0.4216,0.692
0.118258769,-0.1282,-0.5826,0.3500,0.692
0.120767,-0.0891,-0.6444,0.2787,0.708
0.123114769,-0.0414,-0.7182,0.2298,0.755
0.125413769,-0.0106,-0.7816,0.1802,0.802
0.129816,0.0300,-0.8506,0.1583,0.866
0.130379308,0.0726,-0.9146,0.1497,0.930
0.132950077,0.1104,-0.9842,0.1455,1.001
0.140231308,0.1470,-1.0462,0.1382,1.065
0.140437231,0.1947,-1.1181,0.1392,1.143
0.140553769,0.2406,-1.1906,0.1648,1.226
0.142123692,0.2814,-1.2684,0.1741,1.311
0.145102692,0.3168,-1.3529,0.2003,1.404
0.147327923,0.3373,-1.4159,0.2130,1.471
0.149725539,0.3462,-1.4713,0.2371,1.530
0.152051308,0.3389,-1.4939,0.2708,1.556
0.154289231,0.2868,-1.4597,0.3114,1.520
0.156713462,0.1815,-1.3397,0.3466,1.396
0.160574462,0.1519,-1.3199,0.3088,1.364
0.161931077,0.1275,-1.3116,0.2559,1.342
0.164189539,0.0982,-1.3133,0.2047,1.333
0.166588846,0.0731,-1.3104,0.1306,1.319
0.169006077,0.0618,-1.3116,0.0556,1.314
0.171409231,0.0398,-1.3155,-0.0056,1.316
0.173899308,0.0068,-1.3201,-0.0459,1.321
0.176694077,-0.0209,-1.3096,-0.0669,1.311
0.178603,-0.0341,-1.3067,-0.0715,1.309
0.181067616,-0.0476,-1.3003,-0.0638,1.303
0.183318154,-0.0791,-1.2884,-0.0222,1.291
0.185597154,-0.1076,-1.2842,0.0223,1.289
0.188216923,-0.1128,-1.2791,0.0752,1.286
0.190770462,-0.1280,-1.2728,0.1233,1.285
0.193305154,-0.1523,-1.2701,0.1844,1.292
