time,gFx,gFy,gFz,TgF
0.001485847,0.0147,0.9946,0.1590,1.007
0.001693539,0.0114,0.9973,0.1602,1.010
0.001856385,0.0100,0.9949,0.1592,1.008
0.003631077,0.0090,0.9991,0.1578,1.011
0.011694847,0.0063,1.0005,0.1583,1.013
0.011866847,0.0046,0.9958,0.1580,1.008
0.011974539,0.0046,0.9991,0.1583,1.012
0.018700077,0.0021,0.9973,0.1602,1.010
0.018952616,-0.0002,0.9951,0.1609,1.008
0.019253539,0.0039,0.9970,0.1621,1.010
0.019435693,0.0034,0.9954,0.1621,1.009
0.021834154,0.0032,0.9951,0.1619,1.008
0.024020385,0.0034,0.9934,0.1602,1.006
0.026405923,0.0037,0.9939,0.1572,1.006
0.029635154,0.0061,0.9951,0.1572,1.007
0.031193,0.0066,0.9963,0.1546,1.008
0.03363077,0.0051,0.9951,0.1539,1.007
0.037347385,0.0063,0.9949,0.1548,1.007
0.038879154,0.0066,1.0010,0.1570,1.013
0.042316923,0.0122,0.9986,0.1580,1.011
0.043438154,0.0149,0.9970,0.1587,1.010
0.047060616,0.0188,0.9946,0.1555,1.007
0.048589308,0.0198,0.9954,0.1560,1.008
0.05052277,0.0156,0.9956,0.1572,1.008
0.053440385,0.0156,0.9912,0.1565,1.004
0.055687385,0.0147,0.9912,0.1585,1.004
0.058102462,0.0112,0.9949,0.1590,1.008
0.060381847,0.0070,0.9954,0.1595,1.008
0.063203462,0.0039,0.9932,0.1619,1.006
0.066016077,0.0042,0.9961,0.1621,1.009
0.068977616,0.0086,0.9946,0.1639,1.008
0.07002277,0.0061,0.9979,0.1663,1.012
0.072681308,0.0058,0.9973,0.1629,1.011
0.075137847,0.0078,0.9966,0.1604,1.009
0.077862847,0.0075,0.9958,0.1587,1.008
0.079596,0.0081,0.9944,0.1592,1.007
0.082185,0.0102,0.9907,0.1583,1.003
0.085222154,0.0095,0.9946,0.1563,1.007
0.088232616,0.0100,0.9926,0.1575,1.005
0.089139154,0.0066,0.9956,0.1497,1.007
0.091949847,0.0063,1.0032,0.1460,1.014
0.094951154,0.0195,0.9898,0.1609,1.003
0.096875385,0.0256,0.9825,0.1668,0.997
0.101362539,0.0219,0.9837,0.1676,0.998
0.101604616,0.0088,0.9883,0.1632,1.002
0.10396,-0.0031,0.9958,0.1572,1.008
0.106927462,-0.0087,1.0027,0.1539,1.014
0.10854,-0.0029,1.0059,0.1548,1.018
0.113632923,0.0026,1.0086,0.1553,1.020
0.115865847,0.0124,1.0044,0.1595,1.017
0.116072693,0.0193,1.0027,0.1585,1.015
0.11827477,0.0191,1.0007,0.1565,1.013
0.121411693,0.0198,0.9963,0.1563,1.009
0.124802539,0.0144,0.9944,0.1523,1.006
0.125872077,0.0156,0.9932,0.1523,1.005
0.127955385,0.0095,0.9868,0.1541,0.999
0.130281847,0.0081,0.9876,0.1585,1.000
0.133066847,0.0042,0.9886,0.1590,1.001
0.135477539,0.0046,0.9905,0.1575,1.003
0.137691462,0.0044,0.9924,0.1587,1.005
0.14109877,0.0046,0.9958,0.1585,1.008
0.142878462,0.0068,0.9963,0.1585,1.009
0.145345539,0.0078,0.9956,0.1616,1.009
0.146995462,0.0086,0.9973,0.1611,1.010
0.150631385,0.0093,0.9998,0.1609,1.013
0.152758462,0.0075,0.9973,0.1587,1.010
0.154486847,0.0078,0.9968,0.1590,1.009
0.157410154,0.0098,0.9946,0.1621,1.008
0.159448077,0.0070,0.9905,0.1619,1.004
0.162335693,0.0105,0.9924,0.1599,1.005
0.164015385,0.0107,0.9914,0.1616,1.005
0.166444308,0.0119,0.9926,0.1614,1.006
0.169949923,0.0142,0.9924,0.1614,1.006
0.171073539,0.0119,0.9932,0.1599,1.006
0.173519154,0.0098,0.9939,0.1609,1.007
0.176189308,0.0132,0.9954,0.1587,1.008
0.17882777,0.0107,0.9951,0.1624,1.008
0.180991693,0.0114,0.9949,0.1597,1.008
0.183794154,0.0105,0.9932,0.1560,1.005
0.186656693,0.0100,0.9914,0.1560,1.004
0.191460693,0.0112,0.9975,0.1595,1.010
0.192008,0.0095,0.9942,0.1592,1.007
0.195440616,0.0098,0.9956,0.1578,1.008
0.19592,0.0124,0.9944,0.1578,1.007
0.197992308,0.0110,0.9951,0.1575,1.008
0.200406154,0.0112,0.9956,0.1590,1.008
0.205907693,0.0119,0.9970,0.1580,1.010
0.206177847,0.0117,0.9975,0.1567,1.010
0.208156616,0.0114,0.9981,0.1587,1.011
0.209813,0.0107,0.9966,0.1592,1.009
0.213017308,0.0110,0.9956,0.1597,1.008
0.215232308,0.0102,0.9958,0.1602,1.009
0.218025616,0.0086,0.9958,0.1592,1.008
0.220141308,0.0110,0.9951,0.1616,1.008
0.222065847,0.0110,0.9963,0.1609,1.009
0.225463462,0.0112,0.9951,0.1597,1.008
0.227075693,0.0102,0.9942,0.1609,1.007
0.229884923,0.0088,0.9951,0.1611,1.008
0.231877539,0.0088,0.9944,0.1624,1.008
0.23401077,0.0100,0.9937,0.1636,1.007
0.236580923,0.0107,0.9946,0.1632,1.008
0.23961077,0.0110,0.9949,0.1616,1.008
0.241423385,0.0088,0.9973,0.1641,1.011
0.245081847,0.0100,0.9983,0.1609,1.011
0.24605477,0.0117,0.9979,0.1616,1.011
0.248969616,0.0107,0.9981,0.1599,1.011
0.251771154,0.0127,0.9924,0.1629,1.006
0.253713231,0.0132,0.9939,0.1597,1.007
0.255666462,0.0122,0.9912,0.1629,1.005
0.258353,0.0112,0.9923,0.1604,1.005
0.260933308,0.0114,0.9954,0.1614,1.008
0.265079693,0.0149,0.9966,0.1604,1.010
0.265316923,0.0142,0.9942,0.1558,1.006
0.268001,0.0144,0.9930,0.1567,1.005
0.270276,0.0151,0.9934,0.1592,1.006
0.272687385,0.0163,0.9939,0.1585,1.007
0.27504377,0.0122,0.9954,0.1580,1.008
0.277491077,0.0147,0.9942,0.1572,1.007
0.279710154,0.0135,0.9942,0.1590,1.007
0.282608616,0.0142,0.9956,0.1592,1.008
0.285643077,0.0117,0.9951,0.1599,1.008
0.286984693,0.0117,0.9968,0.1597,1.010
0.289350154,0.0098,0.9963,0.1585,1.009
0.292950231,0.0112,0.9949,0.1590,1.008
0.294441847,0.0081,0.9946,0.1595,1.007
0.296541308,0.0061,0.9970,0.1583,1.010
0.299201539,0.0068,0.9934,0.1634,1.007
0.305099693,0.0051,0.9893,0.1651,1.003
0.305378539,0.0046,0.9907,0.1632,1.004
0.308325308,0.0051,0.9919,0.1634,1.005
0.308922231,0.0044,0.9930,0.1611,1.006
0.310964385,0.0058,0.9919,0.1597,1.005
0.313661308,0.0049,0.9942,0.1614,1.007
0.316256923,0.0107,0.9939,0.1597,1.007
0.318641847,0.0073,0.9944,0.1585,1.007
0.322689923,0.0095,0.9939,0.1583,1.006
0.323185847,0.0119,0.9937,0.1575,1.006
0.325657231,0.0100,0.9951,0.1570,1.007
0.331216385,0.0135,0.9951,0.1580,1.008
0.331444616,0.0122,0.9954,0.1572,1.008
0.332976616,0.0112,0.9968,0.1560,1.009
0.336440308,0.0112,0.9975,0.1572,1.010
0.337528385,0.0130,0.9968,0.1570,1.009
0.340248923,0.0127,0.9988,0.1548,1.011
0.342669616,0.0107,0.9995,0.1558,1.012
0.345141231,0.0127,0.9988,0.1560,1.011
0.348402462,0.0098,0.9956,0.1546,1.008
0.352093308,0.0088,0.9958,0.1575,1.008
0.352413923,0.0090,0.9958,0.1583,1.008
0.354574539,0.0083,0.9981,0.1567,1.010
0.357199154,0.0098,0.9968,0.1580,1.009
0.360365231,0.0086,0.9979,0.1590,1.010
0.363386154,0.0054,0.9946,0.1592,1.007
0.364336923,0.0100,0.9966,0.1590,1.009
0.366572308,0.0105,0.9934,0.1602,1.006
0.368944693,0.0073,0.9958,0.1621,1.009
0.372225847,0.0078,0.9937,0.1614,1.007
0.373914847,0.0066,0.9951,0.1619,1.008
0.377479077,0.0093,0.9942,0.1616,1.007
0.378537231,0.0088,0.9942,0.1616,1.007
0.381795077,0.0075,0.9939,0.1585,1.006
0.383986847,0.0088,0.9961,0.1595,1.009
0.386108308,0.0086,0.9932,0.1604,1.006
0.388536616,0.0093,0.9924,0.1590,1.005
0.393161,0.0114,0.9905,0.1621,1.004
0.393490462,0.0117,0.9932,0.1611,1.006
0.397229,0.0102,0.9946,0.1632,1.008
0.397931462,0.0117,0.9934,0.1616,1.006
0.401078847,0.0105,0.9949,0.1614,1.008
0.404756923,0.0100,0.9951,0.1587,1.008
0.405352923,0.0117,0.9932,0.1604,1.006
0.411565231,0.0090,0.9946,0.1616,1.008
0.411873,0.0070,0.9958,0.1619,1.009
0.412272923,0.0066,0.9968,0.1585,1.009
0.414690231,0.0073,0.9939,0.1619,1.007
0.41820277,0.0075,0.9944,0.1597,1.007
0.421495462,0.0061,0.9930,0.1602,1.006
0.422038154,0.0021,0.9917,0.1599,1.005
0.425388077,0.0042,0.9956,0.1611,1.009
0.42742,0.0049,0.9951,0.1602,1.008
0.429965847,0.0032,0.9937,0.1595,1.006
0.432408,0.0042,0.9951,0.1597,1.008
0.435237923,0.0061,0.9958,0.1572,1.008
0.436473923,0.0054,0.9975,0.1555,1.010
0.438998847,0.0063,0.9963,0.1558,1.008
0.442315077,0.0051,0.9991,0.1551,1.011
0.443702154,0.0042,0.9970,0.1521,1.009
0.446141231,0.0044,0.9970,0.1548,1.009
0.449751462,0.0014,0.9954,0.1523,1.007
0.451444693,0.0061,0.9946,0.1504,1.006
0.45487977,0.0042,0.9968,0.1506,1.008
0.455990539,0.0042,0.9944,0.1526,1.006
0.459255693,0.0066,0.9951,0.1509,1.006
0.460587693,0.0049,0.9949,0.1474,1.006
0.463243154,0.0054,0.9946,0.1521,1.006
0.465937539,0.0061,0.9956,0.1502,1.007
0.468061308,0.0066,1.0005,0.1495,1.012
0.470546231,0.0083,0.9973,0.1502,1.009
0.473313923,0.0051,0.9973,0.1523,1.009
0.47588777,0.0046,1.0003,0.1518,1.012
0.478137847,0.0056,1.0003,0.1546,1.012
0.480048693,0.0039,0.9966,0.1563,1.009
0.482838462,0.0030,0.9958,0.1558,1.008
0.48491977,0.0014,0.9942,0.1585,1.007
0.487297616,0.0026,0.9961,0.1611,1.009
0.489720693,0.0019,0.9963,0.1634,1.010
0.492332923,0.0019,0.9944,0.1641,1.008
0.494337308,0.0030,0.9934,0.1646,1.007
0.49672777,0.0026,0.9944,0.1648,1.008
0.499484,0.0044,0.9946,0.1641,1.008
0.501589923,0.0037,0.9956,0.1629,1.009
0.504017231,0.0034,0.9932,0.1653,1.007
0.507389923,0.0021,0.9930,0.1644,1.006
0.511221231,0.0054,0.9958,0.1629,1.009
0.51215477,0.0049,0.9917,0.1644,1.005
0.514303385,0.0063,0.9937,0.1634,1.007
0.517533231,0.0081,0.9942,0.1634,1.008
0.518342231,0.0086,0.9944,0.1632,1.008
0.521171154,0.0107,0.9951,0.1597,1.008
0.524366462,0.0114,0.9942,0.1616,1.007
0.526127077,0.0107,0.9970,0.1629,1.010
0.528236385,0.0139,0.9961,0.1604,1.009
0.530509,0.0147,0.9983,0.1578,1.011
0.533869,0.0149,0.9986,0.1599,1.011
0.535445231,0.0166,0.9968,0.1578,1.009
0.538455154,0.0137,0.9951,0.1563,1.007
0.54191877,0.0127,0.9944,0.1570,1.007
0.542947385,0.0086,0.9956,0.1578,1.008
0.546152385,0.0095,0.9926,0.1578,1.005
0.548365923,0.0095,0.9919,0.1583,1.005
0.550096923,0.0066,0.9944,0.1583,1.007
0.552930154,0.0083,0.9942,0.1572,1.007
0.555497,0.0068,0.9968,0.1580,1.009
0.558257231,0.0032,0.9958,0.1578,1.008
0.559516923,0.0054,0.9946,0.1578,1.007
0.562329539,0.0030,0.9934,0.1578,1.006
0.56678,0.0044,0.9954,0.1572,1.008
0.567073539,0.0051,0.9961,0.1570,1.008
0.569233231,0.0024,0.9937,0.1555,1.006
0.571600385,0.0046,0.9966,0.1539,1.008
0.575194847,0.0034,0.9937,0.1580,1.006
0.580768693,0.0024,0.9956,0.1590,1.008
0.581271077,0.0014,0.9942,0.1595,1.007
0.581474462,0.0042,0.9961,0.1595,1.009
0.58603077,0.0034,0.9949,0.1611,1.008
0.586291462,0.0042,0.9986,0.1614,1.012
0.589085231,0.0086,0.9979,0.1597,1.011
0.591198231,0.0068,0.9939,0.1597,1.007
0.593928616,0.0063,0.9946,0.1619,1.008
0.596499154,0.0107,0.9981,0.1611,1.011
0.599341308,0.0090,0.9970,0.1619,1.010
0.601002154,0.0083,0.9983,0.1624,1.011
0.603149231,0.0066,0.9963,0.1621,1.009
0.607010462,0.0066,0.9949,0.1602,1.008
0.610136923,0.0068,0.9932,0.1627,1.006
0.610557616,0.0083,0.9926,0.1602,1.006
0.613044308,0.0100,0.9907,0.1627,1.004
0.616371154,0.0088,0.9923,0.1624,1.005
0.617345231,0.0102,0.9942,0.1597,1.007
0.619829616,0.0122,0.9951,0.1604,1.008
0.622539154,0.0105,0.9963,0.1599,1.009
0.624489,0.0105,0.9961,0.1572,1.009
0.627036,0.0110,0.9946,0.1558,1.007
0.629944,0.0114,0.9939,0.1546,1.006
0.632138847,0.0119,0.9951,0.1539,1.007
0.636692693,0.0107,0.9966,0.1551,1.009
0.637205231,0.0122,0.9917,0.1575,1.004
0.63909077,0.0149,0.9919,0.1607,1.005
0.641552308,0.0144,0.9937,0.1604,1.007
0.644160616,0.0156,0.9966,0.1602,1.010
0.646850231,0.0119,0.9961,0.1614,1.009
0.652209308,0.0130,0.9981,0.1604,1.011
0.652448693,0.0135,0.9956,0.1607,1.009
0.653417308,0.0137,0.9958,0.1599,1.009
0.656037924,0.0105,0.9961,0.1614,1.009
0.658469231,0.0061,0.9968,0.1639,1.010
0.661047385,0.0024,0.9954,0.1616,1.008
0.665664077,0.0024,0.9919,0.1646,1.006
0.66592277,-0.0016,0.9917,0.1648,1.005
0.667897616,-0.0002,0.9907,0.1670,1.005
0.670770231,-0.0021,0.9846,0.1663,0.999
0.674284,0.0030,0.9888,0.1670,1.003
0.675155385,0.0075,0.9893,0.1658,1.003
0.677524693,0.0073,0.9919,0.1658,1.006
0.68067977,0.0086,0.9919,0.1636,1.005
0.682994462,0.0090,0.9937,0.1629,1.007
0.68479577,0.0114,0.9963,0.1567,1.009
0.687179462,0.0119,0.9923,0.1583,1.005
0.690145539,0.0102,0.9946,0.1534,1.006
0.692064616,0.0105,0.9930,0.1483,1.004
0.694419154,0.0117,0.9900,0.1429,1.000
0.696887462,0.0127,0.9878,0.1382,0.997
0.699624308,0.0193,0.9890,0.1385,0.999
0.701819385,0.0188,0.9917,0.1360,1.001
0.704419462,0.0212,0.9949,0.1387,1.005
0.708406539,0.0161,1.0010,0.1387,1.011
0.710620308,0.0114,1.0024,0.1404,1.012
0.711369847,0.0061,1.0096,0.1404,1.019
0.714885308,0.0081,1.0061,0.1460,1.017
0.716139385,0.0007,1.0073,0.1523,1.019
0.718819154,-0.0038,1.0079,0.1548,1.020
0.721888924,-0.0090,1.0024,0.1555,1.014
0.723701231,-0.0134,1.0010,0.1644,1.015
0.725780693,-0.0141,1.0007,0.1641,1.014
0.728799077,-0.0160,0.9986,0.1663,1.012
0.730940924,-0.0170,0.9968,0.1697,1.011
0.733035462,-0.0165,0.9905,0.1690,1.005
0.735505847,-0.0155,0.9834,0.1756,0.999
0.738156,-0.0143,0.9817,0.1832,0.999
0.74055977,-0.0167,0.9842,0.1832,1.001
0.74277177,-0.0151,0.9898,0.1851,1.007
0.745431154,-0.0087,0.9917,0.1809,1.008
0.748156924,0.0037,0.9914,0.1673,1.005
0.750338462,0.0156,0.9968,0.1716,1.012
0.75251177,0.0127,0.9973,0.1853,1.014
0.755227693,0.0100,0.9975,0.1875,1.015
0.757913308,0.0070,0.9958,0.1826,1.012
0.760117616,-0.0085,0.9975,0.1632,1.011
0.763246154,0.0034,0.9942,0.1853,1.011
0.76475077,0.0168,0.9932,0.1902,1.011
0.766816,0.0239,0.9900,0.1802,1.007
0.769320924,0.0259,0.9870,0.1781,1.003
0.772987385,0.0271,0.9907,0.1783,1.007
0.774072693,0.0242,0.9926,0.1734,1.008
0.77655577,0.0217,0.9958,0.1680,1.010
0.778989231,0.0168,0.9942,0.1653,1.008
0.781381539,0.0176,0.9966,0.1678,1.011
0.783771077,0.0183,0.9924,0.1624,1.006
0.786408077,0.0142,0.9902,0.1583,1.003
0.789289616,0.0095,0.9910,0.1614,1.004
0.792962231,0.0181,0.9912,0.1627,1.005
0.793554231,0.0237,0.9886,0.1639,1.002
0.795816385,0.0242,0.9868,0.1644,1.001
0.798438231,0.0176,0.9888,0.1624,1.002
0.801958847,0.0135,0.9914,0.1644,1.005
0.80426277,0.0122,0.9905,0.1634,1.004
0.807641308,0.0191,0.9944,0.1639,1.008
0.808072077,0.0195,0.9926,0.1660,1.007
0.810243385,0.0135,0.9942,0.1646,1.008
0.812670154,0.0090,0.9944,0.1644,1.008
0.815778539,0.0127,0.9886,0.1665,1.003
0.817436077,0.0066,0.9890,0.1690,1.003
0.820995385,0.0068,0.9895,0.1688,1.004
0.822968924,0.0181,0.9656,0.1641,0.980
0.824825308,0.0070,0.9924,0.1739,1.008
0.827142539,0.0026,0.9807,0.1832,0.998
0.830502462,0.0044,0.9809,0.1844,0.998
0.832079385,-0.0109,1.0079,0.1721,1.023
0.835084616,-0.0083,0.9802,0.1712,0.995
0.837810154,0.0009,1.0208,0.1470,1.031
0.839388,0.0217,0.9832,0.1634,0.997
0.84161177,-0.0041,1.0298,0.1541,1.041
0.844152385,0.0078,1.0105,0.1676,1.024
0.846701,0.0191,0.9844,0.1756,1.000
0.849577924,0.0014,0.9680,0.1636,0.982
0.851310231,-0.0326,1.0406,0.1397,1.050
0.854491385,0.0098,1.0369,0.1619,1.050
0.856800616,0.0030,0.9910,0.1619,1.004
0.858864616,0.0102,0.9832,0.1673,0.997
0.861134231,0.0296,0.9851,0.1663,0.999
