time,gFx,gFy,gFz,TgF
0.001262769,-0.1167,1.0135,-0.0391,1.021
0.001716615,-0.1103,1.0122,-0.0396,1.019
0.001994538,-0.1064,1.0084,-0.0408,1.015
0.004835154,-0.1047,1.0061,-0.0408,1.012
0.006108308,-0.0998,1.0022,-0.0410,1.008
0.008791384,-0.0991,1.0007,-0.0445,1.007
0.011779077,-0.0996,0.9991,-0.0437,1.005
0.014629231,-0.1001,0.9973,-0.0428,1.003
0.015734231,-0.1015,0.9973,-0.0398,1.003
0.018459154,-0.1050,0.9991,-0.0396,1.005
0.021197,-0.1047,1.0022,-0.0384,1.008
0.023103384,-0.1084,1.0030,-0.0364,1.009
0.025441231,-0.1094,1.0017,-0.0342,1.008
0.028505,-0.1094,1.0037,-0.0344,1.010
0.030519769,-0.1089,1.0032,-0.0323,1.010
0.032680923,-0.1094,1.0024,-0.0319,1.009
0.035268692,-0.1111,1.0044,-0.0340,1.011
0.037876615,-0.1123,1.0017,-0.0364,1.009
0.039958461,-0.1125,1.0024,-0.0396,1.010
0.042800308,-0.1115,1.0022,-0.0371,1.009
0.045138461,-0.1157,1.0007,-0.0364,1.008
0.047334769,-0.1152,0.9995,-0.0364,1.007
0.049613231,-0.1131,0.9979,-0.0377,1.005
0.052289,-0.1162,0.9930,-0.0388,1.000
0.055492,-0.1169,0.9956,-0.0393,1.003
0.056946461,-0.1201,0.9930,-0.0377,1.001
0.059643077,-0.1213,0.9944,-0.0388,1.003
0.062746846,-0.1218,0.9914,-0.0388,1.000
0.064152384,-0.1228,0.9942,-0.0379,1.002
0.066557923,-0.1206,0.9944,-0.0408,1.003
0.069758538,-0.1216,0.9937,-0.0433,1.002
0.071508923,-0.1220,0.9907,-0.0415,0.999
0.073892923,-0.1231,0.9917,-0.0420,1.000
0.076283461,-0.1255,0.9932,-0.0424,1.002
0.079008615,-0.1262,0.9939,-0.0437,1.003
0.080904615,-0.1285,0.9937,-0.0420,1.003
0.083569231,-0.1308,0.9963,-0.0435,1.006
0.086026538,-0.1343,0.9991,-0.0440,1.009
0.089697923,-0.1331,0.9995,-0.0430,1.009
0.090670846,-0.1367,1.0015,-0.0442,1.012
0.093181,-0.1313,1.0035,-0.0442,1.013
0.096071769,-0.1320,1.0054,-0.0437,1.015
0.097866231,-0.1299,1.0063,-0.0433,1.016
0.100661,-0.1255,1.0049,-0.0459,1.014
0.103937,-0.1236,1.0044,-0.0424,1.013
0.105018769,-0.1201,1.0037,-0.0417,1.012
0.107420615,-0.1206,1.0032,-0.0420,1.011
0.110295077,-0.1194,1.0024,-0.0440,1.010
0.112813,-0.1187,1.0027,-0.0420,1.011
0.115794231,-0.1208,0.9966,-0.0449,1.005
0.118273846,-0.1238,0.9991,-0.0420,1.008
0.123997308,-0.1267,1.0007,-0.0461,1.010
0.124447769,-0.1262,1.0007,-0.0433,1.010
0.124844308,-0.1285,0.9998,-0.0393,1.009
0.126911154,-0.1333,1.0019,-0.0405,1.012
0.129637308,-0.1336,1.0037,-0.0428,1.013
0.131571077,-0.1333,1.0073,-0.0393,1.017
0.134167692,-0.1308,1.0054,-0.0305,1.014
0.136921,-0.1331,1.0079,-0.0337,1.017
0.138907154,-0.1316,1.0068,-0.0330,1.016
0.141483154,-0.1260,1.0071,-0.0276,1.015
0.145095692,-0.1236,1.0049,-0.0310,1.013
0.147950154,-0.1252,1.0047,-0.0340,1.013
0.148367154,-0.1262,1.0061,-0.0310,1.014
0.151449231,-0.1260,1.0061,-0.0323,1.014
0.153424308,-0.1250,1.0039,-0.0315,1.012
0.1559,-0.1260,1.0049,-0.0364,1.013
0.158303692,-0.1252,1.0024,-0.0371,1.011
0.161937923,-0.1262,1.0007,-0.0373,1.009
0.162868384,-0.1318,1.0000,-0.0377,1.009
0.165480308,-0.1320,1.0003,-0.0391,1.010
0.168346461,-0.1294,0.9988,-0.0384,1.008
0.170309231,-0.1287,0.9983,-0.0386,1.007
0.172577615,-0.1292,0.9930,-0.0405,1.002
0.175023461,-0.1213,0.9819,-0.0386,0.990
0.177593846,-0.1223,0.9846,-0.0379,0.993
0.179852308,-0.1238,0.9934,-0.0457,1.002
0.182518846,-0.1269,0.9919,-0.0457,1.001
0.184778154,-0.1326,0.9973,-0.0420,1.007
0.187337231,-0.1308,1.0000,-0.0319,1.009
0.189564692,-0.1345,1.0022,-0.0396,1.012
0.192131077,-0.1367,1.0032,-0.0437,1.013
0.194445846,-0.1341,1.0039,-0.0459,1.014
0.196627461,-0.1343,1.0017,-0.0442,1.012
0.199496923,-0.1272,1.0022,-0.0433,1.011
0.201626538,-0.1294,1.0012,-0.0442,1.011
0.203817846,-0.1267,0.9979,-0.0437,1.007
0.206275692,-0.1277,0.9981,-0.0435,1.007
0.209415077,-0.1289,0.9951,-0.0471,1.005
0.211435154,-0.1294,0.9988,-0.0452,1.008
0.213680923,-0.1289,0.9975,-0.0452,1.007
0.216352692,-0.1318,0.9958,-0.0412,1.005
0.218502154,-0.1341,0.9949,-0.0388,1.005
0.220730769,-0.1333,0.9954,-0.0361,1.005
0.223141846,-0.1301,0.9979,-0.0356,1.007
0.225877923,-0.1308,0.9970,-0.0337,1.006
0.228818538,-0.1306,0.9981,-0.0344,1.007
0.230779461,-0.1267,0.9975,-0.0366,1.006
0.233131769,-0.1228,0.9988,-0.0352,1.007
0.235728923,-0.1208,1.0000,-0.0403,1.008
0.237830231,-0.1204,1.0015,-0.0391,1.009
