time,gFx,gFy,gFz,TgF
0.002580308,0.1358,0.9993,0.0239,1.009
0.002825231,0.1285,1.0044,0.0229,1.013
0.002993616,0.1278,1.0084,0.0223,1.017
0.003141539,0.1285,1.0073,0.0232,1.016
0.005819462,0.1300,1.0073,0.0309,1.016
0.006230231,0.1356,1.0027,0.0309,1.012
0.010040385,0.1349,0.9998,0.0361,1.010
0.010778154,0.1383,0.9995,0.0351,1.010
0.015006847,0.1430,0.9956,0.0268,1.006
0.017026231,0.1468,0.9973,0.0185,1.008
0.018032616,0.1514,0.9924,0.0143,1.004
0.020611154,0.1607,0.9917,0.0148,1.005
0.022901231,0.1644,0.9939,0.0165,1.008
0.025096923,0.1700,0.9951,0.0176,1.010
0.027589616,0.1710,0.9951,0.0160,1.010
0.03058,0.1747,0.9958,0.0141,1.011
0.032339385,0.1737,0.9951,0.0119,1.010
0.034776616,0.1710,0.9975,0.0119,1.012
0.037357616,0.1707,0.9983,0.0107,1.013
0.039795693,0.1686,0.9958,0.0099,1.010
0.041956077,0.1679,0.9991,0.0070,1.013
0.044404308,0.1644,0.9986,0.0041,1.012
0.047512923,0.1668,0.9970,0.0029,1.011
0.049273847,0.1656,0.9973,0.0014,1.011
0.051706539,0.1668,0.9988,0.0029,1.013
0.055801616,0.1642,0.9961,0.0095,1.010
0.056491693,0.1607,0.9988,0.0095,1.012
0.058904,0.1570,0.9991,0.0104,1.011
0.061811693,0.1549,0.9981,0.0129,1.010
0.064116385,0.1500,0.9973,0.0090,1.009
0.066224693,0.1468,0.9946,0.0078,1.005
0.06886,0.1444,0.9951,0.0119,1.006
0.073091693,0.1453,0.9932,0.0153,1.004
0.073440923,0.1514,0.9934,0.0204,1.005
0.075837923,0.1556,0.9910,0.0223,1.003
0.078696385,0.1610,0.9939,0.0248,1.007
0.081967385,0.1622,0.9954,0.0263,1.009
0.083588923,0.1612,0.9946,0.0288,1.008
0.085789923,0.1610,0.9951,0.0288,1.008
0.088589539,0.1588,0.9930,0.0297,1.006
0.090216693,0.1507,0.9944,0.0297,1.006
0.092967077,0.1474,0.9937,0.0241,1.005
0.097044,0.1458,0.9951,0.0236,1.006
0.097767077,0.1458,0.9986,0.0223,1.009
0.099945,0.1444,1.0003,0.0244,1.011
0.102585616,0.1461,1.0019,0.0260,1.013
0.105537539,0.1476,0.9998,0.0283,1.011
0.107152616,0.1444,1.0000,0.0285,1.011
0.10992377,0.1421,1.0017,0.0278,1.012
0.112293308,0.1376,1.0035,0.0283,1.013
0.117379462,0.1321,1.0042,0.0258,1.013
0.117756923,0.1307,1.0063,0.0234,1.015
0.120901,0.1300,1.0037,0.0234,1.012
0.126752616,0.1295,1.0049,0.0204,1.013
0.1271,0.1324,1.0037,0.0209,1.013
0.127294231,0.1393,0.9988,0.0204,1.009
0.129702462,0.1446,0.9981,0.0214,1.009
0.13134377,0.1502,0.9958,0.0229,1.007
0.133781231,0.1534,0.9939,0.0207,1.006
0.13628,0.1570,0.9937,0.0190,1.006
0.138655462,0.1561,0.9944,0.0155,1.007
0.14089077,0.1568,0.9963,0.0141,1.009
0.143528616,0.1568,0.9939,0.0127,1.006
0.146388385,0.1579,0.9930,0.0139,1.006
0.148089847,0.1566,0.9951,0.0163,1.007
0.151069847,0.1581,0.9961,0.0200,1.009
0.153493231,0.1581,0.9917,0.0248,1.005
0.155802154,0.1586,0.9919,0.0241,1.005
0.157970231,0.1561,0.9934,0.0227,1.006
0.160707385,0.1546,0.9905,0.0270,1.003
0.16294377,0.1566,0.9898,0.0309,1.003
0.165189923,0.1551,0.9907,0.0304,1.003
0.167911077,0.1586,0.9942,0.0309,1.007
0.170037,0.1566,0.9934,0.0295,1.006
0.172339077,0.1570,0.9937,0.0276,1.006
0.174724308,0.1556,0.9930,0.0236,1.005
0.177397539,0.1530,0.9949,0.0216,1.007
0.179768693,0.1563,0.9917,0.0216,1.004
0.181969847,0.1551,0.9886,0.0192,1.001
0.184558154,0.1605,0.9856,0.0209,0.999
0.187579693,0.1605,0.9853,0.0176,0.998
0.189202847,0.1639,0.9837,0.0185,0.997
0.191859385,0.1684,0.9817,0.0180,0.996
0.194256693,0.1695,0.9802,0.0139,0.995
0.196533539,0.1728,0.9839,0.0153,0.999
0.199621847,0.1759,0.9849,0.0190,1.001
0.201518154,0.1722,0.9865,0.0223,1.002
0.204421923,0.1735,0.9924,0.0281,1.008
0.206109539,0.1732,0.9937,0.0265,1.009
0.20897577,0.1707,0.9966,0.0229,1.011
0.215676077,0.1710,1.0000,0.0223,1.015
0.215984385,0.1691,1.0066,0.0216,1.021
0.216190462,0.1671,1.0079,0.0246,1.022
0.219594539,0.1700,1.0105,0.0268,1.025
0.223674231,0.1661,1.0105,0.0281,1.024
0.223893,0.1614,1.0135,0.0276,1.027
0.225684923,0.1610,1.0168,0.0265,1.030
0.228302231,0.1581,1.0159,0.0285,1.029
0.230155154,0.1558,1.0184,0.0321,1.031
0.232508616,0.1544,1.0164,0.0361,1.029
0.235204,0.1561,1.0105,0.0424,1.023
0.238405923,0.1568,1.0084,0.0434,1.021
0.240127693,0.1570,1.0042,0.0430,1.017
0.242931693,0.1579,1.0015,0.0421,1.015
0.245290231,0.1570,0.9946,0.0451,1.008
0.247056308,0.1583,0.9942,0.0488,1.008
0.249521847,0.1558,0.9910,0.0500,1.004
0.252388,0.1581,0.9893,0.0498,1.003
0.254374231,0.1593,0.9932,0.0486,1.007
0.25699177,0.1639,0.9898,0.0427,1.004
0.259423077,0.1666,0.9907,0.0375,1.005
0.263458462,0.1698,0.9910,0.0363,1.006
0.264208385,0.1740,0.9874,0.0361,1.003
0.266648077,0.1740,0.9834,0.0370,0.999
0.269606154,0.1749,0.9773,0.0370,0.993
0.271142462,0.1719,0.9778,0.0329,0.993
0.273595077,0.1684,0.9773,0.0312,0.992
0.276352,0.1698,0.9753,0.0260,0.990
0.279560077,0.1668,0.9758,0.0236,0.990
0.281066539,0.1693,0.9765,0.0229,0.991
0.283422847,0.1728,0.9760,0.0239,0.991
0.286512077,0.1735,0.9773,0.0216,0.993
0.288100077,0.1761,0.9817,0.0192,0.998
0.290544,0.1715,0.9890,0.0173,1.004
0.293140077,0.1710,0.9939,0.0176,1.009
0.295492385,0.1656,0.9988,0.0155,1.013
0.297743077,0.1622,1.0024,0.0116,1.016
0.300337539,0.1566,1.0044,0.0078,1.017
0.303594462,0.1544,1.0071,0.0036,1.019
0.304993,0.1549,1.0081,0.0065,1.020
