time,gFx,gFy,gFz,TgF
7.93846E-4,0.6887,0.7193,0.1536,1.008
9.28385E-4,0.6897,0.7179,0.1551,1.007
0.002940616,0.6907,0.7179,0.1585,1.009
0.005408308,0.6921,0.7179,0.1585,1.010
0.008155769,0.6975,0.7151,0.1572,1.011
0.010256308,0.7021,0.7166,0.1511,1.015
0.014007692,0.7044,0.7151,0.1485,1.015
0.015014846,0.7056,0.7149,0.1460,1.015
0.017419154,0.7060,0.7191,0.1441,1.018
0.019800616,0.7058,0.7230,0.1409,1.020
0.022252077,0.7053,0.7230,0.1360,1.019
0.024667462,0.7085,0.7259,0.1333,1.023
0.02706,0.7053,0.7230,0.1309,1.018
0.029472,0.7046,0.7224,0.1277,1.017
0.031923385,0.7039,0.7195,0.1250,1.014
0.034282154,0.7044,0.7198,0.1282,1.015
0.036739692,0.7046,0.7215,0.1350,1.017
0.039134769,0.7051,0.7212,0.1421,1.019
0.041542231,0.7041,0.7219,0.1446,1.019
0.044074154,0.7004,0.7174,0.1423,1.013
0.046954154,0.6963,0.7174,0.1406,1.010
0.048826231,0.6951,0.7163,0.1387,1.008
0.051179154,0.6931,0.7168,0.1394,1.007
0.054034769,0.6883,0.7179,0.1380,1.004
0.056534769,0.6865,0.7168,0.1429,1.003
0.058471692,0.6887,0.7163,0.1448,1.004
0.060864692,0.6899,0.7163,0.1455,1.005
0.063297231,0.6887,0.7149,0.1490,1.004
0.065760692,0.6909,0.7171,0.1472,1.007
0.068109231,0.6887,0.7144,0.1516,1.004
0.070490539,0.6892,0.7203,0.1495,1.008
0.072930154,0.6914,0.7224,0.1446,1.010
0.0753,0.6934,0.7205,0.1450,1.010
0.077815769,0.6941,0.7215,0.1465,1.012
0.080441616,0.6946,0.7232,0.1455,1.013
0.082570769,0.6936,0.7230,0.1441,1.012
0.085163462,0.6911,0.7237,0.1450,1.011
0.087491462,0.6848,0.7271,0.1458,1.009
0.089830769,0.6809,0.7291,0.1458,1.008
0.092210231,0.6753,0.7322,0.1495,1.007
0.095978539,0.6741,0.7317,0.1534,1.007
0.097072616,0.6811,0.7247,0.1543,1.006
0.099443154,0.6874,0.7188,0.1565,1.007
0.101812,0.7032,0.7142,0.1572,1.015
0.104268616,0.7161,0.7117,0.1595,1.022
0.106698539,0.7234,0.7171,0.1629,1.032
0.109431385,0.7178,0.7291,0.1611,1.036
0.111511077,0.6965,0.7442,0.1541,1.031
0.114007769,0.6743,0.7501,0.1434,1.019
0.116480692,0.6623,0.7393,0.1423,1.003
0.118771154,0.6616,0.7237,0.1534,0.992
