time,gFx,gFy,gFz,TgF
0.003666154,0.2976,0.9776,0.0442,1.023
0.004025308,0.2861,0.9837,0.0383,1.025
0.004245616,0.2736,0.9858,0.0370,1.024
0.004454231,0.2712,0.9819,0.0405,1.020
0.004657846,0.2704,0.9729,0.0439,1.011
0.004821308,0.2729,0.9636,0.0468,1.003
0.004982154,0.2790,0.9560,0.0449,0.997
0.007409846,0.2834,0.9555,0.0412,0.997
0.007984308,0.2824,0.9595,0.0386,1.001
0.010233,0.2781,0.9665,0.0341,1.006
0.012795154,0.2697,0.9753,0.0334,1.012
0.019456385,0.2609,0.9832,0.0285,1.018
0.019709616,0.2555,0.9883,0.0290,1.021
0.019864077,0.2585,0.9870,0.0288,1.021
0.023807154,0.2632,0.9837,0.0290,1.019
0.026827154,0.2683,0.9790,0.0283,1.015
0.027111462,0.2734,0.9739,0.0268,1.012
0.029828385,0.2714,0.9660,0.0244,1.004
0.032592616,0.2732,0.9665,0.0256,1.005
0.034277308,0.2643,0.9675,0.0239,1.003
0.037247462,0.2573,0.9695,0.0232,1.003
0.040172385,0.2548,0.9737,0.0256,1.007
0.041526154,0.2539,0.9783,0.0278,1.011
0.043930231,0.2592,0.9793,0.0302,1.013
0.046433616,0.2719,0.9797,0.0270,1.017
0.048832308,0.2839,0.9781,0.0283,1.019
0.051601616,0.2890,0.9795,0.0260,1.022
0.053700077,0.2878,0.9776,0.0207,1.019
0.061625923,0.2905,0.9817,0.0192,1.024
0.06212677,0.2949,0.9839,0.0239,1.027
0.062376923,0.2983,0.9827,0.0256,1.027
0.077804385,0.2946,0.9819,0.0256,1.025
0.078263693,0.2902,0.9788,0.0236,1.021
0.078392308,0.2905,0.9749,0.0276,1.018
0.078499385,0.2897,0.9653,0.0270,1.008
0.07860777,0.2883,0.9588,0.0258,1.002
0.078710539,0.2881,0.9539,0.0248,0.997
0.07883577,0.2816,0.9485,0.0232,0.990
0.080563154,0.2758,0.9534,0.0214,0.993
0.082892308,0.2680,0.9539,0.0229,0.991
0.085094539,0.2599,0.9590,0.0285,0.994
0.087453,0.2494,0.9656,0.0351,0.998
0.089965308,0.2482,0.9724,0.0378,1.004
0.093661,0.2472,0.9753,0.0424,1.007
0.094813923,0.2497,0.9778,0.0432,1.010
0.097275154,0.2590,0.9765,0.0393,1.011
0.099353846,0.2712,0.9737,0.0361,1.011
0.101842846,0.2739,0.9768,0.0300,1.015
0.104389846,0.2744,0.9781,0.0244,1.016
0.106654462,0.2775,0.9802,0.0234,1.019
0.109289,0.2865,0.9756,0.0253,1.017
0.112223462,0.2988,0.9695,0.0263,1.015
0.114892923,0.3088,0.9616,0.0244,1.010
0.116369,0.3088,0.9623,0.0178,1.011
0.118860693,0.3019,0.9614,0.0090,1.008
0.121474154,0.2883,0.9619,0.0119,1.004
0.123609,0.2851,0.9660,0.0153,1.007
0.126232077,0.2827,0.9646,0.0241,1.005
0.131100385,0.2800,0.9629,0.0304,1.003
0.131500308,0.2785,0.9632,0.0321,1.003
0.133267462,0.2721,0.9670,0.0341,1.005
0.13609177,0.2690,0.9716,0.0334,1.009
0.140238154,0.2597,0.9778,0.0344,1.012
0.140780385,0.2539,0.9844,0.0326,1.017
0.149667154,0.2516,0.9876,0.0344,1.020
0.150094231,0.2485,0.9886,0.0321,1.020
0.150409616,0.2524,0.9883,0.0314,1.020
0.150678462,0.2506,0.9883,0.0346,1.020
0.152633539,0.2543,0.9839,0.0295,1.017
0.158092077,0.2541,0.9874,0.0283,1.020
0.15850277,0.2597,0.9876,0.0293,1.022
0.159871077,0.2667,0.9876,0.0307,1.023
0.16245177,0.2712,0.9905,0.0326,1.027
0.171779077,0.2753,0.9907,0.0353,1.029
0.17217077,0.2785,0.9834,0.0390,1.023
0.17231877,0.2829,0.9702,0.0402,1.011
0.172452923,0.2893,0.9567,0.0421,1.000
0.174677616,0.3000,0.9397,0.0400,0.987
0.178885,0.3095,0.9329,0.0414,0.984
0.17928377,0.3105,0.9304,0.0451,0.982
0.181374846,0.3107,0.9333,0.0458,0.985
0.183941923,0.3068,0.9441,0.0439,0.994
0.189527693,0.2968,0.9570,0.0456,1.003
0.190027462,0.2814,0.9709,0.0424,1.012
0.19118677,0.2697,0.9781,0.0402,1.015
0.193678231,0.2621,0.9849,0.0449,1.020
0.197971385,0.2632,0.9863,0.0500,1.022
0.199112616,0.2709,0.9858,0.0507,1.024
0.201162154,0.2751,0.9805,0.0463,1.019
0.204052,0.2788,0.9805,0.0383,1.020
0.206241308,0.2858,0.9760,0.0329,1.018
0.208430462,0.2893,0.9756,0.0304,1.018
0.210498154,0.2886,0.9741,0.0288,1.016
0.213968308,0.2851,0.9737,0.0304,1.015
0.215311385,0.2824,0.9724,0.0285,1.013
0.217900693,0.2816,0.9688,0.0304,1.009
0.220323462,0.2863,0.9623,0.0270,1.004
0.222986846,0.2917,0.9602,0.0302,1.004
0.224906154,0.2917,0.9567,0.0278,1.001
0.22746,0.2934,0.9588,0.0276,1.003
0.229913616,0.2902,0.9623,0.0276,1.006
0.23201877,0.2814,0.9685,0.0337,1.009
0.234889308,0.2748,0.9719,0.0412,1.011
0.237553616,0.2739,0.9700,0.0486,1.009
0.239271462,0.2785,0.9651,0.0547,1.006
0.241714539,0.2827,0.9602,0.0532,1.002
0.244229616,0.2832,0.9604,0.0490,1.002
0.246597923,0.2837,0.9636,0.0444,1.005
0.249012077,0.2807,0.9634,0.0388,1.004
0.251520616,0.2832,0.9644,0.0370,1.006
0.258192385,0.2788,0.9646,0.0373,1.005
0.25845177,0.2816,0.9636,0.0386,1.005
0.258661923,0.2797,0.9629,0.0427,1.004
0.261145308,0.2800,0.9656,0.0417,1.006
0.274553923,0.2804,0.9672,0.0421,1.008
0.27489877,0.2746,0.9719,0.0393,1.011
0.275016077,0.2734,0.9744,0.0324,1.013
0.275123077,0.2683,0.9753,0.0272,1.012
0.275233846,0.2690,0.9768,0.0244,1.013
0.280795154,0.2690,0.9773,0.0183,1.014
0.281013,0.2667,0.9783,0.0165,1.014
0.281117616,0.2632,0.9802,0.0107,1.015
0.284209846,0.2587,0.9817,0.0102,1.015
0.286004923,0.2573,0.9839,0.0127,1.017
0.287812308,0.2541,0.9902,0.0085,1.022
0.289907693,0.2514,0.9949,0.0097,1.026
0.292412923,0.2506,0.9930,0.0119,1.024
0.295641616,0.2543,0.9870,0.0139,1.019
0.29729077,0.2658,0.9760,0.0200,1.012
0.299664385,0.2763,0.9697,0.0234,1.009
0.302164308,0.2814,0.9665,0.0219,1.007
0.304817616,0.2788,0.9646,0.0209,1.004
0.307189616,0.2788,0.9616,0.0197,1.001
0.309399462,0.2788,0.9583,0.0232,0.998
0.311996693,0.2781,0.9509,0.0268,0.991
0.314104308,0.2868,0.9487,0.0337,0.992
0.316850846,0.2890,0.9483,0.0324,0.992
0.319407385,0.2888,0.9529,0.0349,0.996
0.321585308,0.2888,0.9588,0.0339,1.002
0.323861,0.2788,0.9697,0.0316,1.009
0.326810846,0.2570,0.9692,0.0300,1.003
0.330007077,0.2567,0.9721,0.0341,1.006
0.331119385,0.2578,0.9768,0.0346,1.011
0.334157616,0.2611,0.9807,0.0334,1.015
0.336021923,0.2619,0.9802,0.0258,1.015
0.338499693,0.2641,0.9758,0.0190,1.011
0.341481,0.2639,0.9744,0.0158,1.010
0.343389308,0.2646,0.9724,0.0099,1.008
0.345996077,0.2697,0.9744,0.0026,1.011
0.347889923,0.2690,0.9765,0.0011,1.013
0.350782846,0.2632,0.9830,-0.0014,1.018
0.357232308,0.2602,0.9846,0.0000,1.018
0.357617616,0.2627,0.9839,0.0041,1.018
0.35789077,0.2646,0.9825,0.0075,1.017
0.360201308,0.2623,0.9802,0.0104,1.015
