time,gFx,gFy,gFz,TgF
0.001582,0.0075,0.9956,0.0635,0.998
0.001918,0.0063,0.9900,0.0644,0.992
0.002127,0.0032,0.9881,0.0649,0.990
0.002351,0.0021,0.9878,0.0684,0.990
0.004352,-0.0036,0.9890,0.0735,0.992
0.005131,-0.0070,0.9924,0.0754,0.995
0.007892,-0.0109,0.9942,0.0756,0.997
0.010776,-0.0155,1.0003,0.0776,1.003
0.016204,-0.0185,1.0051,0.0791,1.008
0.016386,-0.0211,1.0084,0.0784,1.012
0.017331,-0.0199,1.0115,0.0779,1.015
0.020123,-0.0216,1.0128,0.0791,1.016
0.021942,-0.0209,1.0159,0.0786,1.019
0.024339,-0.0170,1.0122,0.0805,1.016
0.027108,-0.0139,1.0135,0.0833,1.017
0.033901,-0.0134,1.0110,0.0852,1.015
0.034158,-0.0097,1.0112,0.0884,1.015
0.034355,-0.0102,1.0119,0.0913,1.016
0.041582,-0.0099,1.0107,0.0930,1.015
0.041785,-0.0080,1.0110,0.0933,1.015
0.042078,-0.0085,1.0091,0.0950,1.014
0.046729,-0.0095,1.0068,0.0957,1.011
0.047040,-0.0102,1.0079,0.0926,1.012
0.049327,-0.0099,1.0063,0.0920,1.011
0.051181,-0.0111,1.0073,0.0930,1.012
0.053858,-0.0092,1.0039,0.0945,1.008
0.055954,-0.0099,1.0044,0.0938,1.009
0.058215,-0.0092,1.0037,0.0930,1.008
0.061895,-0.0092,1.0024,0.0926,1.007
0.063031,-0.0087,1.0027,0.0926,1.007
0.065565,-0.0116,1.0051,0.0926,1.009
0.068265,-0.0099,1.0068,0.0901,1.011
0.070426,-0.0104,1.0059,0.0882,1.010
0.072657,-0.0151,1.0079,0.0913,1.012
0.075004,-0.0141,1.0076,0.0923,1.012
0.077888,-0.0151,1.0068,0.0928,1.011
0.080968,-0.0183,1.0088,0.0920,1.013
0.082210,-0.0209,1.0093,0.0926,1.014
0.084951,-0.0216,1.0079,0.0920,1.012
0.089751,-0.0185,1.0066,0.0891,1.011
0.090052,-0.0202,1.0022,0.0891,1.006
0.092163,-0.0185,1.0027,0.0889,1.007
0.094305,-0.0183,0.9995,0.0882,1.004
0.096673,-0.0158,1.0007,0.0898,1.005
0.099939,-0.0153,0.9983,0.0923,1.003
0.102613,-0.0143,0.9981,0.0942,1.003
0.108129,-0.0121,0.9986,0.0940,1.003
0.108480,-0.0118,0.9995,0.0940,1.004
0.111292,-0.0099,1.0010,0.0940,1.005
0.111717,-0.0070,1.0027,0.0950,1.007
0.114468,-0.0031,1.0030,0.0947,1.007
0.116576,-0.0016,1.0042,0.0977,1.009
0.119370,-0.0004,1.0015,0.0959,1.006
0.120854,0.0017,1.0032,0.0952,1.008
0.123195,0.0034,1.0024,0.0966,1.007
0.125872,0.0070,1.0030,0.0940,1.007
0.133448,0.0070,1.0054,0.0942,1.010
0.133637,0.0068,1.0061,0.0920,1.010
0.133854,0.0068,1.0051,0.0901,1.009
0.141051,0.0107,1.0049,0.0905,1.009
0.141489,0.0124,1.0047,0.0871,1.009
0.141961,0.0135,1.0022,0.0861,1.006
0.143623,0.0179,0.9998,0.0879,1.004
0.147457,0.0186,0.9981,0.0898,1.002
0.147645,0.0195,1.0010,0.0896,1.005
0.151195,0.0210,0.9983,0.0901,1.003
0.154232,0.0217,0.9983,0.0905,1.003
0.156400,0.0195,0.9981,0.0896,1.002
0.157220,0.0193,0.9961,0.0917,1.001
0.160152,0.0212,0.9993,0.0926,1.004
0.163141,0.0203,0.9988,0.0917,1.003
0.164566,0.0203,0.9986,0.0926,1.003
0.167069,0.0212,0.9993,0.0935,1.004
0.169731,0.0215,0.9995,0.0917,1.004
0.171623,0.0237,0.9983,0.0894,1.003
0.173973,0.0222,0.9975,0.0894,1.002
0.176744,0.0284,0.9991,0.0866,1.003
0.179783,0.0284,0.9951,0.0889,0.999
0.181150,0.0308,0.9958,0.0896,1.000
0.184258,0.0354,0.9914,0.0923,0.996
0.190601,0.0396,0.9874,0.0975,0.993
0.190836,0.0417,0.9900,0.1015,0.996
0.190997,0.0437,0.9870,0.1082,0.994
0.193242,0.0420,0.9917,0.1138,0.999
0.195636,0.0371,0.9956,0.1187,1.003
0.198316,0.0356,0.9975,0.1189,1.005
0.201883,0.0312,1.0015,0.1187,1.009
0.203079,0.0281,1.0079,0.1167,1.015
0.205619,0.0232,1.0107,0.1111,1.017
0.208384,0.0210,1.0142,0.1087,1.020
0.211365,0.0151,1.0152,0.1031,1.021
0.212810,0.0158,1.0171,0.0957,1.022
0.215405,0.0122,1.0184,0.0915,1.023
0.217886,0.0112,1.0174,0.0920,1.022
0.221367,0.0073,1.0110,0.0874,1.015
0.222339,0.0073,1.0091,0.0910,1.013
0.224661,0.0046,1.0084,0.0938,1.013
0.227346,0.0044,1.0059,0.0954,1.010
0.229779,0.0034,1.0056,0.1013,1.011
0.232349,-0.0021,1.0063,0.1015,1.011
0.241015,-0.0014,1.0051,0.1001,1.010
0.241221,-0.0034,1.0005,0.0979,1.005
0.241565,-0.0021,1.0022,0.0969,1.007
0.241863,-0.0011,1.0039,0.0975,1.009
0.245259,-0.0002,1.0030,0.1022,1.008
0.246603,0.0014,0.9988,0.1062,1.004
0.254422,0.0039,0.9993,0.1113,1.005
0.254664,0.0039,0.9993,0.1167,1.006
0.254820,-0.0009,1.0007,0.1184,1.008
0.256803,0.0017,1.0022,0.1199,1.009
0.259897,-0.0021,1.0047,0.1213,1.012
0.260819,-0.0070,1.0039,0.1231,1.011
0.263520,-0.0070,1.0032,0.1231,1.011
0.265859,-0.0067,1.0042,0.1250,1.012
0.267877,-0.0097,1.0084,0.1282,1.017
0.270428,-0.0148,1.0093,0.1269,1.017
0.272821,-0.0199,1.0140,0.1243,1.022
0.275947,-0.0268,1.0156,0.1218,1.023
0.277662,-0.0280,1.0186,0.1194,1.026
0.280400,-0.0297,1.0171,0.1162,1.024
0.283203,-0.0346,1.0191,0.1159,1.026
0.286381,-0.0358,1.0161,0.1148,1.023
0.287408,-0.0349,1.0130,0.1115,1.020
0.289728,-0.0365,1.0122,0.1084,1.019
0.292216,-0.0346,1.0098,0.1071,1.016
0.294470,-0.0370,1.0042,0.1057,1.010
0.296856,-0.0365,1.0005,0.1026,1.006
0.300595,-0.0334,0.9979,0.0977,1.003
0.301738,-0.0351,0.9979,0.0947,1.003
0.304459,-0.0332,0.9944,0.0915,0.999
0.306629,-0.0297,0.9934,0.0886,0.998
0.308951,-0.0253,0.9924,0.0874,0.997
0.311337,-0.0160,0.9930,0.0854,0.997
0.314103,-0.0085,0.9917,0.0879,0.996
0.316535,-0.0029,0.9930,0.0840,0.997
0.318617,0.0086,0.9963,0.0842,1.000
0.321341,0.0188,0.9970,0.0805,1.000
0.323571,0.0261,0.9973,0.0801,1.001
0.325899,0.0401,0.9966,0.0793,1.001
0.328551,0.0498,0.9970,0.0828,1.002
0.330813,0.0603,0.9890,0.0903,0.995
0.340751,0.0703,0.9846,0.0945,0.992
0.341051,0.0796,0.9844,0.0998,0.993
0.341206,0.0840,0.9849,0.1057,0.994
0.341385,0.0906,0.9827,0.1076,0.993
0.346329,0.0957,0.9853,0.1076,0.996
0.346550,0.1024,0.9839,0.1123,0.996
0.347493,0.1099,0.9858,0.1157,0.999
0.354176,0.1160,0.9846,0.1199,0.999
0.354637,0.1246,0.9830,0.1216,0.998
0.354913,0.1251,0.9846,0.1262,1.001
0.358659,0.1283,0.9842,0.1294,1.001
0.362277,0.1226,0.9856,0.1304,1.002
0.362688,0.1158,0.9842,0.1350,1.000
0.366421,0.1123,0.9849,0.1374,1.001
0.369947,0.1078,0.9844,0.1394,1.000
0.370238,0.0980,0.9851,0.1423,1.000
0.371690,0.0913,0.9837,0.1431,0.998
0.374763,0.0838,0.9800,0.1429,0.994
0.376453,0.0738,0.9781,0.1421,0.991
0.378817,0.0669,0.9763,0.1421,0.989
0.381462,0.0586,0.9763,0.1416,0.988
0.384028,0.0547,0.9709,0.1425,0.983
0.386343,0.0496,0.9678,0.1470,0.980
0.388513,0.0464,0.9668,0.1506,0.980
0.392092,0.0428,0.9656,0.1555,0.979
0.395164,0.0389,0.9641,0.1578,0.978
0.395888,0.0308,0.9680,0.1597,0.982
0.398382,0.0244,0.9678,0.1595,0.981
0.403520,0.0147,0.9732,0.1578,0.986
0.403814,0.0075,0.9781,0.1548,0.990
0.407770,0.0002,0.9839,0.1472,0.995
0.408105,-0.0060,0.9834,0.1429,0.994
0.411609,-0.0050,0.9827,0.1360,0.992
0.413136,-0.0083,0.9830,0.1294,0.991
0.416130,-0.0090,0.9817,0.1301,0.990
0.417657,-0.0083,0.9795,0.1301,0.988
0.420102,-0.0058,0.9765,0.1292,0.985
0.423273,-0.0029,0.9760,0.1267,0.984
0.425309,0.0000,0.9768,0.1257,0.985
0.427227,0.0032,0.9778,0.1201,0.985
0.429619,0.0026,0.9805,0.1157,0.987
0.439328,0.0073,0.9807,0.1084,0.987
0.439686,0.0083,0.9825,0.1015,0.988
0.439890,0.0137,0.9819,0.0933,0.986
0.440073,0.0176,0.9785,0.0874,0.983
0.444566,0.0188,0.9765,0.0837,0.980
0.444776,0.0232,0.9749,0.0805,0.978
0.453773,0.0284,0.9751,0.0776,0.979
0.454036,0.0281,0.9778,0.0740,0.981
0.454159,0.0300,0.9802,0.0679,0.983
0.454380,0.0312,0.9834,0.0617,0.986
0.458305,0.0286,0.9851,0.0517,0.987
0.461535,0.0310,0.9870,0.0439,0.989
0.462002,0.0335,0.9865,0.0375,0.988
0.463384,0.0337,0.9851,0.0321,0.986
0.465869,0.0335,0.9814,0.0319,0.983
0.468276,0.0344,0.9795,0.0316,0.981
0.470493,0.0352,0.9758,0.0332,0.977
0.473446,0.0368,0.9751,0.0395,0.977
0.475584,0.0408,0.9744,0.0456,0.976
0.478294,0.0396,0.9721,0.0542,0.974
0.480320,0.0377,0.9758,0.0593,0.978
0.483360,0.0324,0.9783,0.0607,0.981
0.485114,0.0256,0.9839,0.0607,0.986
0.487991,0.0168,0.9858,0.0554,0.988
0.490576,0.0088,0.9870,0.0527,0.988
0.492233,-0.0034,0.9907,0.0463,0.992
0.494754,-0.0155,0.9912,0.0400,0.992
0.497457,-0.0246,0.9893,0.0346,0.990
0.499882,-0.0349,0.9883,0.0312,0.989
0.502256,-0.0393,0.9844,0.0272,0.986
0.505354,-0.0400,0.9814,0.0276,0.983
0.507773,-0.0419,0.9746,0.0276,0.976
0.509244,-0.0434,0.9712,0.0309,0.973
0.511931,-0.0449,0.9678,0.0363,0.969
0.515062,-0.0495,0.9636,0.0386,0.966
0.516365,-0.0610,0.9685,0.0393,0.971
0.519376,-0.0707,0.9721,0.0397,0.976
0.521537,-0.0803,0.9768,0.0361,0.981
0.523732,-0.0933,0.9834,0.0321,0.988
0.526004,-0.1028,0.9863,0.0270,0.992
0.528350,-0.1120,0.9910,0.0239,0.998
0.538643,-0.1199,0.9917,0.0195,0.999
0.539016,-0.1264,0.9949,0.0163,1.003
0.539243,-0.1320,0.9956,0.0153,1.004
0.539407,-0.1365,0.9926,0.0107,1.002
0.546405,-0.1421,0.9930,0.0065,1.003
0.546906,-0.1406,0.9930,0.0023,1.003
0.547365,-0.1362,0.9924,-0.0026,1.002
0.548157,-0.1348,0.9923,-0.0086,1.001
0.552707,-0.1318,0.9919,-0.0130,1.001
0.553250,-0.1216,0.9893,-0.0137,0.997
0.556221,-0.1140,0.9910,-0.0100,0.998
0.557367,-0.1050,0.9917,-0.0081,0.997
0.559844,-0.0940,0.9923,-0.0081,0.997
0.562391,-0.0874,0.9924,-0.0034,0.996
0.564679,-0.0773,0.9900,-0.0019,0.993
0.567066,-0.0744,0.9878,-0.0012,0.991
0.569505,-0.0712,0.9914,0.0018,0.994
0.572418,-0.0691,0.9917,0.0060,0.994
0.578950,-0.0691,0.9914,0.0048,0.994
0.579415,-0.0659,0.9868,0.0029,0.989
0.579656,-0.0673,0.9888,-0.0002,0.991
0.581586,-0.0668,0.9881,-0.0090,0.990
0.584015,-0.0688,0.9856,-0.0179,0.988
0.586546,-0.0684,0.9805,-0.0251,0.983
0.590250,-0.0656,0.9790,-0.0330,0.982
0.591351,-0.0644,0.9744,-0.0384,0.977
0.593790,-0.0583,0.9763,-0.0491,0.979
0.596168,-0.0493,0.9783,-0.0579,0.981
0.598497,-0.0351,0.9832,-0.0689,0.986
0.600905,-0.0239,0.9905,-0.0801,0.994
0.603381,-0.0131,0.9949,-0.0872,0.999
0.606239,0.0005,1.0017,-0.0948,1.006
0.607996,0.0117,1.0079,-0.0980,1.013
0.610436,0.0239,1.0142,-0.1026,1.020
0.614297,0.0344,1.0181,-0.1082,1.024
0.616444,0.0377,1.0193,-0.1162,1.027
0.618737,0.0415,1.0174,-0.1260,1.026
0.621315,0.0466,1.0152,-0.1378,1.026
0.622837,0.0517,1.0068,-0.1486,1.019
0.634020,0.0550,0.9954,-0.1598,1.010
0.634417,0.0606,0.9837,-0.1698,1.000
0.634704,0.0569,0.9776,-0.1752,0.995
0.634974,0.0550,0.9716,-0.1791,0.990
0.635243,0.0510,0.9656,-0.1824,0.984
0.643894,0.0412,0.9663,-0.1847,0.985
0.644247,0.0300,0.9621,-0.1893,0.981
0.644514,0.0132,0.9629,-0.1940,0.982
0.644758,0.0021,0.9644,-0.1982,0.985
0.654453,-0.0158,0.9690,-0.2059,0.991
0.655275,-0.0300,0.9721,-0.2122,0.995
0.655566,-0.0444,0.9749,-0.2224,1.001
0.655839,-0.0537,0.9765,-0.2320,1.005
0.657050,-0.0651,0.9788,-0.2392,1.010
0.659122,-0.0749,0.9825,-0.2418,1.015
0.661059,-0.0776,0.9832,-0.2467,1.017
0.663544,-0.0857,0.9917,-0.2485,1.026
0.666088,-0.0866,0.9981,-0.2511,1.033
0.668199,-0.0901,1.0056,-0.2490,1.040
0.671157,-0.0881,1.0084,-0.2460,1.042
0.675846,-0.0815,1.0132,-0.2411,1.045
0.676407,-0.0768,1.0215,-0.2341,1.051
0.678935,-0.0705,1.0254,-0.2308,1.053
0.680609,-0.0654,1.0291,-0.2276,1.056
0.682869,-0.0612,1.0357,-0.2284,1.062
0.685064,-0.0544,1.0313,-0.2284,1.058
0.689047,-0.0514,1.0249,-0.2296,1.052
0.692493,-0.0453,1.0159,-0.2304,1.043
0.693014,-0.0430,1.0079,-0.2377,1.036
0.695296,-0.0400,1.0024,-0.2380,1.031
0.700925,-0.0363,0.9878,-0.2418,1.018
0.701424,-0.0314,0.9785,-0.2394,1.008
0.703159,-0.0300,0.9714,-0.2360,1.000
