time,gFx,gFy,gFz,TgF
0.003302769,0.1957,0.9770,0.1033,1.002
0.003676923,0.1973,0.9773,0.1018,1.002
0.003895384,0.1966,0.9788,0.0998,1.003
0.004103384,0.1976,0.9785,0.1031,1.004
0.004315384,0.2003,0.9797,0.1050,1.005
0.004512384,0.2045,0.9802,0.1099,1.007
0.009731692,0.2077,0.9788,0.1101,1.007
0.009992384,0.2133,0.9807,0.1082,1.009
0.010750153,0.2155,0.9788,0.1033,1.008
0.019934538,0.2150,0.9778,0.1018,1.006
0.020174769,0.2184,0.9809,0.1008,1.010
0.02029323,0.2192,0.9870,0.0991,1.016
0.021742846,0.2169,0.9846,0.1001,1.013
0.023045,0.2180,0.9861,0.1008,1.015
0.025456384,0.2162,0.9874,0.0982,1.016
0.027587153,0.2167,0.9881,0.0977,1.016
0.030009615,0.2182,0.9865,0.0962,1.015
0.033658461,0.2177,0.9858,0.0964,1.014
0.036373615,0.2135,0.9832,0.0950,1.011
0.037556615,0.2106,0.9856,0.0952,1.012
0.039821846,0.2064,0.9853,0.0917,1.011
0.042612307,0.2042,0.9886,0.0926,1.014
0.044484,0.1986,0.9886,0.0877,1.012
0.046996923,0.2001,0.9900,0.0864,1.014
0.050531692,0.1984,0.9895,0.0864,1.013
0.051815461,0.2042,0.9900,0.0884,1.015
0.054556307,0.2071,0.9883,0.0942,1.014
0.056837923,0.2071,0.9856,0.0957,1.012
0.059223153,0.2045,0.9846,0.1003,1.011
0.061883692,0.2003,0.9849,0.1001,1.010
0.064827692,0.1969,0.9832,0.0954,1.007
0.067403461,0.1930,0.9849,0.0905,1.008
0.068701538,0.1926,0.9863,0.0905,1.009
0.071145615,0.1910,0.9817,0.0935,1.005
0.073800384,0.1926,0.9807,0.0979,1.004
0.07611423,0.1949,0.9807,0.0977,1.005
0.078568923,0.1922,0.9785,0.1010,1.002
0.08130523,0.1959,0.9763,0.1015,1.001
0.083829615,0.1991,0.9758,0.1006,1.001
0.085575076,0.2006,0.9770,0.1015,1.003
0.08819023,0.2045,0.9770,0.1015,1.003
0.095504076,0.2033,0.9765,0.1052,1.003
0.095821923,0.2122,0.9763,0.1089,1.005
0.096059692,0.2145,0.9751,0.1050,1.004
0.097984384,0.2118,0.9773,0.1033,1.005
0.103094769,0.2101,0.9781,0.1001,1.005
0.103316615,0.2050,0.9821,0.0979,1.008
0.105075769,0.1982,0.9802,0.0966,1.005
0.107840692,0.1922,0.9856,0.0940,1.009
0.109607153,0.1877,0.9886,0.0989,1.011
0.112026538,0.1877,0.9907,0.1043,1.014
0.114719461,0.1854,0.9886,0.1074,1.012
0.117251692,0.1854,0.9870,0.1071,1.010
0.119548384,0.1861,0.9849,0.1062,1.008
0.123080384,0.1847,0.9856,0.0998,1.008
0.124441923,0.1830,0.9814,0.0969,1.003
0.12657023,0.1871,0.9844,0.0920,1.006
0.129003692,0.1877,0.9856,0.0896,1.007
0.131514846,0.1896,0.9898,0.0920,1.012
0.133799692,0.1971,0.9914,0.0930,1.015
0.136225923,0.1979,0.9919,0.0950,1.016
0.139268307,0.1996,0.9946,0.0971,1.019
0.141830538,0.1996,0.9939,0.0982,1.018
0.143464384,0.1982,0.9949,0.0994,1.019
0.146366461,0.2001,0.9932,0.0969,1.018
0.14944,0.1966,0.9930,0.0952,1.017
0.150704923,0.1994,0.9910,0.0952,1.015
0.153275153,0.1973,0.9881,0.0962,1.012
0.15576223,0.1973,0.9851,0.0969,1.009
0.158089,0.1942,0.9827,0.0966,1.006
0.160347076,0.1922,0.9819,0.0957,1.005
0.163314846,0.1901,0.9821,0.0938,1.005
0.166133,0.1889,0.9807,0.0933,1.003
0.167602538,0.1903,0.9819,0.0930,1.005
0.170094538,0.1901,0.9790,0.0957,1.002
0.172586538,0.1908,0.9763,0.0935,0.999
0.174991153,0.1915,0.9783,0.0882,1.001
0.177305846,0.1901,0.9790,0.0874,1.001
0.179962153,0.1896,0.9805,0.0901,1.003
0.18259723,0.1920,0.9819,0.0926,1.005
0.184602846,0.1884,0.9842,0.0969,1.007
0.187301615,0.1842,0.9817,0.0969,1.004
0.189692076,0.1866,0.9837,0.0928,1.006
0.191828615,0.1861,0.9839,0.0935,1.006
0.194206538,0.1879,0.9846,0.0928,1.007
0.196945538,0.1886,0.9853,0.0964,1.008
0.202360692,0.1910,0.9842,0.0991,1.007
0.202646538,0.1954,0.9839,0.0975,1.008
0.204106153,0.1982,0.9830,0.0954,1.007
0.207086769,0.2015,0.9802,0.0969,1.005
0.214568923,0.2047,0.9788,0.1010,1.005
0.214861923,0.2064,0.9763,0.1006,1.003
0.214981846,0.2082,0.9746,0.0998,1.002
0.216425307,0.2071,0.9739,0.0989,1.001
0.218253538,0.2079,0.9744,0.0971,1.001
0.22069723,0.2101,0.9744,0.0991,1.002
0.22314523,0.2113,0.9793,0.0996,1.007
0.225438461,0.2135,0.9788,0.0971,1.006
0.228372307,0.2155,0.9814,0.1008,1.010
0.230571384,0.2159,0.9832,0.1038,1.012
0.232710538,0.2131,0.9861,0.1026,1.014
0.235231769,0.2096,0.9844,0.1003,1.011
0.242228923,0.2079,0.9856,0.0998,1.012
0.242491076,0.1994,0.9890,0.0964,1.013
0.242619461,0.1933,0.9924,0.0977,1.016
0.245090538,0.1891,0.9942,0.0977,1.017
0.248996615,0.1852,0.9975,0.0975,1.019
0.249766846,0.1824,0.9968,0.1008,1.018
0.252197538,0.1830,0.9973,0.1006,1.019
0.254713307,0.1864,0.9968,0.0979,1.019
0.257214769,0.1873,0.9926,0.0977,1.015
0.259799153,0.1845,0.9900,0.0986,1.012
0.261794461,0.1842,0.9881,0.0998,1.010
0.265243461,0.1812,0.9868,0.1018,1.008
0.266463076,0.1791,0.9870,0.1015,1.008
0.269193307,0.1766,0.9907,0.1006,1.011
0.271950153,0.1759,0.9919,0.1006,1.012
0.274122538,0.1774,0.9886,0.1040,1.010
0.276355076,0.1788,0.9910,0.1094,1.013
0.279214538,0.1774,0.9902,0.1113,1.012
0.281493923,0.1805,0.9912,0.1125,1.014
0.283436384,0.1861,0.9898,0.1103,1.013
0.286314846,0.1905,0.9917,0.1057,1.015
0.288328692,0.1954,0.9900,0.1026,1.014
0.290635769,0.1959,0.9874,0.1055,1.012
0.293359692,0.2015,0.9844,0.1038,1.010
0.296196615,0.2040,0.9832,0.1031,1.009
0.300433923,0.2045,0.9800,0.0984,1.006
0.300717615,0.2059,0.9805,0.0913,1.006
0.303702153,0.2033,0.9805,0.0837,1.005
0.314582846,0.2018,0.9834,0.0845,1.007
0.31561423,0.2015,0.9825,0.0837,1.006
0.315836692,0.2050,0.9797,0.0861,1.005
0.315933538,0.2045,0.9795,0.0869,1.004
0.316036,0.2091,0.9763,0.0847,1.002
0.317742153,0.2113,0.9737,0.0820,1.000
0.319551692,0.2122,0.9729,0.0796,0.999
0.32221023,0.2101,0.9672,0.0801,0.993
0.324448307,0.2099,0.9683,0.0828,0.994
0.326924,0.2066,0.9688,0.0854,0.994
