time,gFx,gFy,gFz,TgF
0.003287924,0.2113,0.9900,0.1480,1.023
0.003677539,0.2122,0.9923,0.1443,1.025
0.003937539,0.2106,0.9934,0.1446,1.026
0.004151077,0.2064,0.9958,0.1421,1.027
0.004357154,0.2033,0.9966,0.1448,1.027
0.004582462,0.1964,0.9954,0.1514,1.026
0.004806385,0.1910,0.9934,0.1558,1.023
0.010231924,0.1835,0.9930,0.1627,1.023
0.010667924,0.1820,0.9863,0.1683,1.017
0.012448,0.1812,0.9870,0.1700,1.018
0.020389539,0.1823,0.9844,0.1725,1.016
0.020641154,0.1812,0.9807,0.1734,1.012
0.020799693,0.1830,0.9805,0.1785,1.013
0.022901847,0.1868,0.9785,0.1809,1.012
0.026715308,0.1871,0.9770,0.1797,1.011
0.027002077,0.1884,0.9790,0.1793,1.013
0.029043924,0.1898,0.9790,0.1783,1.013
0.031831924,0.1910,0.9809,0.1741,1.014
0.033883,0.1957,0.9773,0.1751,1.012
0.036359077,0.1998,0.9739,0.1732,1.009
0.038637231,0.2031,0.9741,0.1729,1.010
0.040821154,0.2059,0.9719,0.1721,1.008
0.043315693,0.2045,0.9749,0.1721,1.011
0.047091616,0.2087,0.9721,0.1695,1.009
0.048024924,0.2069,0.9739,0.1680,1.010
0.050443077,0.2096,0.9732,0.1700,1.010
0.052850462,0.2082,0.9785,0.1632,1.014
0.057763077,0.2094,0.9763,0.1668,1.012
0.058103,0.2069,0.9778,0.1646,1.013
0.060408231,0.2064,0.9793,0.1634,1.014
0.067324539,0.2040,0.9800,0.1599,1.014
0.067755693,0.2035,0.9781,0.1570,1.011
0.068077462,0.2069,0.9781,0.1567,1.012
0.07254677,0.2069,0.9800,0.1529,1.013
0.072807,0.2062,0.9768,0.1518,1.010
0.075456616,0.2082,0.9732,0.1536,1.007
0.077030154,0.2054,0.9670,0.1523,1.000
0.080453231,0.2052,0.9719,0.1490,1.004
0.081831385,0.2035,0.9697,0.1506,1.002
0.084873462,0.2028,0.9714,0.1492,1.004
0.086993847,0.2022,0.9727,0.1499,1.005
0.089072308,0.1991,0.9763,0.1483,1.007
0.091529847,0.1959,0.9778,0.1483,1.008
0.094018385,0.1940,0.9812,0.1450,1.011
0.096433539,0.1908,0.9830,0.1418,1.011
0.098968231,0.1905,0.9830,0.1431,1.011
0.101468231,0.1896,0.9830,0.1373,1.010
0.105083077,0.1842,0.9821,0.1369,1.009
0.106059308,0.1828,0.9830,0.1348,1.009
0.109150385,0.1849,0.9844,0.1333,1.010
0.111269231,0.1871,0.9874,0.1345,1.014
0.113313539,0.1926,0.9863,0.1338,1.014
0.115842462,0.1973,0.9858,0.1331,1.014
0.118313847,0.2020,0.9856,0.1338,1.015
