time,gFx,gFy,gFz,TgF
0.001203308,0.6809,0.7354,0.1536,1.014
0.001541847,0.6829,0.7303,0.1526,1.011
0.00173077,0.6880,0.7324,0.1555,1.017
0.00389377,0.6804,0.7324,0.1511,1.011
0.004688847,0.6850,0.7293,0.1509,1.012
0.00944177,0.6874,0.7242,0.1495,1.010
0.010727077,0.6831,0.7291,0.1553,1.011
0.011885462,0.6862,0.7293,0.1565,1.014
0.014746693,0.6872,0.7357,0.1565,1.019
0.016651616,0.6914,0.7368,0.1575,1.023
0.019584,0.6902,0.7398,0.1565,1.024
0.021335693,0.6921,0.7393,0.1555,1.025
0.024366385,0.6911,0.7413,0.1548,1.025
0.026789154,0.6904,0.7384,0.1518,1.022
0.028533847,0.6880,0.7391,0.1518,1.021
0.030910462,0.6853,0.7405,0.1516,1.020
0.034207077,0.6834,0.7422,0.1511,1.020
0.035806154,0.6816,0.7405,0.1497,1.018
0.038231616,0.6834,0.7413,0.1509,1.019
0.040908847,0.6838,0.7384,0.1502,1.017
0.043101847,0.6838,0.7368,0.1474,1.016
0.045419385,0.6860,0.7391,0.1458,1.019
0.047896847,0.6836,0.7366,0.1450,1.015
0.050251693,0.6836,0.7337,0.1499,1.014
0.05271377,0.6821,0.7347,0.1492,1.014
0.055127693,0.6806,0.7324,0.1467,1.011
0.057591,0.6769,0.7354,0.1478,1.010
0.059937154,0.6785,0.7349,0.1467,1.011
0.062377539,0.6802,0.7347,0.1450,1.012
0.065990385,0.6853,0.7333,0.1413,1.014
0.068056616,0.6870,0.7337,0.1487,1.016
0.069661539,0.6829,0.7324,0.1460,1.012
0.072103308,0.6804,0.7345,0.1421,1.011
0.074462385,0.6816,0.7310,0.1387,1.009
0.077048231,0.6802,0.7284,0.1406,1.006
0.079277154,0.6836,0.7298,0.1374,1.009
0.082628,0.6841,0.7247,0.1341,1.006
0.084163308,0.6865,0.7235,0.1360,1.007
0.086491385,0.6890,0.7277,0.1360,1.011
0.088925231,0.6883,0.7284,0.1326,1.011
0.091399693,0.6907,0.7273,0.1289,1.011
0.09386977,0.6941,0.7271,0.1311,1.014
0.096609462,0.6923,0.7305,0.1311,1.015
0.09994177,0.6943,0.7271,0.1297,1.014
0.102086154,0.6963,0.7264,0.1285,1.014
0.103387385,0.6948,0.7252,0.1333,1.013
0.105715,0.6931,0.7235,0.1369,1.011
0.108137847,0.6909,0.7242,0.1374,1.010
0.110649462,0.6895,0.7212,0.1345,1.007
0.113020923,0.6887,0.7210,0.1311,1.006
0.115401847,0.6850,0.7195,0.1309,1.002
0.117827308,0.6814,0.7191,0.1360,1.000
0.120942462,0.6804,0.7166,0.1367,0.998
0.124222462,0.6799,0.7132,0.1360,0.995
0.125839923,0.6748,0.7154,0.1329,0.992
0.127455923,0.6738,0.7147,0.1411,0.992
0.130961847,0.6755,0.7168,0.1367,0.994
0.135072847,0.6699,0.7166,0.1331,0.990
0.135406154,0.6689,0.7184,0.1318,0.990
0.137143308,0.6716,0.7193,0.1313,0.993
0.139901231,0.6718,0.7198,0.1304,0.993
0.141938462,0.6716,0.7193,0.1306,0.993
0.144323308,0.6750,0.7193,0.1318,0.995
0.146938385,0.6792,0.7217,0.1369,1.000
0.151215308,0.6829,0.7237,0.1378,1.004
0.152082462,0.6823,0.7219,0.1404,1.003
0.154202462,0.6818,0.7271,0.1434,1.007
0.156434385,0.6799,0.7261,0.1411,1.005
0.158887923,0.6745,0.7261,0.1394,1.001
0.161381539,0.6738,0.7264,0.1380,1.000
0.164879616,0.6716,0.7298,0.1385,1.001
0.166985154,0.6724,0.7312,0.1374,1.003
0.168529847,0.6724,0.7320,0.1367,1.003
0.171830385,0.6757,0.7364,0.1348,1.009
0.173384616,0.6774,0.7357,0.1397,1.010
0.176508231,0.6792,0.7386,0.1402,1.013
0.178276923,0.6814,0.7352,0.1413,1.012
0.181193154,0.6792,0.7330,0.1429,1.009
0.183703308,0.6811,0.7345,0.1423,1.012
0.18529377,0.6802,0.7364,0.1382,1.012
0.187758154,0.6750,0.7371,0.1390,1.009
0.190280231,0.6734,0.7381,0.1416,1.009
0.192695077,0.6750,0.7359,0.1470,1.009
0.195012923,0.6736,0.7391,0.1397,1.010
0.198613154,0.6706,0.7408,0.1423,1.009
0.199805462,0.6724,0.7376,0.1434,1.008
0.202621154,0.6748,0.7396,0.1450,1.012
0.204695923,0.6743,0.7368,0.1460,1.009
0.207156616,0.6755,0.7381,0.1462,1.011
0.209427308,0.6738,0.7393,0.1402,1.010
0.212062462,0.6762,0.7368,0.1490,1.011
0.214364616,0.6750,0.7379,0.1504,1.011
0.216691616,0.6713,0.7381,0.1480,1.009
0.219261847,0.6721,0.7342,0.1472,1.006
0.222316616,0.6726,0.7347,0.1478,1.007
0.224906693,0.6736,0.7357,0.1480,1.008
0.226391,0.6734,0.7352,0.1458,1.008
0.229490693,0.6721,0.7330,0.1453,1.005
0.232145231,0.6706,0.7354,0.1411,1.005
0.23363477,0.6721,0.7379,0.1434,1.008
0.236138693,0.6734,0.7386,0.1425,1.010
0.238855693,0.6731,0.7405,0.1385,1.010
0.24103777,0.6729,0.7393,0.1438,1.010
0.243279385,0.6738,0.7398,0.1441,1.011
0.245879616,0.6692,0.7403,0.1411,1.008
0.24805877,0.6677,0.7361,0.1382,1.003
0.250540923,0.6652,0.7389,0.1380,1.004
0.252890462,0.6629,0.7442,0.1413,1.007
0.255293154,0.6604,0.7471,0.1418,1.007
0.257856231,0.6543,0.7433,0.1413,1.000
0.260184539,0.6511,0.7440,0.1423,0.999
0.262609231,0.6455,0.7503,0.1409,1.000
0.264984616,0.6408,0.7566,0.1362,1.001
0.26744177,0.6482,0.7643,0.1329,1.011
0.269787385,0.6641,0.7684,0.1277,1.024
0.272188539,0.6773,0.7671,0.1243,1.031
0.274792308,0.6897,0.7694,0.1257,1.041
0.277160308,0.7029,0.7696,0.1262,1.050
0.280358385,0.7119,0.7684,0.1238,1.055
0.281848539,0.7116,0.7689,0.1233,1.055
0.284303077,0.7044,0.7655,0.1229,1.047
0.286972,0.6887,0.7655,0.1199,1.037
0.289209462,0.6731,0.7655,0.1213,1.027
0.291524,0.6582,0.7667,0.1211,1.018
0.293913847,0.6480,0.7671,0.1167,1.011
0.296971693,0.6459,0.7667,0.1150,1.009
0.298815616,0.6525,0.7640,0.1128,1.011
0.30111377,0.6545,0.7652,0.1115,1.013
0.303548231,0.6584,0.7684,0.1148,1.018
0.306012847,0.6608,0.7699,0.1131,1.021
0.308461462,0.6633,0.7728,0.1155,1.025
0.310832231,0.6669,0.7692,0.1177,1.025
0.313281847,0.6677,0.7615,0.1211,1.020
0.315710077,0.6643,0.7628,0.1199,1.019
