time,gFx,gFy,gFz,TgF
0.002869846,0.2147,0.9695,0.0285,0.993
0.003149615,0.2233,0.9678,0.0304,0.994
0.003359461,0.2273,0.9697,0.0293,0.996
0.003557,0.2289,0.9714,0.0321,0.999
0.003745923,0.2308,0.9714,0.0285,0.999
0.006134153,0.2323,0.9721,0.0260,1.000
0.016471384,0.2362,0.9732,0.0232,1.002
0.016750153,0.2377,0.9753,0.0190,1.004
0.01688623,0.2345,0.9783,0.0155,1.006
0.021650538,0.2308,0.9797,0.0124,1.007
0.021836076,0.2287,0.9830,0.0090,1.009
0.021947153,0.2274,0.9830,0.0065,1.009
0.022881923,0.2211,0.9825,0.0131,1.007
0.025680307,0.2169,0.9805,0.0146,1.004
0.027735769,0.2155,0.9817,0.0155,1.005
0.030100615,0.2167,0.9783,0.0178,1.002
0.033021538,0.2231,0.9741,0.0183,0.999
0.038804615,0.2318,0.9697,0.0244,0.997
0.0392,0.2360,0.9616,0.0312,0.991
0.039993615,0.2401,0.9580,0.0405,0.988
0.042668,0.2434,0.9543,0.0463,0.986
0.044814846,0.2431,0.9541,0.0486,0.986
0.047280923,0.2426,0.9534,0.0430,0.985
0.050495461,0.2450,0.9614,0.0373,0.993
0.051911384,0.2506,0.9690,0.0285,1.001
0.054614461,0.2555,0.9781,0.0200,1.011
0.056783692,0.2595,0.9886,0.0136,1.022
0.059647153,0.2587,0.9923,0.0121,1.025
0.061512307,0.2553,1.0049,0.0131,1.037
0.063996615,0.2536,1.0096,0.0070,1.041
0.067746846,0.2462,1.0098,0.0006,1.039
0.068808615,0.2389,1.0093,-0.0030,1.037
0.071795461,0.2280,1.0079,0.0002,1.033
0.074077846,0.2220,1.0049,0.0058,1.029
0.07628623,0.2194,1.0084,0.0136,1.032
0.07920123,0.2201,1.0112,0.0188,1.035
0.080792307,0.2226,1.0137,0.0244,1.038
0.083440384,0.2243,1.0154,0.0278,1.040
0.085677846,0.2255,1.0212,0.0197,1.046
0.088247692,0.2220,1.0168,0.0183,1.041
0.090628307,0.2180,1.0115,0.0188,1.035
0.095112923,0.2111,1.0047,0.0227,1.027
0.095444,0.2069,0.9995,0.0265,1.021
0.102097923,0.2040,0.9942,0.0283,1.015
0.102479153,0.2020,0.9888,0.0319,1.010
0.102670846,0.2047,0.9837,0.0346,1.005
0.11055423,0.2035,0.9856,0.0386,1.007
0.110827769,0.2033,0.9839,0.0419,1.006
0.110941,0.2015,0.9805,0.0446,1.002
0.112284,0.1966,0.9797,0.0493,1.000
0.114604307,0.1893,0.9744,0.0527,0.994
0.117200923,0.1835,0.9688,0.0554,0.988
0.119411384,0.1793,0.9636,0.0535,0.982
0.121917923,0.1788,0.9555,0.0502,0.973
0.124739769,0.1805,0.9502,0.0456,0.968
0.126769307,0.1864,0.9431,0.0446,0.962
0.129163076,0.1917,0.9438,0.0444,0.964
0.13191723,0.2064,0.9453,0.0451,0.969
0.133985615,0.2208,0.9511,0.0463,0.978
0.136360615,0.2243,0.9567,0.0461,0.984
0.139074846,0.2372,0.9616,0.0281,0.991
0.141950461,0.2448,0.9668,0.0202,0.998
0.145153307,0.2394,0.9746,0.0178,1.004
0.145962846,0.2341,0.9805,0.0116,1.008
0.148522769,0.2273,0.9839,0.0031,1.010
0.150802769,0.2208,0.9863,-0.0009,1.011
0.153270153,0.2204,0.9926,-0.0049,1.017
0.155837307,0.2187,0.9956,-0.0061,1.019
0.158132,0.2206,1.0027,-0.0026,1.027
0.160466153,0.2243,1.0068,-0.0009,1.032
0.162948307,0.2282,1.0105,0.0026,1.036
0.165726846,0.2276,1.0110,0.0006,1.036
0.167884384,0.2252,1.0086,0.0002,1.033
0.170355769,0.2213,1.0049,0.0006,1.029
0.172535153,0.2157,0.9983,-0.0002,1.021
