time,gFx,gFy,gFz,TgF
0.001817615,0.5092,0.8370,0.2137,1.003
0.002080923,0.5106,0.8351,0.2142,1.002
0.002228077,0.5136,0.8341,0.2115,1.002
0.005353,0.5111,0.8334,0.2159,1.001
0.005790461,0.5062,0.8329,0.2110,0.997
0.010931692,0.5108,0.8346,0.2110,1.001
0.011112077,0.5218,0.8361,0.2107,1.008
0.015302846,0.5250,0.8381,0.2088,1.011
0.015533615,0.5231,0.8358,0.2112,1.008
0.017579154,0.5152,0.8419,0.2103,1.009
0.019889,0.5028,0.8498,0.1993,1.007
0.023152923,0.4891,0.8651,0.1812,1.010
0.024772077,0.4781,0.8754,0.1744,1.013
0.027124384,0.4774,0.8866,0.1716,1.021
0.030134461,0.4830,0.8869,0.1793,1.026
0.032044923,0.4910,0.8869,0.1821,1.030
0.034356384,0.5008,0.8828,0.1824,1.031
0.036850769,0.5089,0.8773,0.1793,1.030
0.039151384,0.5185,0.8744,0.1765,1.032
0.041651769,0.5218,0.8674,0.1741,1.027
0.044133538,0.5260,0.8644,0.1727,1.026
0.046528692,0.5289,0.8542,0.1729,1.019
0.048801615,0.5318,0.8500,0.1741,1.018
0.051411384,0.5297,0.8468,0.1809,1.015
0.054812307,0.5274,0.8463,0.1856,1.014
0.056204307,0.5233,0.8444,0.1914,1.012
0.058912692,0.5206,0.8397,0.1981,1.008
0.061848384,0.5189,0.8365,0.2042,1.005
0.064071077,0.5157,0.8337,0.2103,1.003
0.066054538,0.5185,0.8253,0.2144,0.998
0.068840615,0.5164,0.8239,0.2159,0.996
0.07193723,0.5150,0.8251,0.2152,0.996
0.073249615,0.5113,0.8248,0.2144,0.994
0.075345307,0.5067,0.8302,0.2137,0.996
0.082947384,0.5043,0.8351,0.2068,0.997
0.083263384,0.5003,0.8349,0.2044,0.995
0.083521615,0.5013,0.8374,0.2017,0.997
0.086891692,0.5001,0.8405,0.2005,0.998
0.089724923,0.5023,0.8386,0.1979,0.997
0.089922538,0.5067,0.8432,0.1991,1.004
0.092302846,0.5136,0.8432,0.1924,1.006
0.094984615,0.5189,0.8421,0.1898,1.007
0.097125923,0.5245,0.8361,0.1841,1.004
0.100115077,0.5260,0.8339,0.1763,1.002
0.102029,0.5294,0.8307,0.1712,1.000
0.104609846,0.5362,0.8334,0.1673,1.005
0.106711077,0.5346,0.8358,0.1685,1.006
0.10913023,0.5301,0.8378,0.1753,1.007
0.112448692,0.5257,0.8370,0.1832,1.005
0.113951769,0.5224,0.8405,0.1924,1.008
0.116875077,0.5192,0.8397,0.2005,1.007
0.11896223,0.5140,0.8349,0.2068,1.002
0.124864077,0.5118,0.8339,0.2091,1.001
0.125225846,0.5092,0.8346,0.2084,1.000
0.126347461,0.5069,0.8370,0.2071,1.000
0.129141307,0.5052,0.8395,0.2044,1.001
0.130901538,0.5043,0.8409,0.1983,1.000
0.133310769,0.4994,0.8419,0.1986,0.999
0.137182461,0.5008,0.8468,0.2037,1.005
0.138059154,0.4947,0.8522,0.2019,1.006
0.141033538,0.4964,0.8588,0.1983,1.012
0.144202154,0.4984,0.8654,0.1910,1.017
0.146415769,0.5013,0.8647,0.1881,1.017
0.147756692,0.5055,0.8666,0.1873,1.021
0.150394846,0.5120,0.8671,0.1868,1.024
0.154021923,0.5197,0.8654,0.1846,1.026
0.155066154,0.5236,0.8630,0.1821,1.026
0.158012384,0.5250,0.8617,0.1783,1.025
0.160544,0.5218,0.8593,0.1753,1.020
0.162987461,0.5208,0.8566,0.1707,1.017
0.164631461,0.5164,0.8539,0.1725,1.013
0.167194461,0.5099,0.8524,0.1753,1.009
0.170214538,0.5082,0.8510,0.1772,1.007
0.172052077,0.5064,0.8495,0.1793,1.005
0.174313923,0.5108,0.8481,0.1849,1.007
0.176762769,0.5123,0.8470,0.1895,1.008
0.181684923,0.5118,0.8481,0.1917,1.009
0.181960923,0.5104,0.8498,0.1934,1.010
0.185151692,0.5071,0.8473,0.1973,1.007
0.187234846,0.5008,0.8402,0.2066,1.000
0.18880123,0.4999,0.8414,0.2039,1.000
0.191936077,0.4976,0.8463,0.2030,1.003
0.194731692,0.4871,0.8510,0.2003,1.001
0.200141846,0.4838,0.8512,0.1991,0.999
0.200566769,0.4864,0.8547,0.1983,1.003
0.201794461,0.4950,0.8573,0.1924,1.009
0.205950846,0.5069,0.8561,0.1919,1.013
0.206136692,0.5152,0.8542,0.1912,1.016
0.208757,0.5273,0.8530,0.1932,1.021
0.211966154,0.5278,0.8524,0.1937,1.021
0.214735384,0.5262,0.8451,0.1946,1.014
0.215448615,0.5257,0.8421,0.1946,1.012
0.218135461,0.5248,0.8414,0.1976,1.011
0.222123077,0.5220,0.8414,0.1983,1.010
0.22259423,0.5216,0.8417,0.2003,1.010
0.225067384,0.5152,0.8419,0.1993,1.007
0.227513538,0.5160,0.8407,0.1991,1.006
0.229721,0.5131,0.8378,0.1986,1.002
0.232341846,0.5101,0.8351,0.2005,0.999
0.234824,0.5126,0.8319,0.1976,0.997
0.239728384,0.5120,0.8319,0.1991,0.997
0.240120307,0.5128,0.8319,0.1991,0.997
0.241855769,0.5152,0.8302,0.2005,0.997
0.244608692,0.5106,0.8334,0.2037,0.998
0.246659461,0.5108,0.8351,0.2032,1.000
0.249342538,0.5101,0.8417,0.2051,1.005
0.251743384,0.5133,0.8439,0.2098,1.010
0.255709615,0.5204,0.8426,0.2054,1.011
0.25639823,0.5260,0.8421,0.1988,1.013
0.259201615,0.5273,0.8424,0.1963,1.013
0.261840923,0.5289,0.8451,0.1983,1.016
0.263682538,0.5278,0.8442,0.1995,1.015
0.266117846,0.5243,0.8470,0.2019,1.016
0.269304615,0.5218,0.8461,0.2044,1.015
0.270828384,0.5175,0.8466,0.2032,1.013
0.273673307,0.5175,0.8470,0.2049,1.014
0.276171154,0.5164,0.8473,0.2037,1.013
0.28189323,0.5180,0.8446,0.2039,1.012
0.282346154,0.5201,0.8451,0.2022,1.013
0.283148384,0.5211,0.8456,0.2035,1.014
0.29006523,0.5206,0.8493,0.2012,1.016
0.290404692,0.5206,0.8419,0.2003,1.010
0.290581,0.5172,0.8397,0.2010,1.006
0.292772307,0.5180,0.8361,0.2044,1.005
0.295546846,0.5189,0.8388,0.2110,1.009
0.298009846,0.5152,0.8434,0.2115,1.011
0.301210154,0.5104,0.8470,0.2100,1.011
0.303636,0.5115,0.8458,0.2103,1.011
0.304997,0.5082,0.8454,0.2071,1.008
0.30789723,0.5136,0.8500,0.2025,1.014
0.311244615,0.5164,0.8502,0.1991,1.014
0.311965846,0.5238,0.8495,0.1939,1.017
0.31425423,0.5260,0.8468,0.1902,1.015
0.317173,0.5282,0.8488,0.1902,1.018
0.319302538,0.5255,0.8544,0.1939,1.022
0.321940923,0.5197,0.8568,0.1973,1.021
0.323737846,0.5138,0.8600,0.1976,1.021
0.327192384,0.5108,0.8591,0.1968,1.019
0.328582154,0.5113,0.8630,0.1934,1.022
0.33119023,0.5096,0.8605,0.1907,1.018
0.33424923,0.5131,0.8581,0.1927,1.018
0.338443461,0.5164,0.8559,0.1973,1.019
0.338742538,0.5164,0.8510,0.1979,1.015
0.340962769,0.5172,0.8483,0.1993,1.013
0.343906154,0.5177,0.8442,0.2000,1.010
0.345495769,0.5177,0.8424,0.2019,1.009
0.347933615,0.5175,0.8407,0.2066,1.009
0.35184523,0.5169,0.8393,0.2119,1.008
0.352821,0.5162,0.8390,0.2159,1.008
0.355238769,0.5138,0.8383,0.2220,1.008
0.357649923,0.5145,0.8400,0.2261,1.011
0.360081846,0.5104,0.8405,0.2261,1.009
0.362331461,0.5096,0.8414,0.2264,1.009
0.364788923,0.5155,0.8393,0.2237,1.010
0.368815692,0.5231,0.8386,0.2228,1.013
0.370233538,0.5243,0.8325,0.2259,1.009
0.37223423,0.5229,0.8305,0.2228,1.006
0.374729846,0.5243,0.8332,0.2184,1.008
0.381152615,0.5218,0.8358,0.2177,1.009
0.381450154,0.5260,0.8353,0.2115,1.010
0.383019461,0.5273,0.8329,0.2074,1.007
0.38633423,0.5297,0.8337,0.2079,1.009
0.386609615,0.5318,0.8325,0.2081,1.010
0.388934154,0.5323,0.8346,0.2042,1.011
0.391352923,0.5323,0.8353,0.2019,1.011
0.394076692,0.5321,0.8358,0.1988,1.011
0.396385,0.5257,0.8400,0.1937,1.010
0.398756692,0.5211,0.8432,0.1890,1.009
0.401421538,0.5162,0.8434,0.1878,1.006
0.403379154,0.5123,0.8456,0.1890,1.007
0.405974538,0.5089,0.8473,0.1939,1.007
0.410265,0.5018,0.8514,0.1986,1.008
0.410735461,0.4957,0.8537,0.1961,1.006
0.413874769,0.4891,0.8617,0.1881,1.009
0.41842923,0.4866,0.8691,0.1749,1.011
0.418859154,0.4898,0.8724,0.1668,1.014
0.42199423,0.4962,0.8791,0.1634,1.023
0.422857615,0.5057,0.8798,0.1621,1.028
0.426099692,0.5115,0.8784,0.1590,1.029
0.42753323,0.5197,0.8712,0.1546,1.026
0.430194846,0.5243,0.8630,0.1497,1.021
0.432596,0.5260,0.8595,0.1499,1.019
0.435440307,0.5253,0.8579,0.1509,1.017
0.437299692,0.5201,0.8532,0.1592,1.012
0.439730846,0.5128,0.8524,0.1658,1.008
0.442245307,0.5104,0.8505,0.1683,1.006
0.445852692,0.5045,0.8542,0.1707,1.007
0.446882154,0.5028,0.8537,0.1814,1.007
0.451384307,0.5108,0.8500,0.1895,1.010
0.453892923,0.5152,0.8522,0.1991,1.016
0.454157538,0.5172,0.8514,0.2071,1.018
0.456625538,0.5104,0.8488,0.2084,1.012
0.460136077,0.5059,0.8458,0.2054,1.007
0.461353846,0.5018,0.8421,0.2019,1.001
0.463909846,0.4987,0.8393,0.1988,0.996
0.467185846,0.5015,0.8344,0.1905,0.992
0.468506461,0.5047,0.8339,0.1883,0.993
0.471041538,0.5071,0.8353,0.1878,0.995
0.473454769,0.5128,0.8368,0.1898,1.000
0.479203077,0.5111,0.8419,0.1890,1.003
0.479616923,0.5108,0.8417,0.1932,1.003
0.482182538,0.5080,0.8451,0.1951,1.005
0.486376384,0.5089,0.8444,0.1910,1.004
0.486618769,0.5113,0.8417,0.1875,1.003
0.488128077,0.5148,0.8434,0.1817,1.005
0.490412692,0.5197,0.8439,0.1770,1.007
0.493067692,0.5213,0.8446,0.1753,1.008
0.495265615,0.5187,0.8388,0.1770,1.002
0.497726538,0.5157,0.8363,0.1800,0.999
0.500473615,0.5120,0.8319,0.1834,0.994
0.502595077,0.5099,0.8339,0.1851,0.995
0.504956923,0.5082,0.8370,0.1863,0.997
0.509296,0.5106,0.8353,0.1907,0.997
0.510509923,0.5084,0.8363,0.1951,0.998
0.512583461,0.5087,0.8383,0.1981,1.000
0.515560384,0.5084,0.8426,0.2022,1.005
0.517814538,0.5047,0.8417,0.2044,1.002
0.519505846,0.5038,0.8461,0.2059,1.006
0.521552615,0.5040,0.8412,0.2049,1.002
0.525154769,0.5059,0.8466,0.2059,1.008
0.532448692,0.5074,0.8456,0.2049,1.007
0.532775384,0.5094,0.8466,0.2039,1.009
0.533035384,0.5099,0.8470,0.2044,1.010
0.534323461,0.5140,0.8490,0.2086,1.014
0.536050769,0.5155,0.8505,0.2074,1.016
0.538359384,0.5182,0.8495,0.2084,1.017
0.540780692,0.5211,0.8461,0.2093,1.016
0.543132384,0.5208,0.8444,0.2096,1.014
0.545650846,0.5204,0.8432,0.2061,1.012
0.548225615,0.5189,0.8461,0.2027,1.013
0.550451461,0.5131,0.8493,0.1976,1.012
0.553083154,0.5092,0.8507,0.2014,1.012
0.555523461,0.5067,0.8554,0.2019,1.015
0.557857307,0.5057,0.8591,0.2035,1.017
0.560080692,0.5055,0.8598,0.2022,1.018
0.562547769,0.5043,0.8615,0.2012,1.018
0.566434846,0.5069,0.8612,0.2005,1.019
0.569417923,0.5077,0.8581,0.2007,1.017
0.569675692,0.5104,0.8591,0.1981,1.019
0.572497615,0.5113,0.8556,0.1902,1.015
0.574707384,0.5148,0.8522,0.1844,1.013
0.578080307,0.5189,0.8507,0.1844,1.013
0.579676615,0.5218,0.8510,0.1849,1.015
0.585842769,0.5208,0.8537,0.1865,1.017
0.586013846,0.5197,0.8586,0.1934,1.022
0.587957538,0.5148,0.8586,0.1951,1.020
0.589417307,0.5123,0.8568,0.1958,1.017
0.592207461,0.5106,0.8551,0.2005,1.016
0.593771692,0.5111,0.8500,0.2022,1.012
0.596272,0.5128,0.8451,0.2027,1.009
0.59902,0.5169,0.8414,0.2059,1.009
0.602552615,0.5201,0.8407,0.2096,1.011
0.603355461,0.5192,0.8417,0.2081,1.011
0.606135692,0.5155,0.8449,0.2086,1.011
0.608235077,0.5118,0.8466,0.2063,1.011
0.610874769,0.5113,0.8463,0.2059,1.010
0.613287154,0.5120,0.8449,0.2054,1.009
0.615667769,0.5155,0.8446,0.2014,1.010
0.619552692,0.5201,0.8419,0.2019,1.010
0.620460923,0.5213,0.8400,0.2049,1.010
0.62373023,0.5220,0.8390,0.2037,1.009
0.627084307,0.5226,0.8361,0.2096,1.008
0.627703077,0.5213,0.8365,0.2137,1.009
0.631631692,0.5160,0.8351,0.2198,1.006
0.632790846,0.5148,0.8363,0.2203,1.006
0.634972384,0.5120,0.8363,0.2291,1.007
0.637436077,0.5082,0.8361,0.2298,1.005
0.640696,0.5055,0.8376,0.2284,1.005
0.642055769,0.5087,0.8374,0.2254,1.005
0.644531461,0.5106,0.8329,0.2208,1.002
0.647484692,0.5138,0.8319,0.2168,1.002
0.649870769,0.5145,0.8297,0.2164,1.000
0.651806461,0.5177,0.8327,0.2198,1.005
0.654154846,0.5160,0.8353,0.2222,1.007
0.657639384,0.5087,0.8374,0.2203,1.004
0.659469615,0.5067,0.8393,0.2186,1.004
0.661853307,0.5094,0.8424,0.2142,1.008
0.664841923,0.5120,0.8439,0.2096,1.009
0.666669615,0.5150,0.8426,0.2051,1.009
0.669001615,0.5194,0.8466,0.1991,1.013
0.672090461,0.5199,0.8498,0.1919,1.015
0.673665,0.5187,0.8507,0.1875,1.014
0.676261615,0.5182,0.8532,0.1858,1.015
0.678275461,0.5177,0.8512,0.1917,1.015
0.684311384,0.5128,0.8486,0.1942,1.010
0.685594461,0.5140,0.8456,0.1932,1.008
