time,gFx,gFy,gFz,TgF
0.001252924,0.2914,0.9790,0.0334,1.022
0.001499077,0.2925,0.9776,0.0388,1.021
0.001680077,0.2932,0.9795,0.0442,1.023
0.00183877,0.2976,0.9751,0.0483,1.021
0.001970154,0.2946,0.9716,0.0488,1.016
0.004063077,0.2905,0.9724,0.0466,1.016
0.006103154,0.2849,0.9737,0.0434,1.015
0.007757539,0.2797,0.9737,0.0424,1.014
0.01025177,0.2778,0.9746,0.0412,1.014
0.012952693,0.2775,0.9765,0.0409,1.016
0.014900616,0.2788,0.9776,0.0402,1.017
0.017353924,0.2861,0.9760,0.0375,1.018
0.020968693,0.2946,0.9776,0.0356,1.022
0.022445616,0.3002,0.9795,0.0337,1.025
0.024607693,0.3005,0.9821,0.0349,1.028
0.027633,0.2983,0.9821,0.0324,1.027
0.02927077,0.2978,0.9812,0.0316,1.026
0.031641616,0.2934,0.9785,0.0288,1.022
0.034044693,0.2861,0.9727,0.0253,1.014
0.036570539,0.2827,0.9636,0.0236,1.004
0.038945539,0.2881,0.9536,0.0307,0.997
0.041816308,0.2946,0.9429,0.0341,0.988
0.044266231,0.3047,0.9345,0.0358,0.984
0.046348,0.3091,0.9297,0.0373,0.980
0.048748693,0.3144,0.9285,0.0388,0.981
0.051217847,0.3203,0.9272,0.0409,0.982
0.053534231,0.3259,0.9257,0.0421,0.982
0.056448616,0.3274,0.9250,0.0419,0.982
0.058349616,0.3268,0.9241,0.0412,0.981
0.062308924,0.3193,0.9223,0.0324,0.977
0.063036693,0.3124,0.9262,0.0246,0.978
0.065601847,0.3075,0.9274,0.0219,0.977
0.068099154,0.3026,0.9274,0.0204,0.976
0.070514847,0.3042,0.9257,0.0239,0.975
0.072982847,0.3012,0.9272,0.0260,0.975
0.075957616,0.2988,0.9365,0.0281,0.983
0.078564924,0.2970,0.9378,0.0278,0.984
0.080095693,0.2974,0.9411,0.0241,0.987
0.082811154,0.2988,0.9450,0.0121,0.991
0.086009539,0.3026,0.9446,0.0023,0.992
0.087260077,0.3093,0.9511,-0.0039,1.000
0.089972,0.3151,0.9555,-0.0083,1.006
0.092271077,0.3232,0.9604,-0.0065,1.013
0.094965616,0.3277,0.9721,-0.0044,1.026
0.097225539,0.3261,0.9805,-0.0049,1.033
0.099513847,0.3271,0.9905,-0.0034,1.043
0.102921231,0.3261,1.0005,-0.0042,1.052
0.104300308,0.3242,1.0096,-0.0061,1.060
0.106800385,0.3205,1.0142,-0.0017,1.064
0.109126462,0.3122,1.0186,-0.0026,1.065
0.111618847,0.3005,1.0193,-0.0049,1.063
0.114228385,0.2873,1.0184,-0.0046,1.058
0.11640777,0.2741,1.0135,0.0046,1.050
0.12099177,0.2676,1.0056,0.0170,1.041
0.121276693,0.2680,0.9988,0.0288,1.034
0.123659385,0.2709,0.9898,0.0368,1.027
0.126624308,0.2783,0.9839,0.0427,1.023
0.133169,0.2809,0.9790,0.0507,1.020
0.133548616,0.2819,0.9795,0.0537,1.021
0.133805924,0.2807,0.9795,0.0512,1.020
0.135844693,0.2790,0.9793,0.0512,1.020
0.138166154,0.2785,0.9756,0.0473,1.016
0.14051877,0.2802,0.9729,0.0476,1.014
0.143774231,0.2795,0.9707,0.0500,1.011
0.14508277,0.2797,0.9636,0.0547,1.005
0.147728385,0.2804,0.9590,0.0615,1.001
0.150201847,0.2841,0.9543,0.0632,0.998
0.152478231,0.2886,0.9485,0.0632,0.993
0.154914231,0.2909,0.9455,0.0549,0.991
0.157374847,0.2963,0.9411,0.0454,0.988
0.160440693,0.2937,0.9367,0.0390,0.982
0.162441539,0.2909,0.9365,0.0334,0.981
0.165679154,0.2905,0.9357,0.0276,0.980
0.16879477,0.2930,0.9365,0.0244,0.982
0.16971877,0.2919,0.9357,0.0281,0.981
0.171921847,0.2961,0.9394,0.0270,0.985
0.174577847,0.2990,0.9453,0.0283,0.992
0.177119693,0.3035,0.9495,0.0307,0.997
0.179226154,0.3019,0.9529,0.0283,1.000
0.182453847,0.3042,0.9518,0.0190,0.999
0.184702154,0.3066,0.9518,0.0111,1.000
0.186295693,0.3035,0.9543,0.0041,1.001
0.188819462,0.2990,0.9518,0.0000,0.998
0.191290539,0.2976,0.9529,0.0048,0.998
0.193837616,0.2951,0.9543,0.0114,0.999
0.196448924,0.2942,0.9597,0.0111,1.004
0.199563693,0.2951,0.9644,0.0087,1.009
0.201962847,0.2986,0.9688,0.0085,1.014
0.203017616,0.2934,0.9756,0.0062,1.019
0.205563693,0.2930,0.9861,0.0055,1.029
0.208443462,0.2841,0.9939,0.0060,1.034
0.210609847,0.2853,1.0015,0.0075,1.041
0.212633,0.2793,1.0027,0.0062,1.041
0.215493539,0.2812,1.0068,0.0034,1.045
0.221342847,0.2849,1.0061,0.0072,1.046
0.221709231,0.2865,1.0044,0.0119,1.045
0.222795077,0.2900,1.0015,0.0170,1.043
0.231886231,0.2942,0.9956,0.0246,1.038
0.232580616,0.2978,0.9876,0.0290,1.032
0.232779693,0.2983,0.9832,0.0337,1.028
0.232951462,0.2995,0.9783,0.0337,1.024
0.235171693,0.2949,0.9700,0.0337,1.014
0.237104616,0.2944,0.9646,0.0356,1.009
0.239385539,0.2881,0.9599,0.0375,1.003
0.242738539,0.2846,0.9578,0.0481,1.000
0.244035385,0.2849,0.9539,0.0570,0.997
0.246471385,0.2824,0.9473,0.0549,0.990
0.24906677,0.2829,0.9436,0.0500,0.986
0.25149977,0.2865,0.9387,0.0493,0.983
0.254222539,0.2902,0.9313,0.0525,0.977
0.256619693,0.2954,0.9289,0.0628,0.977
0.259304693,0.2986,0.9255,0.0649,0.975
0.26093177,0.3059,0.9277,0.0659,0.979
0.263355693,0.3173,0.9301,0.0623,0.985
0.26622777,0.3203,0.9277,0.0576,0.983
0.268361924,0.3237,0.9301,0.0414,0.986
0.270813308,0.3212,0.9348,0.0349,0.989
0.273174231,0.3163,0.9411,0.0344,0.993
0.275637231,0.3186,0.9487,0.0363,1.001
0.277921231,0.3215,0.9499,0.0332,1.003
0.280243385,0.3252,0.9602,0.0241,1.014
0.282667385,0.3242,0.9634,0.0190,1.017
0.285169539,0.3196,0.9685,0.0139,1.020
0.287646462,0.3135,0.9756,0.0119,1.025
0.290355385,0.3083,0.9795,0.0129,1.027
0.292531154,0.3063,0.9800,0.0131,1.027
0.295644308,0.2990,0.9827,0.0134,1.027
0.297722462,0.2932,0.9834,0.0121,1.026
0.299684924,0.2890,0.9839,0.0107,1.025
0.302137616,0.2863,0.9807,0.0104,1.022
0.304401,0.2873,0.9817,0.0109,1.023
0.308556,0.2863,0.9839,0.0151,1.025
0.309395385,0.2827,0.9883,0.0256,1.028
0.311864616,0.2809,0.9902,0.0326,1.030
0.314257924,0.2790,0.9917,0.0307,1.031
0.319706847,0.2758,0.9861,0.0272,1.024
0.320072308,0.2772,0.9802,0.0209,1.019
0.321643385,0.2804,0.9749,0.0219,1.015
0.324324308,0.2821,0.9680,0.0293,1.009
0.328062462,0.2893,0.9641,0.0319,1.007
0.32842277,0.2951,0.9623,0.0341,1.007
0.331137539,0.3002,0.9578,0.0344,1.004
0.333490231,0.3010,0.9604,0.0344,1.007
0.336055077,0.2968,0.9623,0.0329,1.008
0.338281,0.2895,0.9641,0.0326,1.007
0.340536693,0.2846,0.9648,0.0309,1.006
0.34306377,0.2819,0.9668,0.0283,1.008
0.345509231,0.2849,0.9629,0.0204,1.004
0.347953924,0.2919,0.9541,0.0176,0.998
0.350322847,0.2966,0.9527,0.0200,0.998
0.352594847,0.2990,0.9523,0.0195,0.998
0.355123154,0.3010,0.9546,0.0236,1.001
0.357572616,0.2958,0.9585,0.0253,1.003
0.359806539,0.2932,0.9583,0.0244,1.002
0.363065616,0.2968,0.9588,0.0221,1.004
0.365077231,0.3037,0.9534,0.0155,1.001
0.367372,0.3047,0.9474,0.0127,0.995
0.369959154,0.3044,0.9424,0.0111,0.990
0.372214154,0.3128,0.9329,0.0131,0.984
0.375749308,0.3173,0.9316,0.0148,0.984
0.376749308,0.3244,0.9306,0.0192,0.986
0.379210462,0.3320,0.9297,0.0204,0.987
0.381857847,0.3357,0.9333,0.0192,0.992
0.383996,0.3391,0.9378,0.0116,0.997
0.386551077,0.3340,0.9414,0.0107,0.999
0.3893,0.3303,0.9470,0.0053,1.003
0.391455693,0.3184,0.9567,0.0083,1.008
0.393833847,0.3035,0.9653,0.0127,1.012
0.39631977,0.2900,0.9749,0.0202,1.017
0.39882,0.2793,0.9781,0.0192,1.017
0.40103177,0.2695,0.9788,0.0170,1.015
0.403444,0.2587,0.9805,0.0146,1.014
0.40597977,0.2553,0.9839,0.0192,1.017
0.408189539,0.2541,0.9842,0.0304,1.017
0.410481924,0.2529,0.9809,0.0397,1.014
0.413221308,0.2539,0.9809,0.0461,1.014
0.416034462,0.2583,0.9760,0.0414,1.010
0.417701,0.2616,0.9734,0.0337,1.008
0.420200308,0.2719,0.9732,0.0260,1.011
0.422890847,0.2785,0.9756,0.0223,1.015
