time,gFx,gFy,gFz,TgF
0.001734462,0.6279,0.7792,0.1797,1.017
0.002161923,0.6261,0.7780,0.1841,1.015
0.002411077,0.6247,0.7806,0.1883,1.017
0.002631154,0.6247,0.7816,0.1907,1.019
0.002811693,0.6286,0.7813,0.1949,1.022
0.003143077,0.6294,0.7813,0.1958,1.022
0.005733923,0.6296,0.7796,0.1970,1.021
0.008929539,0.6284,0.7752,0.1958,1.017
0.010326231,0.6279,0.7731,0.1934,1.015
0.014851385,0.6264,0.7720,0.1919,1.013
0.015135462,0.6279,0.7689,0.1902,1.011
0.017573847,0.6266,0.7682,0.1875,1.009
0.020561847,0.6240,0.7645,0.1856,1.004
0.022367462,0.6291,0.7650,0.1819,1.007
0.024804308,0.6289,0.7626,0.1826,1.005
0.027265308,0.6315,0.7606,0.1800,1.005
0.030044,0.6298,0.7603,0.1785,1.003
0.032028616,0.6317,0.7608,0.1770,1.005
0.034454462,0.6340,0.7631,0.1763,1.008
0.036816077,0.6333,0.7631,0.1781,1.007
0.039253308,0.6357,0.7640,0.1814,1.010
0.041778462,0.6352,0.7631,0.1837,1.010
0.044075385,0.6328,0.7655,0.1856,1.010
0.046605231,0.6328,0.7676,0.1868,1.012
0.049016693,0.6320,0.7692,0.1858,1.013
0.051500077,0.6294,0.7682,0.1881,1.011
0.054658231,0.6298,0.7711,0.1922,1.014
0.056204923,0.6315,0.7713,0.1949,1.016
0.058561616,0.6315,0.7708,0.1927,1.015
0.060968077,0.6313,0.7704,0.1902,1.014
0.063400077,0.6306,0.7708,0.1900,1.014
0.065815077,0.6291,0.7699,0.1902,1.012
0.068213923,0.6294,0.7699,0.1910,1.013
0.071196923,0.6269,0.7689,0.1856,1.009
0.073283077,0.6284,0.7704,0.1858,1.011
0.075435462,0.6289,0.7694,0.1839,1.011
0.078011154,0.6289,0.7680,0.1841,1.010
0.080961923,0.6303,0.7699,0.1826,1.012
0.08273077,0.6306,0.7708,0.1800,1.012
0.085065616,0.6323,0.7682,0.1783,1.011
0.088008,0.6330,0.7706,0.1749,1.012
0.089949923,0.6326,0.7706,0.1751,1.012
0.092343154,0.6345,0.7711,0.1758,1.014
0.094726462,0.6340,0.7708,0.1729,1.013
0.097192,0.6352,0.7682,0.1721,1.012
0.099602847,0.6352,0.7706,0.1712,1.013
0.10193577,0.6369,0.7694,0.1709,1.013
0.105078154,0.6352,0.7733,0.1688,1.015
0.106818539,0.6345,0.7699,0.1678,1.012
0.109295154,0.6366,0.7696,0.1700,1.013
0.111683154,0.6362,0.7699,0.1697,1.013
0.11443977,0.6340,0.7713,0.1683,1.013
0.116561923,0.6315,0.7687,0.1685,1.009
0.118868,0.6320,0.7682,0.1683,1.009
0.122528,0.6333,0.7708,0.1663,1.011
0.123700077,0.6317,0.7692,0.1651,1.009
0.12684,0.6291,0.7701,0.1663,1.008
0.128931462,0.6279,0.7669,0.1653,1.005
0.131791385,0.6291,0.7669,0.1639,1.005
0.13373877,0.6294,0.7674,0.1651,1.006
0.135843693,0.6289,0.7704,0.1644,1.008
0.138848077,0.6271,0.7701,0.1607,1.006
0.140702154,0.6284,0.7674,0.1607,1.005
0.143740616,0.6291,0.7694,0.1621,1.007
0.145480923,0.6291,0.7699,0.1585,1.007
0.147933231,0.6289,0.7674,0.1597,1.005
0.150400693,0.6282,0.7718,0.1580,1.008
0.152841923,0.6269,0.7692,0.1575,1.005
0.155165539,0.6291,0.7682,0.1575,1.005
0.157697923,0.6291,0.7711,0.1599,1.008
0.159818231,0.6294,0.7699,0.1614,1.007
0.162693616,0.6286,0.7694,0.1595,1.006
0.164839385,0.6284,0.7699,0.1595,1.006
0.167363154,0.6289,0.7704,0.1609,1.007
0.170257,0.6274,0.7748,0.1607,1.010
0.172294462,0.6296,0.7720,0.1636,1.010
0.17433077,0.6317,0.7718,0.1629,1.011
0.176838847,0.6315,0.7740,0.1634,1.012
0.179205308,0.6315,0.7699,0.1644,1.009
0.182056308,0.6310,0.7715,0.1663,1.011
0.184025616,0.6308,0.7713,0.1676,1.010
0.186688385,0.6294,0.7720,0.1683,1.010
0.188924385,0.6306,0.7745,0.1709,1.013
0.191253539,0.6313,0.7713,0.1707,1.011
0.193669308,0.6301,0.7743,0.1716,1.013
0.196080616,0.6317,0.7723,0.1746,1.013
0.198474231,0.6330,0.7715,0.1729,1.013
0.200833923,0.6366,0.7715,0.1751,1.015
0.203221923,0.6330,0.7711,0.1749,1.013
0.205706231,0.6320,0.7682,0.1785,1.011
0.208118847,0.6342,0.7706,0.1795,1.014
0.210501539,0.6345,0.7704,0.1790,1.014
0.212943077,0.6342,0.7708,0.1824,1.015
0.215362847,0.6333,0.7696,0.1841,1.013
0.217810231,0.6330,0.7662,0.1849,1.011
0.221546847,0.6323,0.7684,0.1849,1.012
0.222588077,0.6350,0.7684,0.1858,1.014
0.225057923,0.6298,0.7689,0.1851,1.011
0.227901923,0.6317,0.7692,0.1863,1.013
0.229904923,0.6303,0.7687,0.1886,1.012
0.232337,0.6310,0.7667,0.1878,1.011
0.234657616,0.6315,0.7676,0.1863,1.011
0.237053231,0.6333,0.7692,0.1861,1.014
0.23948277,0.6328,0.7676,0.1900,1.013
0.241896923,0.6323,0.7674,0.1881,1.012
0.244455077,0.6323,0.7680,0.1881,1.012
0.246796,0.6326,0.7680,0.1844,1.012
0.24916777,0.6330,0.7687,0.1834,1.012
0.251508693,0.6313,0.7682,0.1870,1.012
0.253950462,0.6317,0.7696,0.1841,1.013
0.25636677,0.6303,0.7687,0.1846,1.011
0.258726154,0.6291,0.7682,0.1858,1.010
0.261148,0.6277,0.7694,0.1849,1.010
0.263742462,0.6303,0.7652,0.1826,1.008
0.265973,0.6294,0.7669,0.1812,1.009
0.269200693,0.6308,0.7687,0.1824,1.011
0.270984693,0.6303,0.7694,0.1819,1.011
0.273372616,0.6298,0.7704,0.1805,1.011
0.276302539,0.6289,0.7696,0.1814,1.010
0.278412923,0.6315,0.7696,0.1812,1.012
0.280533231,0.6308,0.7713,0.1821,1.013
0.283046231,0.6326,0.7699,0.1802,1.013
0.285886847,0.6338,0.7720,0.1772,1.014
0.287780693,0.6323,0.7718,0.1790,1.014
0.290165539,0.6335,0.7689,0.1807,1.012
0.292627154,0.6347,0.7723,0.1795,1.016
0.294964308,0.6303,0.7706,0.1783,1.011
0.297399154,0.6317,0.7694,0.1800,1.012
0.299743462,0.6303,0.7701,0.1814,1.012
0.30219577,0.6317,0.7711,0.1805,1.013
0.304759693,0.6301,0.7718,0.1800,1.013
0.3074,0.6282,0.7715,0.1788,1.011
0.309561847,0.6298,0.7711,0.1781,1.011
0.311924,0.6289,0.7736,0.1763,1.012
0.314563462,0.6313,0.7718,0.1765,1.013
0.317069231,0.6294,0.7718,0.1760,1.011
0.320289,0.6264,0.7694,0.1739,1.007
0.321533231,0.6289,0.7674,0.1749,1.008
0.323933,0.6269,0.7689,0.1744,1.007
0.327097308,0.6310,0.7676,0.1739,1.009
0.328753539,0.6315,0.7687,0.1727,1.010
0.331169539,0.6323,0.7680,0.1737,1.010
0.334238539,0.6345,0.7696,0.1727,1.012
0.336109231,0.6330,0.7682,0.1716,1.010
0.338428077,0.6320,0.7689,0.1741,1.010
0.340805923,0.6296,0.7704,0.1734,1.010
0.343592077,0.6298,0.7706,0.1712,1.010
0.34562677,0.6296,0.7696,0.1712,1.009
0.348037,0.6274,0.7694,0.1704,1.007
0.350734231,0.6274,0.7706,0.1737,1.009
0.353003077,0.6274,0.7731,0.1714,1.010
0.355289923,0.6296,0.7711,0.1697,1.010
0.357641616,0.6308,0.7711,0.1709,1.011
0.360172077,0.6323,0.7696,0.1709,1.011
0.362713,0.6328,0.7687,0.1700,1.010
0.364931693,0.6342,0.7682,0.1692,1.010
0.367302462,0.6347,0.7684,0.1688,1.011
0.369861847,0.6328,0.7687,0.1680,1.010
0.37215177,0.6350,0.7680,0.1683,1.011
0.374582231,0.6369,0.7669,0.1673,1.011
0.377085847,0.6354,0.7692,0.1685,1.012
0.379387693,0.6369,0.7682,0.1660,1.012
0.381852,0.6382,0.7708,0.1688,1.015
0.384679385,0.6362,0.7687,0.1680,1.012
0.386619077,0.6394,0.7696,0.1688,1.015
0.389093923,0.6389,0.7718,0.1702,1.016
0.391428385,0.6391,0.7696,0.1732,1.015
0.394217539,0.6364,0.7684,0.1737,1.013
0.396312616,0.6338,0.7713,0.1763,1.014
0.398891462,0.6342,0.7720,0.1788,1.015
0.401972385,0.6335,0.7738,0.1797,1.016
0.403664,0.6326,0.7723,0.1817,1.015
0.405910539,0.6328,0.7711,0.1839,1.014
0.408329847,0.6335,0.7692,0.1830,1.013
0.410836616,0.6342,0.7708,0.1849,1.015
0.413720923,0.6313,0.7708,0.1870,1.014
0.415641923,0.6342,0.7694,0.1851,1.014
0.418093923,0.6342,0.7687,0.1873,1.014
0.420833308,0.6338,0.7696,0.1883,1.015
0.422856693,0.6345,0.7671,0.1898,1.013
0.427796,0.6326,0.7662,0.1886,1.011
0.428282462,0.6347,0.7659,0.1907,1.013
0.430156616,0.6357,0.7645,0.1893,1.012
0.432516077,0.6330,0.7628,0.1878,1.009
0.434956077,0.6342,0.7667,0.1888,1.013
0.437292385,0.6352,0.7662,0.1917,1.014
0.439734462,0.6352,0.7647,0.1898,1.012
0.442648,0.6391,0.7635,0.1910,1.014
0.445141231,0.6379,0.7657,0.1949,1.015
0.446939693,0.6387,0.7657,0.1942,1.016
0.449315154,0.6369,0.7667,0.1954,1.016
0.451736308,0.6357,0.7659,0.1951,1.014
0.454172616,0.6347,0.7684,0.1963,1.016
0.456805847,0.6333,0.7689,0.1983,1.016
0.459069539,0.6298,0.7664,0.1979,1.012
